text,anger,disgust,fear,joy,sadness,surprise,neutral
"Our train pulled into the huge vault of the station on the Pest side of Budapest. Bai Ganyo and I went into the station restaurant. Since I knew we had a whole hour to kill, I made myself comfortable at a table and ordered some snacks and beer. The crowd swarmed around me, and it was a good-looking crowd at that. You know, I’m not crazy about Hungarians, but I’ve got nothing against Hungarian girls. Distracted by the noise, I didn’t notice Bai Ganyo slipping out of the restaurant taking his disagi, his woven cloth saddlebags, with him. Where did Bai Ganyo go? His glass was empty. I looked all over, peered into every corner of the restaurant, but he was nowhere to be found. I went outside onto the platform, I looked in all directions; not a sign of Bai Ganyo, nothing at all. What a strange business! I thought that maybe he’d gone into the train car to make sure someone didn’t swipe his small traveling rug, his kilim.",1,0,0,1,0,1,1
"I went back to the restaurant. There was still more than half an hour till the train’s departure. I sat there drinking my beer and staring around. The stationmaster would strike a bell every ﬁve minutes and announce the directions of the trains in a listless, lazy voice,“Hö-gösh-fö-kö-tö-he-gi, Kish-kö-rösh, Se-ge-din, Uy-ve-dek.” A few English tourists gaped at him, and he, apparently used to the attention he attracted with his peculiar language, grinned from ear to ear and with an even louder and huskier voice kept on going,“Uy-ve-dek, Kish-kö-rösh, Hö-gösh-fö-kö-tö-he-gi,” emphasizing each individual syllable.",1,0,0,1,0,1,1
"We still had about ten minutes before the train was supposed to leave. I paid my bill, and I paid for Bai Ganyo’s beer as well, and then I went out onto the platform to look for him. At that moment a train came slowly into the station, and just picture it, in one of the cars, hanging halfway out the window, Bai Ganyo came into view. He caught sight of me and began to wave to me with his lamb’s-wool cap, his kalpak, from far away, saying some-thing I couldn’t hear over the locomotive whistle, but I understood what had happened. When the train stopped, he jumped down and came running up to me and told me—with a healthy dose of energetic swearing, which, with your permission, I won’t repeat—the following story:",0,0,0,1,0,1,1
"“Don’t even ask, pal; I’m worn out from running.”",1,0,0,1,1,0,1
"“What running, Bai Ganyo?”",1,0,0,1,0,1,1
"“What do you mean, what running? Weren’t you just hanging out at the restaurant staring all around?”",1,0,0,1,0,1,1
“So?” I responded.,1,0,0,1,0,1,1
"“So! At that moment, ’yknow, that guy by the door rang the bell and I heard the engine whistle and I went out—I couldn’t catch your eye—and I see our train pulling out. Hey, my kilim! I make a mad dash for it, running as fast as my legs could carry me—but never mind. Finally, at one point I see that the train has stopped and so, upsy-daisy, I jump on and go inside. I startled some guy and he shouted something at me in Hungarian—heke meke—and me, you know, I don’t put up with any nonsense. I opened my eyes wide and stared right back at him and showed him my kilim. No big deal, the guy was sensible and went away. He even laughed a little. How could anyone know that we would be coming back? These Magyars!”",1,0,0,1,1,1,1
"Sinner that I am, I had a good laugh at Bai Ganyo’s adventure. Poor guy. The train was maneuvering to come in on another track, and Bai Ganyo, poor fellow, ran three whole kilometers to catch up to it—after all, his kilim was inside.",1,0,0,1,1,0,1
"“But in your haste you forgot to pay for your beer, Bai Ganyo.”",1,0,0,1,1,1,1
"“Big deal. As if they don’t fleece us enough,” answered Bai Ganyo in a tone that did not brook contradiction.",1,0,0,1,0,1,1
“I paid for it.”,1,0,0,1,0,1,1
"“You had plenty of money, apparently, so you paid for it. Come on, get in, get in quickly so we don’t go running around after the engine again,” Bai Ganyo admonished.",1,0,0,1,0,0,1
"We entered the car. Bai Ganyo bent over his disagi with his back to me, pulled out half a wheel of hard cheese, cut himself a dainty little slice, cut himself a huge hunk of bread as well, and began to chomp away with a prodigious appetite, filling first one cheek and then the other with his mouthfuls, and stretching his neck from time to time in order to swallow the dry bread. Bai Ganyo ate his fill, belched once or twice, shook the crumbs into his palm, swallowed them, too, and muttered under his breath,“Eh, if only there were someone to treat me to a nice little glass of wine.” He sat down across from me, smiled good-naturedly, and, after gazing at me kindly for an entire minute, said,",1,0,0,1,0,1,1
"“Has Your Grace traveled, have you seen something of the world?”",0,0,0,1,0,1,1
"“I’ve traveled quite a bit, Bai Ganyo.”",0,0,0,1,0,1,1
"“Really now, well, as for me, ’Ive been all over the place. Tsk! Tsk! Tsk! Never mind Edirne, Constantinople, but even Romania! Would you believe it? Giurgevo, Turnu Magureli, Ploeşti, Piteşti, Brăila, Bucharest, Galaţi—hang on, I don’t want to exaggerate; I can’t remember if I’ve been to Galaţi or not—I’ve been to all of them.”",1,0,0,1,1,1,1
"The trip to Vienna passed monotonously. I offered one of my books to Bai Ganyo to make the time pass more quickly, but he politely refused my offer, because, he said, he’d read enough in his time and considered it more practical to take a nap. Why stay awake for nothing; after all, he had paid good money for a place on the train, so he might as well get some sleep. And he fell asleep. He fell asleep and began to snore so loudly that, once you’d heard him, there was no need to hear a Barbary lion.",1,0,0,1,1,1,1
"We arrived in Vienna and went to the traditional Hotel London. The hotel porters took my bag down from the cab, and they wanted to take Bai Ganyo’s disagi, but whether out of thoughtfulness, or who knows what, he wouldn’t give them up:",1,0,0,1,1,1,1
"“How can you give these to them, pal? This is rose oil—it’s no joke, it’s a real strong fragrance; he’ll reach in, palm a bottle—just try to chase him down later! I know what these guys are like. You don’t see it because they’re so slick”—Bai Ganyo meant to say “polite,” but that word is still new in our lexicon, so it gets forgotten—”You don’t see how they hover around you. Why are they hovering? You think they want to do you a favor? Ein, zwei, gut morgin, but all the time they’re trying to swipe something from you. And if not that, then a tip. Why do you think I’m so careful to slip quietly out of the hotel. Beggars! This one gets a kreutzer, that one gets a kreutzer—there’s no end to it.”",1,0,0,1,0,1,1
"Since the rose oil that Bai Ganyo was carrying really was a rather valuable commodity, I suggested that he leave it with the cashier at the hotel desk for safekeeping.",1,0,0,1,0,1,1
"“With the cashier?” he exclaimed, in a tone that pitied my naïveté. “You students are really strange. I mean, how do you know what kind of people those are at the desk? He takes your rose oil, sticks it somewhere. Well, and then? What are you going to do? Forget it! Do you see this sash?” And Bai Ganyo raised his vest. “I’ll stuff all the muskali in here. True, it’s a little heavy, but it’s safe.”",1,0,0,1,1,1,1
And Bai Ganyo turned his back to me (“The world is full of all kinds of people; who knows what this kid is really like?”) and began to stuff muskali into his sash. I asked him if he wanted to have dinner.,1,0,0,1,0,1,1
“Where would we eat?”,1,0,0,1,0,1,1
"“Downstairs, in the restaurant.”",1,0,0,1,0,1,1
"“No, thank you, I’m not hungry. You go and have a bite, Your Grace. ’Ill wait for you here.”",1,0,0,1,0,0,1
"I’m sure that as soon as I left the room, Bai Ganyo opened his disagi. If a fellow has his own snacks, why should he spend money on a hot meal? He’s not going to starve to death, after all!",1,0,0,1,0,1,1
"I took Bai Ganyo to the office of a Bulgarian merchant and left him there, then hopped on a tram and went to Schönbrunn. I went up the arch, looked out over Vienna and its suburbs, strolled along the promenades and the zoological gardens, spent a whole hour staring at the monkeys, and in the evening I returned to the hotel. Bai Ganyo was in the room. He tried to hide what he was doing from me, but he couldn’t, and I noticed that he was sewing a new pocket onto the inside of his old-fashioned quilted jacket. Being a man of experience, he wore a quilted jacket under his Western clothes even in the summertime: “In the wintertime keep bread on you, in the summertime keep clothes on you,” say the old folks, and that’s what Bai Ganyo did.",1,0,0,1,0,1,1
