Source File,Content
01_ge_original_IPN_news.csv,IPN_news1
01_ge_original_IPN_news.csv,"Irakli Kobakhidze: Just like the Prime Minister, the State Minister will also be fully supported by the Government Administration’s resources; there is nothing to mock here, although the opposition still speculates - this is their nature and it is not interesting (28.04.2026, 16:30)"
01_ge_original_IPN_news.csv,"“Just like the Prime Minister and the Vice Prime Minister, the State Minister for Coordination of Law Enforcement Agencies will also be fully served by the resources of the Government Administration. As you can see, there is nothing to ridicule here, although the opposition still manages to spread speculation - this is their nature and it is not interesting,” Prime Minister Irakli Kobakhidze told journalists."
01_ge_original_IPN_news.csv,"According to him, the purpose of creating the new structural unit is to further strengthen the law enforcement system."
01_ge_original_IPN_news.csv,"“These changes were aimed at strengthening the law enforcement system even further. A new link has been created - a coordination link. Mamuka Mdinaradze had already been performing this function before, but from a specific agency. That was the factual situation. We decided to formalize what already existed, which was the correct approach. In reality, the structures will remain independent - namely, the Ministry of Internal Affairs, the State Security Service, and the Special State Protection Service - and overall coordination will be ensured. The position of State Minister is designed for this purpose and will further strengthen the fight against crime and the maintenance of public order. As you know, over the past year we have implemented fundamental changes in all directions,” Kobakhidze said."
01_ge_original_IPN_news.csv,"He also responded to a question about comparisons between former head of the State Security Service, Grigol Liluashvili, who is currently in detention, and Mamuka Mdinaradze, stating that “the processes developed differently then, and will develop differently now.”"
01_ge_original_IPN_news.csv,"“The situation is radically different, and the context is entirely different. Mamuka Mdinaradze is an exceptionally successful member of our team. His work in the State Security Service was particularly successful, including in combating corruption and terrorist crimes. He implemented very important systemic changes. This is a different background, and accordingly, future developments will also be different,” Kobakhidze said."
01_ge_original_IPN_news.csv,"Parliament is considering, under an accelerated procedure, a draft law introducing the position of State Minister for Coordination of Law Enforcement Agencies within the Government of Georgia. According to the draft, the Government Administration will provide material, technical, and organizational support for the new State Minister."
01_ge_original_IPN_news.csv,"According to Government Parliamentary Secretary Vakhtang Bachiashvili, the State Minister’s powers will be specified in a government decree, and the minister will be based in the Government Administration building."
02_ge_original_IPN_news.csv,IPN_news2
02_ge_original_IPN_news.csv,"Giorgi Sharashidze: What vice premiership or state minister position are we talking about, when he won’t even be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise Mdinaradze not to obsess over the office and to work remotely instead (28.04.2026, 12:20)"
02_ge_original_IPN_news.csv,"Speaking about the creation of the State Minister position for coordinating law enforcement bodies, “For Georgia” party MP Giorgi Sharashidze said: “What vice premiership or state minister role are we even talking about, when Mamuka Mdinaradze won’t be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise him not to fixate too much on the office and to work remotely from home instead."
02_ge_original_IPN_news.csv,"The planned changes have nothing to do with solving the problems of our citizens or addressing Georgia’s security challenges. This is yet another manifestation of informal governance. ‘Georgian Dream’ and the 89 MPs sitting in parliament have no role other than to justify decisions made by Ivanishvili, which are not even discussed with them."
02_ge_original_IPN_news.csv,"If coordination is so important, then the head of the State Security Service would not be replaced within six months. The position is set for a six-year term for a reason - that provision in the law is not accidental. Yet we see that in the past year alone, two heads of the State Security Service have already been changed. This points to an unstable environment and informal governance. A person was granted a general’s rank in the morning and by the evening was reassigned as a coordinator - what kind of expectations can we have from such a situation?"
02_ge_original_IPN_news.csv,"As for the term ‘coordinator,’ it was introduced by ‘Georgian Dream’ itself. Yesterday, when one of our leaders, Giga Parulava, mentioned during a Legal Committee session that this was essentially a coordinator role, it triggered irritation - his wording and tone were criticized. This term was introduced by them, and if they now find it offensive, they should explain where it came from. So when we say that appointing a ‘general coordinator’ will change nothing except temporarily satisfying him and moving him toward retirement, that is the reality,” Sharashidze said."
02_ge_original_IPN_news.csv,"For context, parliament is considering an expedited draft law introducing the position of State Minister for the Coordination of Law Enforcement Bodies within the government structure."
02_ge_original_IPN_news.csv,"According to the draft, the Government Administration will provide material, technical, and organizational support for the new State Minister."
02_ge_original_IPN_news.csv,"Government parliamentary secretary Vakhtang Bachiashvili stated that the minister’s powers will be specified in a government resolution, outlining both routine and strategic responsibilities."
02_ge_original_IPN_news.csv,Mamuka Mdinaradze is expected to be appointed to the position of State Minister for the Coordination of Law Enforcement Bodies.
03_ge_original_IPN_news.csv,IPN_news3
03_ge_original_IPN_news.csv,"Mariam Kvrivishvili - We have signed an updated version of the Free Trade Agreement with China, which will further strengthen and consolidate trade and economic relations between the two countries (25.04.2026, 11:27)"
03_ge_original_IPN_news.csv,"The visit to the People's Republic of China ended with successful results, which will positively affect the further development of economic ties between Georgia and China, - said Mariam Kvrivishvili, Minister of Economy and Sustainable Development of Georgia."
03_ge_original_IPN_news.csv,"According to the Minister, high-level meetings were held with representatives of the Chinese state and private sectors within the framework of the visit. Mariam Kvrivishvili placed special emphasis on the meeting held at the National Reform and Development Commission of China, during which the parties agreed to establish a dialogue mechanism between Georgia and China to attract investments, which will facilitate the implementation of investments from China."
03_ge_original_IPN_news.csv,"""Together with the Minister of Commerce, I signed an updated version of the Free Trade Agreement, which will further strengthen and consolidate trade and economic relations between the two countries. In addition, we made a very important decision to create an intergovernmental format that will ensure the attraction of the largest investments, as well as support for the involvement of Chinese companies in strategic projects,"" - said Mariam Kvrivishvili."
03_ge_original_IPN_news.csv,"The Minister also drew attention to the meeting with the leaders of the China Eastern Airlines, at which a decision was made to launch direct flights from Shanghai to Tbilisi from July 15. As Mariam Kvrivishvili noted, the Shanghai direction, as well as the Chinese tourist market in general, is strategic for Georgia, and direct air traffic will contribute to both the growth of tourist flows and the arrival of visitors with purchasing power in the country."
03_ge_original_IPN_news.csv,"""This decision will strengthen people-to-people relations, economic ties and provide an incentive to strengthen our country's tourism industry, diversify it and generate additional income in our country directly from the tourism industry,"" said Mariam Kvrivishvili."
03_ge_original_IPN_news.csv,"Meetings were held with China's largest energy and automobile manufacturing companies within the framework of the visit. As Mariam Kvrivishvili noted, the meetings discussed Georgia's investment opportunities, which will contribute to attracting additional investments from China, developing local production and strengthening the energy sector."
04_ge_original_IPN_news.csv,IPN_news4
04_ge_original_IPN_news.csv,"Maka Botchorishvili on Pawel Herczynski - We do not need to polarize society or incite a radical agenda, we do not need either a dark past or similar threats - the government feels best at what crossroads Georgia is (27.04.2026, 14:15)"
04_ge_original_IPN_news.csv,"No matter what explanation we hear, facts and actions remain facts and actions. The picture we see is unacceptable, - Foreign Minister Maka Botchorishvili told reporters after a meeting with EU Ambassador Pawel Herczyński."
04_ge_original_IPN_news.csv,"According to her, the government feels best at which crossroads Georgia is standing and how much we do not need either the dark past or similar threats."
04_ge_original_IPN_news.csv,"“No one can understand and comprehend better than us, the Georgians and the government elected by the Georgian people, the crossroads this country is at. The will of the Georgian people is expressed in the choice of the Georgian government. The government represents the will of the people they are so worried about. Accordingly, the government feels best the crossroads Georgia is at, how much Georgia’s security needs to be cared and how much we need stability. How much we do not need to polarize this society and incite a radical agenda. Also, we do not need either the dark past or similar threats,” said Botchorishvili."
04_ge_original_IPN_news.csv,"When asked what was threatening in Pawel Herczynski’s statement, Botchorishvili replied that everything that stirs up polarization in society is unacceptable."
04_ge_original_IPN_news.csv,"“The statements, actions, steps that are being taken by Brussels, the attitude that we see towards the Georgian government, are unacceptable and are aimed at polarization in this society. Everything that stirs up polarization in our society and incites a radical agenda is unacceptable,” the Foreign Minister noted."
04_ge_original_IPN_news.csv,"When asked whether she had heard an explanation from Pawel Herczyński about his statement, Botchorishvili replied that they expect that the attitude from Brussels will be what Georgia deserves."
04_ge_original_IPN_news.csv,"“No matter what explanation we hear, facts and actions remain facts and actions. The picture we see is unacceptable. Georgia is a bona fide partner! It has not done anything towards the European Union to damage any of the EU’s interests. Accordingly, we expect from the European Union that Brussels will have the attitude that Georgia deserves – in good faith relations. We do not see this at this stage and the steps we see are a reflection of this. If we want relations to return to normal, we must at least respect each other and at least these relations must be based on trust, which is shaken by such statements,” said Maka Botchorishvili."
04_ge_original_IPN_news.csv,"Maka Botchorishvili met with the EU Ambassador to Georgia, Pawel Herczyński, at the Palace of Ceremonies. The summoning of Pawel Herczyński to the meeting was related to a statement he made at the documentary photo exhibition “Georgia in Focus” in Brussels at the European External Action Service, where he noted that Georgia was no longer on the right trajectory. According to the ambassador, the government has chosen an alternative, authoritarian model and is distancing Georgia from the European Union."
04_ge_original_IPN_news.csv,"“Georgia is at a crossroads. Georgia’s future has not yet been written, but what will be decided in the coming weeks and months will determine whether Georgia belongs to the family of European countries, based on democracy, the rule of law and human rights, or, unfortunately, returns to its dark past. My main message to the Georgian people is “do not lose hope”. We must not allow Georgia and the wonderful, warm, hospitable Georgian people to return to the dark times of violence, civil war, poverty, hardship, corruption. This is not the future they deserve. As soon as the government expresses a desire to cooperate with us, we will do everything to help Georgia become a member of the European Union,” Herczyński was quoted as saying by Negtazeti."
05_ge_original_IPN_news.csv,IPN_news5
05_ge_original_IPN_news.csv,"Archpriest Andria Jagmaidze: A candidate must not be older than 70; as for education, can someone apply for a job and say: ""I don’t have a diploma, but I’m educated""? The Synod must strictly follow the regulations (28.04.2026, 12:00)"
05_ge_original_IPN_news.csv,"According to the head of the Patriarchate’s Public Relations Service, Archpriest Andria Jagmaidze, the Holy Synod must strictly adhere to the Church’s governing statute when selecting candidates. “In the criteria, we read that the candidate must be Georgian, must be a monk, must be a member of the Synod, must have an education, and regarding age, it is specified that the person must be at least 40 years old and no more than 70. This Synod does not have the authority to change the statute and must strictly follow it,” Jagmaidze stated."
05_ge_original_IPN_news.csv,He emphasized that adherence to established rules is essential for the life of the Church.
05_ge_original_IPN_news.csv,"“Today, the Synod will select three candidates for the Patriarchate, and afterward, an enlarged session will be held to elect the Patriarch."
05_ge_original_IPN_news.csv,"The criteria clearly state that the candidate must be Georgian, must be a monk, must be a member of the Synod, must have an education, and must be at least 40 years old but not older than 70."
05_ge_original_IPN_news.csv,"I am a mathematician - the phrase ‘not older than 70’ means that once a person exceeds 70 by even a day, they are no longer within that limit. Seventy plus any additional days or months is already over 70. From a mathematical perspective, this is completely clear. However, we will see what decision the Synod makes."
05_ge_original_IPN_news.csv,"Another point is that this Synod does not have the authority to amend the governing statute and must strictly follow it. As for education, how can someone without a diploma apply for a job vacancy and say, ‘I don’t have a diploma, but I am educated’? That would not work in any job."
05_ge_original_IPN_news.csv,"Any issue can be subject to interpretation. For example, what does it mean to be ‘Georgian’? I had a friend who was Yezidi but was deeply Georgian in spirit. If we reason like that, everything can be questioned. There is also the concept of ‘hidden monks’ - someone who is not formally tonsured but lives a monastic life. So everything can be open to interpretation. That is why I believe it is very important for the Church that the established rules are followed."
05_ge_original_IPN_news.csv,"We have already received information about delegates from most dioceses,” Jagmaidze said."
06_ge_original_IPN_news.csv,IPN_news6
06_ge_original_IPN_news.csv,"Armaz Akhvlediani: The authorities supported Metropolitan Shio, that is clearer than clear - he was and is involved - we saw it, and I suspect we will see it even before the historical Synod begins where the Patriarch is to be elected (28.04.2026, 19:50)"
06_ge_original_IPN_news.csv,"“It is possible that by the final session, where the Patriarch is to be selected by the Synod, the configuration may change to some extent. Metropolitan Shio has advanced, but I would not rush and would not make final conclusions,” said politician Armaz Akhvlediani in the program “Resume” on PalitraNews."
06_ge_original_IPN_news.csv,"According to Akhvlediani, everything will depend on where the votes of the other two candidates go."
06_ge_original_IPN_news.csv,"“The main decision is ahead. Today, the Synod session only selected the candidates; we already know the results of how many votes each received. Let us also not forget that by the final session, where the Patriarch is to be elected, it is not excluded that the configuration may change. However, today it is visible who is ahead – Metropolitan Shio has advanced, but I would not rush or make final conclusions, unlike others."
06_ge_original_IPN_news.csv,"Today the Patriarch was not being elected; today only three candidates were selected. When one is to be chosen, it is possible that the other two may agree on where their votes, as well as others’ votes, will go,” Akhvlediani said."
06_ge_original_IPN_news.csv,"According to him, it is “clear as day” that the authorities are interfering in the Patriarchal election and supporting Metropolitan Shio."
06_ge_original_IPN_news.csv,"“The authorities supported Metropolitan Shio; that is clearer than clear. He was and is involved. Let us say it directly – all pro-government media, from morning to evening, actively, in every context, regardless of the topic, directly or indirectly supported this one candidate. If this is not interference, then what is interference? As for other forms of interference, I cannot speak about that – I have no facts; if I had, I would say it. But I have a reasonable suspicion and assumption that any ill-intentioned government in any era has mechanisms of influence, pressure, and leverage – especially a government whose authority is already destroyed and which seeks to cling to something, in this case the inherited authority of the Church, to use it for its own benefit. We have seen this over time, and I suspect we will see it even before the historical Synod begins, where the final Patriarch is to be selected,” Akhvlediani said."
06_ge_original_IPN_news.csv,"For context, the Holy Synod selected three patriarchal candidates: Locum Tenens of the Patriarchal Throne, Metropolitan Shio (Mujiri) of Senaki and Chkhorotsku; Metropolitan Iobi of Urbnisi and Ruisi; and Metropolitan Grigol of Poti and Khobi."
06_ge_original_IPN_news.csv,"According to Archpriest Andria Jaghmaidze, head of the Patriarchate’s Public Relations Service, Metropolitan Shio received 20 votes, while the other two candidates received 7 votes each. Other candidates included Metropolitan Grigol Katia, Metropolitan Dositheos, and Metropolitan Melkisedek."
07_ge_original_IPN_news.csv,IPN_news7
07_ge_original_IPN_news.csv,"Giorgi Sharashidze: What vice premiership or state minister position are we talking about, when he won’t even be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise Mdinaradze not to obsess over the office and to work remotely instead (28.04.2026, 12:20)"
07_ge_original_IPN_news.csv,"Speaking about the creation of the State Minister position for coordinating law enforcement bodies, “For Georgia” party MP Giorgi Sharashidze said: “What vice premiership or state minister role are we even talking about, when Mamuka Mdinaradze won’t be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise him not to fixate too much on the office and to work remotely from home instead."
07_ge_original_IPN_news.csv,"The planned changes have nothing to do with solving the problems of our citizens or addressing Georgia’s security challenges. This is yet another manifestation of informal governance. ‘Georgian Dream’ and the 89 MPs sitting in parliament have no role other than to justify decisions made by Ivanishvili, which are not even discussed with them."
07_ge_original_IPN_news.csv,"If coordination is so important, then the head of the State Security Service would not be replaced within six months. The position is set for a six-year term for a reason - that provision in the law is not accidental. Yet we see that in the past year alone, two heads of the State Security Service have already been changed. This points to an unstable environment and informal governance. A person was granted a general’s rank in the morning and by the evening was reassigned as a coordinator - what kind of expectations can we have from such a situation?"
07_ge_original_IPN_news.csv,"As for the term ‘coordinator,’ it was introduced by ‘Georgian Dream’ itself. Yesterday, when one of our leaders, Giga Parulava, mentioned during a Legal Committee session that this was essentially a coordinator role, it triggered irritation - his wording and tone were criticized. This term was introduced by them, and if they now find it offensive, they should explain where it came from. So when we say that appointing a ‘general coordinator’ will change nothing except temporarily satisfying him and moving him toward retirement, that is the reality,” Sharashidze said."
07_ge_original_IPN_news.csv,"For context, parliament is considering an expedited draft law introducing the position of State Minister for the Coordination of Law Enforcement Bodies within the government structure."
07_ge_original_IPN_news.csv,"According to the draft, the Government Administration will provide material, technical, and organizational support for the new State Minister."
07_ge_original_IPN_news.csv,"Government parliamentary secretary Vakhtang Bachiashvili stated that the minister’s powers will be specified in a government resolution, outlining both routine and strategic responsibilities."
07_ge_original_IPN_news.csv,Mamuka Mdinaradze is expected to be appointed to the position of State Minister for the Coordination of Law Enforcement Bodies.
08_ge_original_IPN_news.csv,IPN_news8
08_ge_original_IPN_news.csv,"Classification of so-called small wineries is changing: a small winery will be defined as a wine-producing enterprise whose annual output does not exceed 25,000 liters of wine (16.04.2026, 16:39)"
08_ge_original_IPN_news.csv,"The classification of so-called small wineries is being changed — a small winery will now be defined as a wine-producing enterprise whose annual production does not exceed 25,000 liters of wine."
08_ge_original_IPN_news.csv,"In addition, organoleptic inspection (sensory evaluation) will become mandatory for all categories of wine produced in Georgia with a protected designation of origin and intended for export or the domestic consumer market. This requirement will not apply to wine produced in small wineries."
08_ge_original_IPN_news.csv,"The relevant amendments are being introduced to the Law “On Vine and Wine,” prepared by the Ministry of Environmental Protection and Agriculture. The draft law has been submitted to Parliament by the government."
08_ge_original_IPN_news.csv,"According to the draft, labeling of certified alcoholic beverages intended for sale will become mandatory. The labeling will be carried out by the Wine Agency under a procedure established by the Minister of Environmental Protection and Agriculture."
08_ge_original_IPN_news.csv,"Under the current Law “On Vine and Wine,” a small winery was defined as a traditional family wine cellar with annual production not exceeding 40,000 liters. Under the changes, this threshold is reduced from 40,000 to 25,000 liters."
08_ge_original_IPN_news.csv,"The explanatory note attached to the draft law states: “Since the concept of a small winery and excessive production volume has effectively lost its meaning, there is a need to amend this term and reduce the production threshold for small wineries."
