text,love,joy,anger,sadness,fear,surprise,neutral
"— Не ми дрънкайте много-много, аз ви казвам, че трябва да изберем правителствени! — извика бай Ганьо и удари силно по масата.",0,0,0,0,0,0,1
"— А бе как ще изберем правителствени, откъде ще изкопаем избиратели? Ами че ти бе, бай Ганьо, нали си; уж либерал — осмели се да възрази Бочоолу.",0,0,0,0,0,0,1
"— Кой ти каза, че съм либерал! — попита строго бай Ганьо.",0,0,0,0,0,0,1
"— Как кой ми каза? Ами че не помниш ли колко консерватори си пердашил, колко си ги псувал, как да не си либерал? Не знаеш ли — ти сам каза, — че даже на Иречека си се хвалил, че си либерал? — възразяваше Бочоолу.",0,0,0,0,0,0,1
"— Ей че си прост! — отговаря със снизходителна усмивка бай Ганьо. — Че какво, като съм казал на Иречека, дума дупка прави ли! А бе, ахмако, че аз, един Иречек ако не метна, кого ще метна?",0,0,0,0,0,0,1
"— Имаш право, твоя милост! Бочоолу, налягай си парцалите, недей го опява! — обади се Гочоолу. — И аз съм консерватор.",0,0,0,0,0,0,1
"— Ами че аз на гроб камък ли съм! Аз съм пък хептен консерватор — изтърси Дочоолу, — я стани и ти бе, Бочоолу, един консерватор, че да ги пипнем онези, да не могат да мръднат.",0,0,0,0,0,0,1
"— Добре, ама не зная управителят с кои ще бъде — отговаря Бочоолу.",0,0,0,0,0,0,1
"— Управителят ли? С нашите, разбира се — съобщава бай Ганьо, — и околийският е с нашите. Постоянната комисия не е законна, ама кой ще му дири законност, тя е наша. Бюрото е наше. Градският съвет е наш. Кметът малко шава, ама ще му отрежем куйрука. Общинските съвети по селата не са утвърдени нарочно, разбирате ли? Ако бъдат с нас — ще ги утвърдим, ако не — на дяволите. Пак ти казвам — колкото за управителя, нямай грижа, той е наш.",0,0,0,0,0,0,1
— Ами хамалите? — любопитствува Бочоолу.,0,0,0,0,0,0,1
"— И хамалите са наши, и циганите, и Данко Харсъзина е наш...",0,0,0,0,0,0,1
— Ами че той нали беше затворен за кражба? — учудва се Бочоолу.,0,0,0,0,0,0,1
"— Е-хе, ти патки пасеш. Пуснахме го ний него. Нали той ни спечели хамалите. Отишъл при тях онзи ден, събрал ги, че като им скръцнал със зъби, те замръзнали по местата си, като им изръмжал: „Зъбите ви ще разкъртя, ако не изберете бай Ганя!“ — и хамалите кандисали. Пазарил ги Данко по два лева на човек и срещу изборите цяла нощ ядене-пиене.",0,0,0,0,0,0,1
"— Страшен хайдучага, брей!",0,0,0,0,0,0,1
"— И за колко мислиш! За 50 лева. Ходил при онези да иска 100 лева, те го изпъдили, нахокали го. Ще го видиш сега в неделя — кокалите им ще смаже! — казва самодоволно бай Ганьо.",0,0,0,0,0,0,1
"— Бочоолу, я иди повикай Гуня Адвокатина да дойде тука да ни напише едно възвание, кажи му: „Бай Ганьо те вика.“",0,0,0,0,0,0,1
