text,love,joy,anger,sadness,fear,surprise,neutral
"Dimitri Khundadze - Only peace is the necessary condition that will promote economic development, Georgia is moving in the right direction with its improvisational policy",1,0,0,0,0,0,1
"""Only peace is the necessary condition that will contribute to economic development,"" said Dimitri Khundadze, Secretary General of the People's Power Party.",0,0,0,0,0,0,1
"Speaking about Georgia's role as one of the important players in the Middle Corridor, Dimitri Khundadze noted that the country's economic development will maintain its role as a regional leader.",1,0,0,0,0,0,1
"According to him, this can only be achieved in the presence of peace, as war and development are inconceivable together.",0,0,0,0,0,0,1
"""Peace is a necessary condition for using the country's transport capabilities. A few days ago, when the situation in the Middle East became extremely tense, only Georgian airspace was congested on the transport-air map. This was a very small example in the big picture, which I am saying is that peace is a necessary condition for fulfilling the transit function.""",1,0,0,0,0,0,1
"How can a country join sanctions when it can’t achieve any results, even for the customer? How do you imagine the destruction of the Russian economy through Georgian sanctions? Our opponents raise the issue that active steps should be taken to improve the social situation, pensions and salaries should be increased, jobs should be created, tourism should be developed, etc. They have presented their proposals directly in numbers. For example, representatives of the Gakharia party have introduced an initiative that the minimum wage should be 1,050 GEL. “Lelo” raises the issue that the pension should be increased to 1,000 GEL and all this should happen against the backdrop of sanctions? Isn’t this unthinkable in a war situation?!",0,1,0,0,0,0,1
"These are hypocritically noble statements. Some people sometimes think that it is better for hot bombs to fall than for there to be peace in Georgia. Development and war are two incompatible things. Georgia, with its improvisational policy, is on the right track.",0,0,0,0,0,0,1
"For comparison, in Ukraine today no one is thinking about increasing pensions, building schools and kindergartens. In Ukraine, there is only one thing to think about: how to somehow survive this or that family member. More than 10 million people have already been displaced, the economy has been destroyed.",0,0,0,0,0,0,1
"In our country, tourism has increased over the past year. It was 4.4 billion in 2024, and in 2025 it was 4.7. Investments are growing, the country's economy has grown to 100 billion. This is where the opportunity is for infrastructure to develop, investments to come in, and even more tourists. Then it will be possible to increase pensions more quickly, create jobs more intensively - recently it has increased by 40 thousand.",0,1,0,0,0,0,1
"""I'm not saying that everything is perfect, I'm saying that in this most difficult period, with such a policy, we not only maintained peace and avoided war, but we also succeeded in all directions. It's better than it was yesterday, but it's not enough and we want even better,"" said Dimitri Khundadze.",1,0,0,0,0,0,1
