text,anger,disgust,fear,joy,sadness,surprise,neutral
"The provided content, `1tv_news5`, appears to be a filename or identifier rather than Georgian text. There’s nothing to translate into English.

If you meant to send the actual Georgian content, please paste it here and I’ll translate it while preserving the Markdown structure and formatting.",0,0,0,0,0,0,1
Dimitri Khundadze - Only peace is the necessary condition that will support economic development; Georgia is moving in the right direction with its improvisational policy.,0,0,1,0,0,0,1
"12:17, 10.04.2026",0,0,0,0,0,0,1
"Only peace is the necessary condition that will support economic development,” said Dimitri Khundadze, the Secretary General of “People’s Power.”",0,0,1,0,0,0,1
"Speaking about Georgia’s role as one of the key players in the Middle Corridor, Dimitri Khundadze noted that the country’s economic development will preserve its function as a regional leader.",0,0,0,0,0,0,1
"According to him, this can only be achieved under conditions of peace, because war and development are incompatible.",0,0,0,0,0,0,1
"“Peace is a necessary condition for utilizing the country’s transport capabilities. A few days ago, when the situation in the Middle East became extremely tense, only Georgia’s airspace was congested on the transport and aviation map. This was a very small example of the bigger picture I am talking about: peace is a necessary condition for fulfilling a transit function.",0,0,1,0,0,0,1
"How can a country join sanctions when this will not produce any result whatsoever, even for the initiator? How do you imagine destroying Russia’s economy with Georgian sanctions? Our opponents are raising the issue that, in order to improve the social situation, active steps must be taken: pensions and salaries must be increased, jobs must be created, tourism must be developed, and so on. They have put forward proposals in direct numerical terms. For example, representatives of Gakharia’s party introduced an initiative that the minimum wage should be 1,050 lari. “Lelo” is raising the issue that pensions should be increased to 1,000 lari, and all of this should happen in the context of sanctions? In wartime conditions, isn’t that unimaginable?!",0,0,0,1,0,0,1
"These are hypocritically noble statements. Some people sometimes blurt out that it would be better for hot bombs to fall than for there to be peace in Georgia. Development and war — these two things are incompatible. Georgia, with its improvisational politics, is, in fact, moving in the right direction.",0,0,0,0,0,0,1
"For comparison, in Ukraine today no one is thinking about increasing pensions or building schools and kindergartens. In Ukraine, there is only one concern: how to somehow keep each family member alive. More than 10 million people have already been turned into displaced persons, and the economy has been destroyed.",0,0,0,1,0,0,0
"In our country, over the past year, the tourism indicator has increased. It was 4.4 billion in 2024, and in 2025 it was recorded at 4.7. Investments are growing, and the country’s economy has increased to 100 billion. This is precisely where the opportunity lies for infrastructure to develop, for investments to come in, and for even more tourists to arrive. Then it will be possible to increase pensions more quickly and create jobs more intensively — in recent times, the number has increased by 40,000.",0,0,0,0,0,0,1
"“I’m not saying that everything is perfect; I’m saying that, in this extremely difficult period, with such a policy we not only preserved peace and avoided war, but in every direction we managed to make things better than they were yesterday. However, that is not enough, and we want even better,” said Dimitri Khundadze.",0,0,0,1,0,0,0
