Source File,Content,Translated Content
01_deputy_economy_minister.csv,1tv_news1,1tv_news1
01_deputy_economy_minister.csv,"ვახტანგ ცინცაძე - აზიის განვითარების ბანკის ანგარიშში ხაზგასმულია საქართველოს მიმზიდველი ბიზნესგარემო, ასევე მიმდინარე ინფრასტრუქტურული პროექტები, მათ შორის საპორტო და სარკინიგზო მიმართულებით","Vakhtang Tsintsadze - The Asian Development Bank report highlights Georgia's attractive business environment, as well as ongoing infrastructure projects, including port and railway projects"
01_deputy_economy_minister.csv,"15:29, 10.04.2026","15:29, 10.04.2026"
01_deputy_economy_minister.csv,"აზიის განვითარების ბანკმა აზიის ეკონომიკური პერსპექტივების ანგარიში გამოაქვეყნა, რომლის თანახმად, 2025 წელს ეკონომიკური ზრდა იყო საკმაოდ მაღალი – 7.5 პროცენტი, ხოლო 2026 წელს, მიმდინარე კონფლიქტების ფონზე, აზიის განვითარების ბანკი ელოდება, რომ საქართველოში ეკონომიკური ზრდა 5.5 პროცენტი იქნება, რაც წინა წლის პროგნოზთან შედარებით 0.5 პროცენტული პუნქტით გაუმჯობესებული მაჩვენებელია, – ამის შესახებ ეკონომიკისა და მდგრადი განვითარების მინისტრის მოადგილემ, ვახტანგ ცინცაძემ განაცხადა.","The Asian Development Bank has published the Asian Economic Prospects Report, according to which economic growth in 2025 was quite high – 7.5 percent, and in 2026, against the backdrop of ongoing conflicts, the Asian Development Bank expects economic growth in Georgia to be 5.5 percent, which is an improvement of 0.5 percentage points compared to the previous year's forecast, - said Deputy Minister of Economy and Sustainable Development Vakhtang Tsintsadze."
01_deputy_economy_minister.csv,"როგორც მინისტრის მოადგილემ აღნიშნა, აზიის განვითარების ბანკი ყურადღებას ამახვილებს მიმდინარე ანგარიშის დეფიციტის რეკორდულად დაბალ დონემდე შემცირებაზე, ასევე საერთაშორისო რეზერვების რეკორდულად მაღალ მაჩვენებელზე.","As the Deputy Minister noted, the Asian Development Bank is focusing on reducing the current account deficit to a record low, as well as on the record high level of international reserves."
01_deputy_economy_minister.csv,"ვახტანგ ცინცაძის განცხადებით,  2026 წელს აზიის განვითარების ბანკი ელოდება, რომ საქართველოში საშუალო ინფლაციის დონე 3.8 პროცენტი იქნება, რაც წინა წელთან შედარებით შემცირებული მაჩვენებელია.","According to Vakhtang Tsintsadze, in 2026, the Asian Development Bank expects the average inflation rate in Georgia to be 3.8 percent, which is a decrease compared to the previous year."
01_deputy_economy_minister.csv,"„აზიის განვითარების ბანკი ასევე ხაზგასმით აღნიშნავს, რომ საქართველო ისწრაფვის, გახდეს სავაჭრო, ლოგისტიკური და სატრანსპორტო ჰაბი. ამ მიმართულებით ყურადღება მახვილდება არაერთ რეფორმაზე, რომელიც ხელს უწყობს, მათ შორის, საბაჟო და სხვა პროცედურების გაუმჯობესებას. ბანკი ასევე ხაზს უსვამს იმ ინფრასტრუქტურულ მიღწევებს, რომლებიც საქართველოს გააჩნია როგორც საპორტო, ასევე სარკინიგზო მიმართულებით“, – განაცხადა ვახტანგ ცინცაძემ.","""The Asian Development Bank also emphasizes that Georgia aspires to become a trade, logistics and transport hub. In this direction, attention is focused on a number of reforms that contribute, among others, to the improvement of customs and other procedures. The Bank also emphasizes the infrastructural achievements that Georgia has in both the port and railway sectors,"" said Vakhtang Tsintsadze."
01_deputy_economy_minister.csv,"ეკონომიკის მინისტრის მოადგილის ინფორმაციით, ADB-ს ანგარიშში ხაზგასმულია საქართველოში არსებული მიმზიდველი ბიზნესგარემო, ყურადღება გამახვილებულია თავისუფალ სავაჭრო შეთანხმებებზე, რომლებიც საქართველოს გააჩნია, ასევე იმ მექანიზმებზე, რომლებიც უზრუნველყოფს ინვესტორთა დაცულობას, რაც, საბოლოო ჯამში, ზრდის როგორც ადგილობრივი, ისე საერთაშორისო ინვესტორების  ნდობას და მიმზიდველობას საქართველოსადმი.","According to the Deputy Minister of Economy, the ADB report highlights the attractive business environment in Georgia, focusing on the free trade agreements that Georgia has, as well as the mechanisms that ensure investor protection, which ultimately increases the trust and attractiveness of both local and international investors in Georgia."
02_georgia_to_recognise.csv,1tv_news2,1tv_news2
02_georgia_to_recognise.csv,"მთავრობის გადაწყვეტილებით, 2010 წლამდე გაცემული დიპლომების აღიარების შესახებ საკანონმდებლო ცვლილებები მომზადდება","By government decision, legislative amendments will be prepared regarding the recognition of diplomas issued before 2010"
02_georgia_to_recognise.csv,"10:44, 10.04.2026","10:44, 10.04.2026"
02_georgia_to_recognise.csv,"საქართველოს მთავრობის გადაწყვეტილებით, პარლამენტს წარედგინება საკანონმდებლო ცვლილებები, რომელთა საფუძველზეც ათასობით მოქალაქეს მოუგვარდება 2010 წლამდე გაცემული დიპლომის აღიარებასთან დაკავშირებული პრობლემები, – ამის შესახებ საქართველოს განათლების, მეცნიერებისა და ახალგაზრდობის მინისტრმა, გივი მიქანაძემ განაცხადა.","According to the decision of the Georgian government, legislative amendments will be submitted to the Parliament, based on which thousands of citizens will be able to resolve problems related to the recognition of diplomas issued before 2010, - stated the Minister of Education, Science and Youth of Georgia, Givi Mikanadze."
02_georgia_to_recognise.csv,"როგორც მინისტრმა აღნიშნა, ცვლილების თანახმად, 4-წლიანი დასწრებული და 5-წლიანი დაუსწრებელი სწავლების აღიარება მოხდება თანაბრად.","As the minister noted, according to the change, 4-year full-time and 5-year part-time studies will be recognized equally."
02_georgia_to_recognise.csv,"მისი თქმით, ცვლილება შეეხება სტუდენტებს, რომლებიც უნივერსიტეტში აღიარებულ რეჟიმში ჩაირიცხნენ და სწავლა არაღიარებულ რეჟიმში დაასრულეს, ასევე, მოქალაქეებს, რომლებიც საგანმანათლებლო დაწესებულებებმა ლიცენზიის მოპოვებამდე ჩარიცხეს უნივერსიტეტში.","He said that the change will affect students who enrolled in a recognized university and completed their studies in an unrecognized regime, as well as citizens who were enrolled in a university before educational institutions obtained a license."
02_georgia_to_recognise.csv,"„გვქონდა ასეთი მოცემულობა – ჩვენი მოქალაქეები 4-წლიან პროგრამაზე გადიოდნენ ზუსტად იმავე რაოდენობის საგნებს და იღებდნენ იმავე კვალიფიკაციას, როგორსაც 5-წლიან დაუსწრებელზე. აქამდე არსებული კანონმდებლობის თანახმად, 5-წლიანი უთანაბრდებოდა მაგისტრის ხარისხს, ხოლო 4-წლიანს ენიჭებოდა ბაკალავრის ხარისხი. ცვლილებების საფუძველზე, ის, ვინც 4-წლიანი პროგრამა დაასრულა, მაგისტრის ხარისხთან გათანაბრებულ დიპლომს მიიღებს, რაც მნიშვნელოვნად შეუწყობს ხელს მოქალაქეთა დასაქმებას მათთვის სასურველი მიმართულებით.","""We had this situation - our citizens took exactly the same number of subjects in a 4-year program and received the same qualification as in a 5-year part-time program. According to the previous legislation, a 5-year program was equivalent to a master's degree, and a 4-year program was awarded a bachelor's degree. Based on the changes, those who completed a 4-year program will receive a diploma equivalent to a master's degree, which will significantly facilitate the employment of citizens in their desired field."
02_georgia_to_recognise.csv,"2010 წლამდე, სანამ ერთიანი სისტემა ჩამოყალიბდებოდა, განათლების სფეროში არ არსებობდა რეესტრი, რომელიც სტუდენტების ინფორმირებას უზრუნველყოფდა. იყო შემთხვევები, როდესაც კონკრეტული უნივერსიტეტები, რომლებსაც არ ჰქონდათ აკრედიტაცია მინიჭებული, არ ეუბნებოდნენ აბიტურიენტებს ამის შესახებ და მათ ისე რიცხავდნენ. შემდგომში, როდესაც გასცემდნენ დიპლომს, კურსდამთავრებულებს უკვე ამ დოკუმენტის აღიარებაზე ექმნებოდათ პრობლემები.","Until 2010, when a unified system was established, there was no register in the education sector that would ensure the information of students. There were cases when specific universities that were not accredited did not inform applicants about this and enrolled them anyway. Later, when they issued a diploma, graduates had problems recognizing this document."
02_georgia_to_recognise.csv,"ამასთან, რიგ უმაღლეს საგანმანათლებლო დაწესებულებებს ჰქონდათ ავტორიზაცია გარკვეული პერიოდის განმავლობაში და შემდეგ სწავლის პერიოდში შეუწყდათ. ამის შესახებაც არ იყვნენ ინფორმირებულნი სტუდენტები და შემდგომში ამ უნივერსიტეტდამთავრებულ ადამიანებს ჰქონდათ პრობლემები.","In addition, a number of higher education institutions had authorization for a certain period of time and then had it terminated during the study period. Students were not informed about this either, and these university graduates subsequently had problems."
02_georgia_to_recognise.csv,"წარმოდგენილი საკანონმდებლო ცვლილებები საბოლოოდ დაუსვამს წერტილს იმ ხანგრძლივ, პრობლემურ პროცესებს, რომლებსაც ჩვენი მოქალაქეები დიპლომის აღიარებისთვის გადიან – მიდიან სასამართლოში, ასაჩივრებენ პროცესებს, რაც დროსთან და ძალისხმევასთან არის დაკავშირებული. ეს ყველაფერი ერთხელ და სამუდამოდ ისტორიას ჩაბარდება და ათასობით ჩვენი მოქალაქის დიპლომი აღიარებული იქნება“, – განაცხადა გივი მიქანაძემ.","""The presented legislative amendments will finally put an end to the long, problematic processes that our citizens go through to get their diplomas recognized - going to court, appealing the processes, which are time-consuming and effort-consuming. All this will once and for all be history, and the diplomas of thousands of our citizens will be recognized,"" said Givi Mikanadze."
03_good_friday.csv,1tv_news3,1tv_news3
03_good_friday.csv,წითელი პარასკევი სამების საკათედრო ტაძარში,Good Friday at the Holy Trinity Cathedral
03_good_friday.csv,"14:36, 10.04.2026","14:36, 10.04.2026"
03_good_friday.csv,"დღეს წითელი პარასკევია – ვნების კვირეულის ყველაზე მძიმე დღე. მართლმადიდებელი ეკლესია იესო ქრისტეს ჯვარცმას, ჯვრიდან გარდამოხსნასა და დაკრძალვას იხსენებს.","Today is Good Friday – the most solemn day of Holy Week. The Orthodox Church commemorates the crucifixion, removal from the cross, and burial of Jesus Christ."
03_good_friday.csv,"საპატრიარქო ტახტის მოსაყდრე, მიტროპოლიტი შიო ყოვლადწმინდა სამების სახელობის საპატრიარქო ტაძარში დიდ ჟამნობას, მწუხრის ჟამს და გარდამოხსნის გამოსვენებას ასრულებს.","The Patriarchal Throne, Metropolitan Shio, celebrates Great Liturgy, Vespers, and the Intercession of the Transfiguration in the Holy Trinity Patriarchal Cathedral."
03_good_friday.csv,"წითელ პარასკევს ტაძრებში წირვა არ აღევლინება, რადგან, სახარების თანახმად, ადამიანთა ცოდვებისგან გამოსახსნელად უფალმა საკუთარი თავი მსხვერპლად შესწირა. მსახურებისას სამეუფო ჟამნი სრულდება, რომლის დროსაც უფლის ვნების შესახებ სახარება იკითხება.","On Good Friday, no services are held in churches, because, according to the Gospel, the Lord offered himself as a sacrifice to redeem people from their sins. During the service, the Holy Hour is completed, during which the Gospel of the Lord's Passion is read."
04_metropolitan_shio.csv,1tv_news4,1tv_news4
04_metropolitan_shio.csv,"მეუფე შიო მუჯირი - უფალს შეწევნისთვის თუ მივმართავთ, ჩვენი სურვილი ნამდვილი და ძლიერი თუ იქნება, ის აუცილებლად მოვა თავისი მადლით, გამოგვასწორებს, განგვწმენდს","Rev. Shio Mujiri - If we turn to the Lord for help, if our desire is genuine and strong, He will surely come with His grace, correct us, and purify us."
04_metropolitan_shio.csv,"16:47, 10.04.2026","16:47, 10.04.2026"
04_metropolitan_shio.csv,"უფალი ელოდება ჩვენგან, რომ ჩვენი ცოდვებით დამძიმებული, დაჭრილი სული ვაიძულოთ, მივმართოთ ხსნისა და წყალობისთვის. ჩვენი გამოსწორება, შინაგანი ცვლილება მხოლოდ ღმერთს შეუძლია. ჩვენი ძალებით ეს არ ძალგვიძს, – ამის შესახებ საპატრიარქო ტახტის მოსაყდრემ, სენაკისა და ჩხოროწყუს მიტროპოლიტმა შიომ (მუჯირი) სამების ტაძარში ქადაგებისას განაცხადა, სადაც ცოტა ხნის წინ გარდამოხსნის წესი შესრულდა.","The Lord expects us to force our souls, burdened by our sins, to turn to Him for salvation and mercy. Only God can correct us, to bring about our inner change. We cannot do this by our own strength, - said the Patriarchal Throne, Metropolitan of Senaki and Chkhorotsku Shio (Mujiri) during his sermon in the Trinity Cathedral, where the rite of conversion was recently performed."
04_metropolitan_shio.csv,"მეუფე შიოს თქმით, „ჩვენი სურვილი თუ ნამდვილი, ძლიერი და სერიოზულია, უფალი აუცილებლად მოვა თავისი მადლით, გამოგვასწორებს და განგვწმენდს“.","According to Reverend Shio, ""If our desire is genuine, strong, and serious, the Lord will surely come with His grace, correct us, and purify us."""
04_metropolitan_shio.csv,"„ჩვენი ეკლესიის დიდებული და უძველესი ღვთისმსახურების მეშვეობით, რომელიც შეადგინეს დიდმა წმინდა მამებმა, ცნობილმა ჰიმნოგრაფებმა, საუკეთესო პოეტებმა, მოაზროვნეებმა, ბრძენკაცებმა, გვაქვს საშუალება, არა მხოლოდ შევიტყოთ უფალ იესო ქრისტესთან დაკავშირებული ამბები სახარებიდან, არამედ ღვთისმსახურების მეშვეობით გავხდეთ ამ ამბების მონაწილენი. ამიტომ ჩვენ დღეს გამოვაბრძანეთ წმინდა გარდამოხსნა და ყველანი ვართ მონაწილენი ამ მოვლენის.","“Through the glorious and ancient liturgy of our Church, composed by the great holy fathers, famous hymnographers, the best poets, thinkers, and wise men, we have the opportunity not only to learn the news about the Lord Jesus Christ from the Gospel, but also to become participants in these news through the liturgy. Therefore, today we have ordained the Holy Transfiguration, and we are all participants in this event."
04_metropolitan_shio.csv,"აქ შეკრებილნი არიან, შეკრებილნი ვართ არა ისინი, ვინც ცოტა ხნის წინ ყვიროდნენ – ჯვარს აცვი, ჯვარს აცვი იგი, არამედ ვინც ვეუბნებით უფალს – შეგვინდე უფალო. ჩვენ ეკლესიის მიერ ვართ განსწავლულნი, ვიცით ეკლესიის სწავლება, რომ ჩვენი ცოდვებით კვლავ და კვლავ ჯვარს ვაცვამთ უფალს, იგი მოვიდა დედამიწაზე, განკაცდა, ივნო და მოკვდა იმისთვის, რომ განგვათავისუფლოს ცოდვების ტყვეობის, ცოდვების ტვირთისგან.","Gathered here, we are not those who a short time ago were shouting – crucify him, crucify him, but those who say to the Lord – have mercy on us, Lord. We have been taught by the Church, we know the teaching of the Church that with our sins we crucify the Lord again and again, that He came to earth, became man, suffered and died in order to free us from the captivity of sins, from the burden of sins."
04_metropolitan_shio.csv,"ვინ იყო პირველი ადამიანი, ვინც უფალმა გაათავისუფლა ამ ტვირთისგან? – ერთ-ერთი ჯვარცმული ავაზაკი, გონიერი ავაზაკი, რომელმაც ისე განიცადა უდანაშაულო მაცხოვრის ტანჯვები, რომ თავისი ცოდვები აღიარა და სინანულით მიმართა მაცხოვარს ჯვარიდან. უფალიც სწორედ ამას ელოდება ჩვენგან, რომ ჩვენი ცოდვებით დამძიმებული, დაჭრილი სული ვაიძულოთ, მივმართოთ ღმერთს ხსნისა და წყალობისთვის.","Who was the first person whom the Lord freed from this burden? – One of the crucified thieves, a wise thief, who so experienced the sufferings of the innocent Savior that he confessed his sins and turned to the Savior from the cross in repentance. The Lord expects this from us, to force our souls, burdened by our sins, to turn to God for salvation and mercy."
04_metropolitan_shio.csv,"მრავალი ჩვენგანი, და ზოგიერთი წლების განმავლობაშიც კი, დამოუკიდებლად ცდილობს, რაღაც გამოასწოროს თავის სულში, თავის ცხოვრებაში ღმერთის გარეშე, თავისი ძალებით. ეს უშედეგო მცდელობაა. მხოლოდ ამპარტავნული, უგუნური მცდელობაა, რადგან ჩვენი გამოსწორება, შინაგანი ცვლილება მხოლოდ ღმერთს შეუძლია. ჩვენი ძალებით ეს არ ძალგვიძს. შეიძლება, გარეგნულად ოდნავ შევცვალოთ ჩვენი ქცევა, მაგრამ ჩვენთვის მიუღწეველია, შევიცვალოთ შინაგანად, როგორც ამბობს უფალი, რომ უჩემოდ არაფერი შეგიძლიათ.","Many of us, and some even for years, try to fix something in our souls, in our lives, without God, by our own efforts. This is a futile attempt. It is only an arrogant, foolish attempt, because only God can fix us, change us internally. We cannot do this by our own efforts. We may change our behavior slightly externally, but it is impossible for us to change internally, as the Lord says, “Without Me you can do nothing.”"
04_metropolitan_shio.csv,"ძვირფასო ძმებო და დებო, უფალს სურს ჩვენი გამოსწორება და განწმენდა. შეგახსენებთ, ერთხელ მასთან მივიდა სნეული და მიმართა, უფალო, თუ გნებავს, შეგიძლია, განმწმინდოო. რა მიუგო უფალმა? – მნებავს, განიწმინდეო. უფალს ეს სურს. დაემთხვა ადამიანისა და ღმერთის ნება და ის ადამიანი განიკურნა.","Dear brothers and sisters, the Lord wants to correct and purify us. Let us recall that once a sick man came to Him and said, “Lord, if You are willing, You can make me clean.” What did the Lord answer? “I am willing, be cleansed.” This is what the Lord wants. The will of man and God coincided, and the man was healed."
04_metropolitan_shio.csv,"ასე რომ, ჩვენი გამოსწორებაც, განწმენდაც უფალს უფრო მეტად სურს, ვიდრე ჩვენ გვინდა. ჩვენი სურვილი თუ ნამდვილი, ძლიერი, სერიოზულია და მივმართავთ უფალს შეწევნისთვის, ის აუცილებლად მოვა თავისი მადლით, გამოგვასწორებს და განგვწმენდს. ღმერთმა დაგლოცოთ და გაგაძლიეროთ. ვევედროთ უფალს, მოგვცეს ძალა, შეწევნა, რომ ვიაროთ ჭეშმარიტების, სინათლის გზით და ქრისტესთან ერთად, ამინ“, – განაცხადა მეუფე შიომ.","So, the Lord desires our correction and purification more than we desire. If our desire is genuine, strong, and serious, and we turn to the Lord for help, He will surely come with His grace, correct us, and purify us. May God bless and strengthen you. Let us pray to the Lord to give us strength and help to walk on the path of truth, light, and with Christ, Amen,” said Bishop Shio."
05_people_power.csv,1tv_news5,1tv_news5
05_people_power.csv,"დიმიტრი ხუნდაძე - მხოლოდ მშვიდობაა ის აუცილებელი პირობა, რაც ეკონომიკის განვითარებას შეუწყობს ხელს, საქართველო თავისი იმპროვიზაციული პოლიტიკით სწორი მიმართულებით მიდის","Dimitri Khundadze - Only peace is the necessary condition that will promote economic development, Georgia is moving in the right direction with its improvisational policy"
05_people_power.csv,"12:17, 10.04.2026","12:17, 10.04.2026"
05_people_power.csv,"მხოლოდ მშვიდობაა ის აუცილებელი პირობა, რაც ეკონომიკის განვითარებას შეუწყობს ხელს, – ამის შესახებ „ხალხის ძალის“ გენერალურმა მდივანმა, დიმიტრი ხუნდაძემ განაცხადა.","""Only peace is the necessary condition that will contribute to economic development,"" said Dimitri Khundadze, Secretary General of the People's Power Party."
05_people_power.csv,"საქართველოს, როგორც შუა დერეფნის ერთ-ერთი მნიშვნელოვანი მოთამაშის როლზე საუბრისას დიმიტრი ხუნდაძემ აღნიშნა, რომ  ქვეყნის ეკონიმიკური განვითარება შეუნარჩუნებს ქვეყანას რეგიონის ლიდერის ფუნქციას.","Speaking about Georgia's role as one of the important players in the Middle Corridor, Dimitri Khundadze noted that the country's economic development will maintain its role as a regional leader."
05_people_power.csv,"მისი თქმით, ამის მიღწევა მხოლოდ მშვიდობის არსებობის პირობებშია შესაძლებელი, რადგან ომი და განვითარება ერთად წარმოუდგენელია.","According to him, this can only be achieved in the presence of peace, as war and development are inconceivable together."
05_people_power.csv,"„ქვეყნის სატრასპორტო შესაძლებლობების გამოყენებისათვის აუცილებელი პირობაა მშვიდობა. რამდენიმე დღის წინ, როცა ახლო აღმოსავლეთში ვითარება უკიდურესად დაიძაბა, სატრასპორტო-საჰაერო რუკაზე მხოლოდ საქართველოს საჰაერო სივრცე იყო გადატვირთული. ეს იყო ძალიან პატარა მაგალითი იმ დიდ სურათში, რასაც ვამბობ, რომ სატრანზიტო ფუნქციის შესრულებისათვის აუცილებელი პირობაა მშვიდობა.","""Peace is a necessary condition for using the country's transport capabilities. A few days ago, when the situation in the Middle East became extremely tense, only Georgian airspace was congested on the transport-air map. This was a very small example in the big picture, which I am saying is that peace is a necessary condition for fulfilling the transit function."""
