text,anger,disgust,fear,joy,sadness,surprise,neutral
"Dear Editor,",0,0,0,1,0,0,1
"A gentleman, knowing that I am a friend of *t h a t  o n e* who collects materials about Bai Ganyo, handed me the letter attached here to deliver to him. This letter is so original and characteristic that it would not be amiss to print it in the *Zname* newspaper as a feuilleton. How the letter came into the gentleman's hands is unknown to me.",0,0,0,0,0,1,1
"Sofia, October 30, 1895",0,0,0,0,0,0,1
Lucky person,0,0,0,1,0,0,1
"To the Editor of the newspaper ""It's Not the Time"".",0,0,0,0,0,0,1
"Listen here, you greenhorn, why did you frame me in the *Now is Not the Time* newspaper, claiming I was supposedly in the opposition, eh? Is that all the brain you’ve got? Does your Uncle Ganyo look like the type to join the opposition, boy? Or did you say to yourself: let’s keep the circle small so we can split the loot larger? You’re not stupid, I know you. But you’re still a fool, to tell you the truth. That is, you’re not stupid, just a bit of a novice. You should ask your elder brother about these things. You just grabbed the bone yesterday, so to speak, but your elder brother has been gnawing on it for nine years now and has no intention of letting go until the very end. And you know what, boy, let me tell you straight: there’s enough for you, and there’s enough for me. Long live the motherland! Even back when I was heading to Sofia as part of the delegation to beg that scoundrel not to resign—remember then, at the Vrazhdebna inns?—even then I realized there’s no profit in being in the opposition. But you’ll ask, why? Why indeed? It’s quite simple: because you’ll be left behind the broom while others feather their nests. And what people! A choice lot of heroes, all educated, all refined. Our predecessors were a completely wild bunch. They stole openly, by force, like amateurs, and they even allowed themselves debaucheries, offending the honor of wives, of girls, of... Eh, boy, isn't it so? And in the end, they walked right into the trap with both feet. But look, our people today aren't like that. They don't go in for debauchery. That is—how should I put it—it’s not that they don't do it, but who’s going to climb up Djendem Tepe or Nebet Tepe, who’s going to rummage through the hammams to ask what happened? And besides, whose business is it? But as for business dealings, they’re top-notch. Credit where credit is due! They’ve set things up so well that, shame or no shame, I’ll admit it to you, brother, even I was stunned. Bravo, you rascals! See what a thing this ""science"" is. Dealing with people like that—now that I understand. Our predecessors ran things with violence; they beat people, they hanged them, they shot them, they ruined everything. And for what? For nothing. But today, do you see? Only during elections they don't let you budge, but for everything else—freedom! Shout, curse, strain yourself as much as you like—no one says a word. And why should they bother the opposition—let it make its noise, who’s listening? Our people just twirl their mustaches and smirk at them. The power is in their hands—they couldn't care less. And now, when so many railways are to be built, so many companies to be fashioned, so many ports to be constructed, you’ve picked exactly this time to frame me as being in the opposition. Don’t do that, brother. Is that all your friendship was worth? Are you jealous of me, or what? As if you’ve hit fewer windfalls than I have. Just do the math—how many places are you getting paid from? And me—what? I’m just looking after my little trade, and that’s it. And finally, you know these things happen by mutual consent. If you help me get into some fat enterprise, do you really think I won’t show my gratitude? I know how things are done. And as if that wasn't enough, you devil, you’ve twisted the letter so that anyone reading it would think I’m even against the Personage. Me? Is that how loyal you think I am? Didn't we give our word that ""now is not the time""? I’d understand if the power wasn't in our hands, if we were sniffing from the sidelines—then, naturally, you’d see red and go after everyone, the Personage included. But now, when we’ve grabbed the bone with both hands and when it’s exactly the right time to secure ourselves for our old age, should I go and say some ""truthful"" word about the Personage? Your Uncle Ganyo is no fool; he knows when it’s time to shout ""Long live!"" One ""Long live""—and hop, one enterprise. And when the time comes—we know how to shout a different tune, too. That’s how the world goes. If nothing else, we’ve understood that philosophy to its very bottom, damn it.",1,0,0,0,0,0,0
"Boy, haven't our people gone too far with the folk from Lom? I hear: wounded, killed! My, we’d better keep our wits about us, for... they cut off that man's hands, lest his luck turns against him...",0,0,0,0,0,0,1
That's enough for now. Long live His Royal Highness!,0,0,0,1,0,0,0
"Do you see how I'm shouting ""long live,"" yet you've taken to saying I was against it. You're envious of me, devil take you! You know well enough that if we start out-shouting each other, it's anyone's guess who will out-shout whom. And if it comes to showing respect, I won't be outdone there either. You'll kiss a hand, I'll kiss both hands; you'll kiss the hem, I'll kiss the feet; you'll kiss one spot, I'll kiss an even more... ""other"" spot. You think you can compete with me, you greenhorn?",0,0,0,0,0,0,1
Ganyo Balkanski,0,0,0,0,0,0,1
