text,anger,disgust,fear,joy,sadness,surprise,neutral
IPN_news6,0,0,0,0,0,0,1
"არმაზ ახვლედიანი - ხელისუფლება მხარს უჭერდა მეუფე შიოს, ეს ცხადზე ცხადია, ის ჩარეული იყო და არის - ეს დავინახეთ და მაქვს ეჭვი, დავინახავთ ისტორიული სინოდის დაწყებამდეც, სადაც უნდა გამოირჩიონ პატრიარქი (28.04.2026, 19:37)",0,0,0,0,0,0,1
"შესაძლოა საბოლოო სხდომისთვის, სადაც პატრიარქი უნდა გამოირჩიოს სინოდმა, გარკვეულწილად შეიცვალოს კონფიგურაცია - დაწინაურდა მეუფე შიო, მაგრამ არ ვიჩქარებდი და საბოლოო დასკვნას არ გავაკეთებდი, - ამის შესახებ პოლიტიკოსმა არმაზ ახვლედიანმა „პალიტრანიუსის“ გადაცემაში „რეზიუმე“ განაცხადა.",0,0,0,0,0,0,1
"არმაზ ახვლედიანის თქმით, ყველაფერი დამოკიდებული იქნება იმაზე, თუ სად წავა დანარჩენი ორი კანდიდატის ხმები.",0,0,0,0,0,0,1
"„მთავარი გადაწყვეტილება წინაა, დღეს მხოლოდ კანდიდატები გამოირჩია სინოდის სხდომამ, ჩვენ უკვე ვიცით მონაცემები, ვინ რამდენი ხმა მიიღო. არც ის დაგვავიწყდეს, რომ შესაძლოა, საბოლოო სხდომისთვის, სადაც პატრიარქი უნდა გამოირჩიოს სინოდმა, არ იქნება გამორიცხული, რომ გარკვეულწილად შეიცვალოს კონფიგურაცია. თუმცა კი, დღეს ჩანს, ვინ დაწინაურდა, დაწინაურდა მეუფე შიო, მაგრამ არ ვიჩქარებდი და საბოლოო დასკვნას არ გავაკეთებდი, სხვებისგან განსხვავებით.",0,0,0,0,0,0,1
"დღეს პატრიარქს არ ირჩევდნენ, დღეს მხოლოდ სამი კანდიდატი იქნა დასახელებული და მაშინ, როდესაც ერთი იქნება გამოსარჩევი, შესაძლოა დანარჩენი ორი შეთანხმდეს იმაზე, სად წავა მათი და აგრეთვე სხვების ხმები“, - განაცხადა არმაზ ახვლედიანმა.",0,0,0,0,0,0,1
"არმაზ ახვლედიანის განცხადებით, ცხადზე ცხადია, რომ ხელისუფლება საპატრიარქო არჩევნებში ერევა და მხარს უჭერს მეუფე შიოს.",0,0,0,0,0,0,1
"„ხელისუფლება მხარს უჭერდა მეუფე შიოს, ეს ცხადზე ცხადია. ის ჩარეული იყო და არის. მოდით პირდაპირ ვთქვათ, ყველა სახელისუფლო მედია, დილიდან საღამომდე, აქტიურად, ყველა კონტექსტში, რა თემაზეც არ უნდა ესაუბრათ, პირდაპირ თუ ირიბად მხარს უჭერდა ამ ერთ კანდიდატს. ეს თუ ჩარევა არ არის, მაშინ ჩარევა რა არის?! რაც შეეხება სხვა გზით ჩარევას, მე ამაზე ვერ ვისაუბრებ, არ მაქვს არცერთი ფაქტი, რომ მქონდეს ვიტყოდი. მაგრამ, მაქვს საფუძვლიანი ეჭვი და ვარაუდი, რომ უკეთურ ხელისუფლებას ყველა დროში აქვს ზემოქმედების, ზეგავლენის, ზეწოლის ბერკეტი, მით უფრო იმ ხელისუფლებას, რომელსაც ავტორიტეტი აქვს განადგურებული და სჭირდება, რომ რაღაცას ჩაებღაუჭოს, ამ შემთხვევაში ინერციით მიღებულ ავტორიტეტს ეკლესიის და ეს გამოიყენოს სათავისოდ. ეს ჩვენ დავინახეთ ამ ხნის განმავლობაში და მე ეჭვი მაქვს, ამას ისტორიული სინოდის დაწყებამდეც დავინახავთ, სადაც უნდა გამოირჩიონ საბოლოო პატრიარქი“, - განაცხადა არმაზ ახვლედიანმა.",0,0,0,0,0,0,1
"ინფორმაციისთვის, წმინდა სინოდმა სამი საპატრიარქო კანდიდატი გამოარჩია. სინოდის გადაწყვეტილებით, პატრიარქობის კანდიდატები იქნებიან: საპატრიარქო ტახტის მოსაყდრე, სენაკისა და ჩხოროწყუს მიტროპოლიტი შიო (მუჯირი), ურბნისისა და რუისის ეპარქიის მიტროპოლიტი იობი და ფოთისა და ხობის მიტროპოლიტი გრიგოლი.",0,0,0,0,0,0,1
"როგორც საპატრიარქოს საზოგადოებასთან ურთიერთობის სამსახურის უფროსმა დეკანოზმა ანდრია ჯაღმაიძემ ჟურნალისტებს განუცხადა, საპატრიარქო ტახტის მოსაყდრე შიომ მიიღო 20 ხმა, დანარჩენმა ორმა კანდიდატმა კი მიიღო 7-7 ხმა.ამასთან, მისივე განმარტებით, სხვა კანდიდატები იყვნენ მეუფე გრიგოლ კაცია, მეუფე დოსითეოსი და მეუფე მელქისედეკი.",0,0,0,0,0,0,1
