text,love,joy,anger,sadness,fear,surprise,neutral
"”Let me tell you about my meeting with Bai Ganyo,” put in Stoycho.",0,0,0,0,0,0,1
"“Go ahead!” we all exclaimed, because we knew that Stoycho was good at telling funny stories.",1,1,0,0,0,0,0
"It also happened in Vienna. I was sitting in the café one morning, at Mendel’s. I had ordered a cup of tea and had just started looking through some Bulgarian newspapers. I was deeply engrossed in an extremely interesting article in which the author was discussing ways the constitution could be tinkered with—well, actually dismantled—and yet somehow remain intact. So I was reading along, really caught up in it, when someone shouted, “Gooood morning!” right in my ear, and a sweaty palm grabbed my right hand. I looked up. There before me stood a broad-shouldered, dark-eyed, dark-haired, swarthy man with prominent cheekbones, a turned-up mustache, and a ﬁve o’clock shadow. He was dressed (you’ll never guess how) in an unbuttoned frock coat with a broad red sash peeking out from under his vest, a white (by our standards) collarless shirt, a black kalpak, which was perched on his head, and a pair of boots, and he had a walking stick tucked under his arm. He was a young man; I’d say he couldn’t have been more than thirty at most.",0,0,0,0,0,0,1
"“Excuse me, sir,” I said to him, suppressing my surprise. “I don’t have the pleasure of your acquaintance.”",0,0,0,0,0,1,1
"“Is that so? You don’t know me, you say? Aren’t you Bulgarian?”",0,1,0,0,0,0,1
"“Yes, I’m Bulgarian.”",1,0,0,0,0,0,1
“Well?”,0,0,0,0,0,0,1
“Well what?”,0,1,0,0,0,0,1
"“Well, get up so we can get going. What are you doing wasting your time just hanging out here? They call me Ganyo. Now, get up.”",0,1,0,0,0,0,1
There was no need to tell me that he was a Ganyo.,0,0,0,0,0,0,1
"“Excuse me, Mr. Ganyo, but I’m busy right now.”",0,0,0,0,0,0,1
“What do you mean you’re busy? You’re just sitting here in the café.”,0,1,0,0,0,0,1
"I didn’t consider it necessary to provide an explanation. He, however, showed no intention of leaving me in peace and all of a sudden burst out,",0,0,0,0,0,0,0
“Get up and take me to the baths! Where are the public baths around here?”,0,1,0,0,0,0,1
"So that’s it! The gentleman wants to be taken to the baths. I felt like telling him to go to hell, but I restrained myself. Not only did I restrain myself, but I was even a bit amused. It was evident that Bai Ganyo was indeed in need of a bath. He smelled acrid even from far away. What could I do? A fellow countryman must be helped, after all. Besides, I ﬁgured that I could make use of the occasion to have a shower myself. It was quite hot out. We headed off toward a summer public bath that had a large pool. As we walked along I felt compelled to draw Bai Ganyo’s attention to the interesting sights we passed, but I noticed that he barely listened to me. Every once in a while he’d say, in a bored tone, “Is that so” or “I know,” just to show me that he was no country bumpkin. Or he’d interrupt me with some question or other that had no bearing on what I was telling him. For example, I was explaining to him something about the monument to Maria Theresa, the one in the square between the museums, when he suddenly tugged at my sleeve:",0,1,0,0,0,0,1
"“See that woman over there, the one in the blue dress? What do you think? How do you people know which ones are that kind of girl and which ones aren’t? I’ve headed down the wrong alley many a time, y’know what I mean?” Bai Ganyo punctuated his question with a devilish wink.",0,1,0,0,0,0,1
"We arrived at the baths. My heart was in my throat, as if I sensed what was going to happen. We got our tickets at the cashier’s window. Bai Ganyo demanded his change by pushing his hand through the opening under the window and rubbing his ﬁngers together. The young woman behind the glass smiled and gave him the change. Bai Ganyo fixed his lustful eyes on her, scooped up the money, and, with a peculiar cough, revealed his feelings. She burst out laughing. Bai Ganyo, enchanted, twirled the left side of his mustache and bobbed his head.",0,0,0,0,0,0,1
"“Che fromoza esh domneta. Stoycho, ask her if she knows Romanian.” “Shtii rumuneshti?” Bai Ganyo posed the question himself.",0,0,0,0,0,0,1
"Just then another customer came in, so we moved on into the general hall. It was a big round hall. All around the sides were dressing stalls, each one concealed behind a curtain. In the middle was the pool, separated from the walkway by a low wooden balustrade. There were several small ladders for climbing down into the pool. Bai Ganyo and I occupied two neighboring stalls. I undressed quickly and entered the cold pool. Several Germans stood there quietly, dutifully stretching their muscles, huffing and puffing. Bai Ganyo busied himself for quite a while behind the curtain of his stall. You could hear his grunting and the tinkling sound of some sort of glass objects. Finally he drew the curtain aside, and there he stood in his birthday suit. His chest was hairy, and his legs were dappled with coloring from his embroidered, woolen, country-style socks. In his hand he held a knotted cloth: these were his precious muskali, bound up in a not-so-clean kerchief, which he had been loath to leave in the dressing stall. “How do you know that the walls are sturdy? Somebody might rip out a plank from the back, and then just try to catch him.” He looked along the walls down the corridor, hoping to ﬁnd a nail that he could hang his bundle on. He ﬁgured that if it was a wall, it ought to have nails in it, and he turned to me:",0,0,0,0,0,0,1
“What idiots these Germans are! It doesn’t occur to them to pound in a nail. And they say we’re stupid.”,0,0,1,0,0,0,0
"Having decisively convinced himself of the Germans’ incompetence, Bai Ganyo, with some misgivings, left his bundle of muskali on the floor in front of his dressing stall so that he could keep an eye on it while he bathed.",0,0,0,0,0,0,1
"“Listen here, young man,” he said, turning to me. “While you bathe, keep an eye on these muskali. And pay attention to me, too—don’t miss the show.” And with these words, Bai Ganyo put one foot on the railing. “You just watch.”",0,0,0,0,0,0,1
"He hoisted himself up, put the other foot on the railing, stood up straight, crossed himself, and shouted, “Watch . . . Lord help me . . . Here I go!” And he leapt into the air, tucked his legs up, and splash! Right into the pool. Sheaves of water rose up and then showered down on the heads of the Germans, who were struck dumb in amazement. Waves spread out in circles from the center of the pool toward the edges, splashed up out of the pool and back again, and after a few seconds, when the water had settled back down, everyone in the bath could see Bai Ganyo’s exhausting antics under the water. He shot up above the water, then stretched his legs down and touched the bottom, rose up again with his eyes closed and his ears plugged up. Then he shook the water off—pfff!—and sprayed water through his drooping mustache—pfff!—wiped the water from his hair and face, opened his eyes, looked directly at me, and burst out laughing:",0,0,0,0,0,1,1
"“Ha, ha, ha! Eh? What do you say to that?”",0,1,0,0,0,0,1
"I didn’t get a chance to respond, because he did a belly flop and began slapping the surface of the water with his hands, swimming “sailor style.” Splash! with one hand, then two kicks behind him, splash! with the other hand and two more kicks. The water in the entire pool was seething, as if we were under a waterfall. Waves splashed against the sides of the pool, and cascades of droplets sprayed as far as the opposite wall.",0,0,0,0,0,0,1
"“That’s called ‘sailor style,’” Bai Ganyo exclaimed triumphantly through the waves. “In a second we’ll show ’em the one called the ‘steamboat.’”",0,1,0,0,0,0,1
"He flipped over onto his back and began to kick the surface of the foamy water so mercilessly that the spray reached all the way to the ceiling. He churned his arms quickly, in imitation of a paddle wheel, and then Bai Ganyo gave a whistle: “Tupalupa tupalupa toot toot.”",0,0,0,0,0,0,1
"The Germans stood stock-still. In all likelihood they assumed my companion to be some newcomer from the east who had not yet been committed to an insane asylum, and I observed in their faces not so much indignation as pity. But Bai Ganyo, of course, read in their faces endless wonder at his talents. He clambered up the ladder, stood with his legs slightly apart, and with a lofty glance at the Germans, he grandiosely thumped his hairy chest, shouting triumphantly,“Bulgar! Bulga-a-a-ar!” And then he struck his chest with even greater vigor.",0,0,0,0,0,0,1
"The proud tone in which he expressed this self-recommendation spoke volumes. It said, “Here before you stands a prime Bulgarian specimen; look upon him! This is what he is; this is the stuff he’s made of. You’ve only heard of that genius of the Balkans, the hero of the battle of Slivnitsa. And now he stands before you, the whole package, from head to toe, in all his natural splendor. Do you see what wonders he can accomplish? But that’s not all! Oho! He can do so much more! So, the Bulgarians are uncouth, are they? You miserable Chifuti!”",1,1,0,0,0,0,0
"“Hey there, ask them if they have any soap!” Bai Ganyo called to me after his little display of patriotic euphoria had cooled somewhat. “Look at my legs; what a state they’re in!”",0,0,0,0,0,0,1
"Indeed, his legs wouldn’t exactly serve as the most suitable model for Apollo Belvedere. The colored designs from his embroidered woolen socks were still imprinted on his skin, which in any case was filthy and shaggy. But still, you can’t surprise Bulgarians with dirt: not even the most active imagination can come up with anything more sullied than reality itself.",0,0,1,0,0,0,1
"With these words, Stoycho ﬁnished his tale.",0,0,0,0,0,0,1
