Source File,Content
01_deputy_economy_minister.csv,Deputy Economy Minister: ADB highlights Georgia's favourable business climate and infrastructure ambitions as growth forecast upgraded
01_deputy_economy_minister.csv,"15:43, 10.04.2026"
01_deputy_economy_minister.csv,"“The Asian Development Bank (ADB) has published its Asian Economic Outlook report, highlighting Georgia’s strong economic growth of 7.5% in 2025. For 2026, against a backdrop of ongoing regional conflicts, the ADB projects growth of 5.5 per cent, an improvement of 0.5 percentage points on the previous forecast,” Vakhtang Tsintsadze, Deputy Minister of Economy and Sustainable Development, has stated."
01_deputy_economy_minister.csv,"The Deputy Minister noted that the report draws particular attention to Georgia’s current account deficit, having fallen to a record low, alongside international reserves reaching a record high."
01_deputy_economy_minister.csv,"For 2026, the ADB expects average inflation in Georgia to stand at 3.8 per cent, reducing the previous year’s figure."
01_deputy_economy_minister.csv,"“The Asian Development Bank also emphasises that Georgia is striving to establish itself as a trade, logistics, and transport hub. In this regard, the report highlights a series of reforms facilitating improvements to customs procedures and related processes. The Bank further underscores Georgia’s infrastructure achievements, both in port development and rail connectivity,” said Vakhtang Tsintsadze."
01_deputy_economy_minister.csv,"According to the Deputy Minister, the ADB report singles out Georgia’s attractive business environment for particular praise, drawing attention to the country’s free trade agreements, as well as the mechanisms in place to safeguard investors’ interests, all of which, taken together, serve to strengthen the confidence of both domestic and international investors and enhance Georgia’s appeal as an investment destination."
02_georgia_to_recognise.csv,Georgia to recognise pre-2010 diplomas under legislative reform
02_georgia_to_recognise.csv,"11:01, 10.04.2026"
02_georgia_to_recognise.csv,"“The Georgian government will submit legislative amendments to parliament that will resolve longstanding diploma recognition issues, affecting thousands of citizens who graduated before 2010,” Givi Mikanadze, Georgia’s Minister of Education, Science and Youth, announced."
02_georgia_to_recognise.csv,"According to the Minister, the amendments will place four-year full-time and five-year part-time degrees on an equal footing."
02_georgia_to_recognise.csv,"The changes will affect students who enrolled under an accredited programme but completed their studies after the institution lost its accredited status, as well as citizens who were admitted to universities before those institutions had obtained the requisite licence."
02_georgia_to_recognise.csv,"“We had a situation where our citizens completed a four-year programme, studied exactly the same number of subjects, and received exactly the same qualification as those on a five-year part-time course. Under the previous legislation, a five-year degree was considered equivalent to a Master’s qualification, whereas a four-year degree was recognised solely as a Bachelor’s. Under the new amendments, those who complete a four-year programme will receive a diploma equivalent to a Master’s degree, significantly broadening their employment prospects in their chosen fields."
02_georgia_to_recognise.csv,"“Before 2010, before a unified system was established, there was no registry in the education sector to keep students properly informed. There have been instances where certain universities, not yet accredited, failed to disclose this information to prospective students and proceeded to enrol them regardless. When the time came to issue diplomas, graduates found themselves unable to have those documents recognised."
02_georgia_to_recognise.csv,"Furthermore, some higher education institutions held authorisation for a limited period, only to lose it mid-course, again, without informing their students, who subsequently faced the same difficulties."
02_georgia_to_recognise.csv,"These legislative amendments will finally end the long, difficult process our citizens have endured to get diploma recognition, eliminating court appearances, appeals, and the significant time and effort they have invested. All of that will be consigned to history, and the diplomas of thousands of our citizens will at last be recognised,” said Givi Mikanadze."
03_good_friday.csv,Good Friday at Holy Trinity Cathedral in pictures
03_good_friday.csv,"14:44, 10.04.2026"
03_good_friday.csv,"Today is Good Friday, the most solemn day of Holy Week. The Orthodox Church commemorates the crucifixion of Jesus Christ, His descent from the Cross, and His burial."
03_good_friday.csv,"The Locum Tenens of the Patriarchal Throne, Metropolitan Shio, is conducting the Royal Hours, Vespers, and the Rite of the Descent from the Cross at the Patriarchal Cathedral of the Holy Trinity."
03_good_friday.csv,"No Divine Liturgy is celebrated on Good Friday, for according to the Gospel, the Lord offered Himself as a sacrifice for the redemption of humanity from sin. In its place, the Royal Hours are observed, during which the Passion narrative is read from the Gospels."
04_metropolitan_shio.csv,"Metropolitan Shio: If our desire is true and sincere, the Lord will come in His grace and cleanse us"
04_metropolitan_shio.csv,"17:22, 10.04.2026"
04_metropolitan_shio.csv,"“The Lord awaits the moment when we compel our souls, burdened and wounded by sin, to turn towards Him and seek salvation and mercy. Our correction, our inner transformation, is possible only through God. It is not within our own power to achieve it,” declared the Locum Tenens of the Patriarchal Throne, Metropolitan Shio of Senaki and Chkhorotsku (Mujiri), in his homily at the Holy Trinity Cathedral, where the Vespers of the Descent from the Cross had been performed shortly before."
04_metropolitan_shio.csv,"In the words of Metropolitan Shio, “if our desire is genuine, strong, and earnest, the Lord will assuredly come in His grace, correct us, and cleanse us.”"
04_metropolitan_shio.csv,"“Through the glorious and ancient liturgy of our Church, composed by the great holy Fathers, celebrated hymnographers, the finest poets, thinkers, and wise men, we are granted not merely to learn of the events surrounding the Lord Jesus Christ from the Gospel, but to become participants in those events through the act of worship itself. And so today we have brought forth the holy Descent from the Cross, and each one of us is a participant in this mystery."
04_metropolitan_shio.csv,"Those gathered here, those who are gathered, are not those who, a short while ago, cried out: Crucify Him, crucify Him. We are those who say to the Lord: Forgive us, O Lord. The Church teaches us that through our sins we crucify the Lord again and again. He came to this earth, took on flesh, suffered, and died to free us from the bondage of sin, from the burden of sin."
04_metropolitan_shio.csv,"Who was the first person whom the Lord set free from that burden? One of the crucified thieves, the wise thief, who was so moved by the sufferings of the innocent Saviour that he confessed his own sins and, from the Cross, turned to the Saviour in repentance. And it is precisely this that the Lord awaits from us: that we should compel our souls, burdened and wounded by sin, to turn to God and seek salvation and mercy."
04_metropolitan_shio.csv,"Many of us, some for years on end, try independently to set something right within our souls, within our lives, without God, by our own strength alone. It is a futile endeavour. It is nothing but a proud and foolish attempt, for our correction, our inner transformation, is possible only through God. It is not within our own power. We may, perhaps, alter our outward behaviour in some small measure, but to change inwardly is beyond our reach, as the Lord Himself says: Without Me, ye can do nothing."
