text,anger,disgust,fear,joy,sadness,surprise,neutral
"I. There were Khevsurs at the inn, and beer was boiling in the *tsika*;  
they sat on the *ban* and feasted, drinking it from cups;  
some played the *panduri*, singing loudly over it,  
and to the listeners’ hearts they brought heroic tales as a bridge;  
with fervor they counted the names of heroes in verses, as something sacred;  
the old men drew their pipes, and smoke wrapped them like a mist,  
they explained their stories, speaking of the heroes’ glory.  
For the instruction of the young they recalled, with praise:  
“You know, from now on, whoever proves himself a man!”",1,0,1,1,0,0,1
"In the gathering, one man appears pale-faced and calm; like a bee around honey, both the small and the great cluster about him. A sword hangs at the waist of the gloomy one, and a shield hangs over his shoulder. Before his knees, two bareheaded men sit on their knees, offering cups and receiving black beer in great bowls.  
— Drink, Mindia, — they say, — it is good beer, full of spirit; tell us something, by God’s grace, some proper Georgian verse.",1,0,1,1,0,0,1
"– What did the drunk man tell you, men? Wine overpowered his reason; let the words remain for another time, if death allows me. – He lifted the karakhana, drained it, and emptied it.",1,1,0,1,0,0,1
"He, having returned from captivity, delighted in being among his brothers, and like many others, he too would get drunk on beer.",1,0,1,1,1,0,1
They used to tell incredible stories about this Mindia: they said that Mindia had been held captive by the demons for twelve years.,1,0,1,1,1,0,1
"Captivity had greatly oppressed him, being outside his homeland; time passed, many Easters and Christmases went by, but Mindia’s captivity did not come to an end. Slavery had worn down his heart, and his soul longed to rise. He remembered his snow-covered mountains, the darkened gorges, the uneven roads, his mother, father, and brothers mourning his fate, his poor little hut, which he would have accepted as paradise, and many times he had fervently prayed to the icons and to God for help.",0,0,1,1,1,1,1
"At last he said, “I shall kill myself; such a life is worse than death!” For the demons, Kobia saw a meal set out on the fire. He knew that they often boiled snakes and ate them; the demons, in their demonhood, could endure taking snakes into their mouths, and he thought to himself that this would turn into torment for him.",1,1,0,1,1,0,1
"He took one piece, and with disgust, like a thief, ate it, and at that moment heaven looked down on the captive with a merciful eye: a new soul was breathed into him, and new flesh was clothed upon him; the sight of his heart and eyes, as if he had been blind and deaf, was opened. From that day on he understands everything that birds sing, or plants and animals, when they rejoice and when they suffer. Whatever the Lord has created, whether animate or inanimate, all of it, it turns out, has a language; there has been no one without law.",1,1,1,1,0,0,1
"He feels it too, and even he himself is amazed at the change in his own nature as a captive. He understood that the serpent’s eating was a vision sent by the demons. They showed wisdom in the form of a serpent so that he would loathe it as food, though they did not hesitate to say, “You too, eat, Mindia.”",1,0,1,1,1,1,1
"He learned the wisdom of the demons from that time on, the captive;  
The sky, the earth, and the forest began to converse with him.  
Only evil could not take root in his heart;  
All the rest of the demon-kind’s tricks he learned as skill.  
He fears nothing anymore, even if lightning were to strike him.  
The demons are enraged when they see it — the peasant has become enlightened.  
Captivity no longer frightens him, nor do demonic schemes;  
Today or tomorrow, he hopes, he will give the demons a beating.",1,0,1,1,1,0,1
"Swift as a bullet, cunning as a serpent,  
all of Pshav-Khevsureti reveres him and finds comfort in him;  
Crowned Tamar is forever saying this:  
“Only let Mindia stay with me, and with him the mountain folk are a people;  
however hard the enemy may try, he can do me no harm.”

He knows the stratagems that defeat and crush the foe;  
if he reaches the wounded while they are still alive, there is no need to fear death.  
His incomparable remedy heals even one cut in half;  
thus he never dwindles in war, for he always has a great army;  
far and wide has his tale of adventure gone forth.",1,0,1,1,1,0,1
"II. When spring arrives, the land awakens: cheerfulness and joy roam everywhere. Green shoots appear, flowers cling to the greenery, and Mindia wanders alertly through mountain and field. He greets every plant and herb with a salutation; nature itself cries “Hurrah!” with richly adorned banners, flowers with heads thrown back, painted as if by a pen, all shout in unison, “Long live Mindia!” and raise a buzzing clamor. The trees shake their leaves, nature begins to rustle, and then, one by one, all begin to murmur: “I am the remedy for this one”; another cries, “for that one”; and Mindia plucks them too and carries them away, while the morning dew still lies upon them.",1,0,1,1,0,0,1
"It turns out that flowers have a strange nature: only to poison the sick, they do not care for bodies already luxuriant with life; they deem as a delight, for the benefit of humankind, the broken-down bones and flesh. Flowers have this nature, and, it seems, trees are fated to weep; only Mindia hears their groaning and lament.

Because of this, his life is greatly burdened: he went to a tree with an axe and said, “I must cut this one down!” He strikes the axe, and at that moment the tree’s groan is heard: “Do not kill me, my Mindia, do not darken my sun! Since I am unarmed, is that why you mock me, tree?!” His arms grow weak, and he gazes blankly at the sky. He turns to another tree, and it begins to groan even more. He comes away empty-handed, unable to bring back firewood, and so that the fire may not go out on the embers, he lights hay or straw, dried twigs, and adds brushwood; if he finds any dry kindling anywhere, he does not reject that either. Still he thanks God, still, in the evening and in the morning.",0,0,1,1,1,1,1
"He also advises others: “Men, come, let us not commit sin; do not cut down the tree, let us be content with the branches, with a little dry brushwood.” No one listens; they call his advice nonsense: “God has created it for our benefit, for our use!” And even today no one spares the poplar-beech tree from being cut down.",1,1,1,1,0,0,1
"III. When he begins reaping the field, he is mad, frantic: he cuts one foot here, another there, with his chest torn open; he tramples the whole field, tears it up, ruins it, and as long as he has strength in his arm, he spins like a top, and when he grows exhausted, he sprawls out on the ground.",1,1,0,1,1,1,1
"If you ask, “Why do you do this?”  
he will answer you this way:  
— What are you saying, men? Do you not understand, that is why you blame my behavior.  
Do you not know how the ears of grain beg me?  
You should know, should see the trembling of the heads of wheat,  
when ten thousand at once thunder from every side—  
when I am with the sickle in hand, they see me as their god:  
— “No, cut me, Mindia, do not leave me, I beg you!”  
— “No, me,” cries another, “heaven frightens me more.  
If I see even a little cloud, I collapse in body.  
Alas, if hail should come, it will cut my throat with a knife.”  
Another cries even louder: “Do not spare me, let me rejoice in my own strength!”  
They drive me mad with their pleas; I go out of my mind with their blame.  
I try, and with two hands and eyes I cannot reach them all,  
and in the meantime I myself become one who must be turned back by water.  
In the field, hail is feared—for people being left without food;  
for how else could hail destroy it, as it does the sickle?!  
For people’s benefit, the ears of grain spare themselves, golden in color;  
they do not wish to rot uselessly, to be pecked by crows and vultures.  
That is why they hurry to be harvested, all crying out together;  
they wish to become bread, to be eaten, so that the hungry may be filled by them—  
let us speak of the blessing of dead men, let us praise the powers of the heavens.",1,1,0,1,0,0,1
"IV. The Khevsurs had a feast day, a drinking of beer, a revelry. The feast day of Gudani Jvari invites the great worshippers. The people are convinced; the elders debate many things: some speak of others’ deeds, others of their own adventures; they speak of bravery, of rifles and swords, of who wears the chain-cutting belt at the waist, and everyone praised that man. They listen with reverence to what each person says from experience. At the same time, they began a discussion about the knowledge of the snake-eater, the woodcutter, the grass-mower, and the sin of what they had done.",1,0,1,1,0,0,1
