text,anger,disgust,fear,joy,sadness,surprise,neutral
"Shalva Papuashvili - Some European bureaucrats do not understand geography, they think you can jump over Georgia and connect Europe to Asia - no one has ever won a struggle against geography (06.05.2026, 17:39)",0,0,0,0,0,0,1
"Some European bureaucrats think that you can bypass Georgia and connect Europe to Asia that way—no one has ever won a battle against geography!—the Chairman of the Parliament, Shalva Papuashvili, stated today.",0,0,0,0,0,0,1
"According to Papuashvili, “those bureaucrats who think they can achieve anything by bypassing or ignoring Georgia will once again be defeated by geography.”",0,0,0,0,0,0,1
"“It has been this way for centuries—the Silk Road did not pass through here for nothing... it passed through because then, just as now, it was the shortest and safest connecting route between Europe and Asia. Some bureaucrats are not well-versed in geography. As we saw in a recent report, among them, the French Minister for European Affairs could not find Iran on the map. They also often cannot find where Georgia is. Some European bureaucrats think that you can jump over Georgia and connect Europe and Asia that way—no one has ever won a struggle against geography,” stated Shalva Papuashvili.",0,0,0,0,0,0,1
"Shalva Papuashvili - In the form of the European Parliament, we have a reincarnation of the Congress of People's Deputies of the Soviet Union, while we think in a European way, as a democratic country; there is a value gap between us (06.05.2026, 17:46)",0,0,0,0,0,0,1
"""In the form of the European Parliament, we have a reincarnation of the Congress of People's Deputies of the Soviet Union. There is a value-based abyss between us. The Georgian people have nothing in common with people of Soviet mentality, Gorbachev's comrades-in-arms, and those distinguished by fascist statements,"" stated the Speaker of the Parliament, Shalva Papuashvili, to journalists in response to a question regarding the report on Georgia adopted by the European Parliament's Committee on Foreign Affairs.",0,0,0,0,0,0,1
"As Papuashvili noted, the Georgian side has less and less to discuss with the European Parliament.",0,0,0,0,0,0,1
"""We see that we have less and less to talk about with these people. We are at two different poles in terms of values. In the form of the European Parliament, we have a reincarnation of the Soviet Union's Congress of People's Deputies, in every sense of the word—with everything: the aesthetics, Rasa Juknevičienė's Russian accent, absolutely everything; it is already a complete reincarnation of the Congress of People's Deputies. Whereas we think in a European way, we think as a democratic country; therefore, there is a chasm between us in terms of values. We have nothing in common, nor can we ever have, with that kind of 'value mishmash' currently taking place in the European Parliament.""",0,0,0,0,0,0,1
"“This EU institution must change fundamentally so that the Parliament of Georgia and Georgia can have any kind of relationship with it. The Georgian people have nothing in common with people of Soviet mentality, Gorbachev's associates, and individuals distinguished by fascist statements,” Papuashvili stated.",0,0,0,0,0,0,1
"Shalva Papuashvili - Zelenskyy has the Prime Minister of Georgia on the sanctions list and now he had to approach and speak with him - this shows how erroneous the Ukrainian government's policy was towards the Georgian people (05.05.2026, 14:59)",0,0,0,0,0,0,1
"""I believe that the initiative shown by President Zelenskyy to speak with the Prime Minister of Georgia demonstrates that any policy that is inherently unjust is doomed to failure,"" stated the Chairman of the Parliament of Georgia, Shalva Papuashvili.",0,0,0,1,0,0,1
"According to him, the President of Ukraine has included Georgian Prime Minister Kobakhidze in the list of sanctioned individuals, and now he had to approach and speak with him.",0,0,0,0,0,0,1
"„I think this speaks for itself regarding how erroneous the Ukrainian government's policy toward the Georgian people was, and it gives me hope that this is a sign of a rethink—that acting against the Georgian people yields no results and that betting on forces fueled by the betrayal of the Georgian people will not bring good results. Once again, we have always said—not only in relation to Ukraine but to all countries and governments engaged in various forms of unfair policies toward the Georgian population—that we remain in a format of one-sided friendship, which means that we are in the right in these relations. Ultimately, I hope that whoever took a wrong step regarding Georgia will realize the error of their ways. We are always ready to re-evaluate all these relationships.“",0,0,0,1,0,0,0
"For more than four years, unfortunately, we have seen a policy from the Ukrainian government that is not only directed against the Georgian people but also fails to serve the interests of the Ukrainian people. For four years, we have seen that this relationship has reached its current point precisely due to the decisions of the Ukrainian government. In this relationship, we have always emphasized that Georgia and the Georgian government have consistently supported the Ukrainian people and Ukraine; there is no resolution that we have not supported. If anyone needs to take a step forward and rectify the situation, it is the Ukrainian government.",0,0,0,0,0,0,1
"""When you impose sanctions on government representatives who stand by your country and people, it is anything but an expression of gratitude. As for other actions, we have all witnessed them; we saw with our own eyes and heard with our own ears when President Zelenskyy directly demanded that the Georgian government organize fighters and send them to Ukraine to fight, thereby openly involving [Georgia] as a party in the Russia-Ukraine war. In Georgian, this is called 'being dragged into war'; I don't know what they call it in Ukrainian,"" stated Papuashvili.",0,0,0,1,0,0,1
"Shalva Papuashvili - It is symbolic that a few days before May 9, Juknevičienė, who is distinguished by her fascist statements, is the author of the resolution - the European Parliament is presenting itself as the successor to the Soviet Union's Congress of People's Deputies (05.05.2026, 14:52)",0,0,0,0,0,0,1
"""In a few days, we will have another celebration of Victory Day over Fascism, and it is symbolic that a few days before May 9, Juknevičienė, who is distinguished by her fascist statements toward the Georgian people, is the author of this resolution,"" stated the Chairman of the Parliament of Georgia, Shalva Papuashvili.",0,0,0,0,0,0,1
"As Papuashvili noted in response to a question regarding the report on Georgia adopted by the European Parliament's Foreign Affairs Committee, the European Parliament confirms once again that it is increasingly establishing itself as the ""successor to the Congress of People's Deputies of the Soviet Union.""",0,0,0,0,0,0,1
"""As for the next hostile report or resolution being prepared against the Georgian people, there is nothing new in this. Once again, the European Parliament confirms that day by day it is establishing itself as the successor to the Soviet Union's Congress of People's Deputies. It presents itself as the successor to the Soviet Union's People's Congress. This is not surprising, considering that we see Soviet citizens in the ranks of the European Parliament—representatives of the Soviet nomenklatura or elite who are ensconced in the European Parliament. I am referring to the representatives of the Baltic states and some Eastern European countries. Just as the Moscow Union Congress used to make hostile decisions regarding Georgia, the Brussels 'Union Parliament' is making such hostile decisions today.""",0,0,0,0,0,0,1
