Article ID,Article Name,Paragraph,English - Google,English - Gemini,English - ChatGPT,Original,English,Google,Gemini,ChatGPT
6,Ge Armaz Akhvlediani,1,0.8271712,0.8715813,0.9218964,"არმაზ ახვლედიანი - ხელისუფლება მხარს უჭერდა მეუფე შიოს, ეს ცხადზე ცხადია, ის ჩარეული იყო და არის - ეს დავინახეთ და მაქვს ეჭვი, დავინახავთ ისტორიული სინოდის დაწყებამდეც, სადაც უნდა გამოირჩიონ პატრიარქი (28.04.2026, 19:37)","Armaz Akhvlediani: The authorities supported Metropolitan Shio, that is clearer than clear - he was and is involved - we saw it, and I suspect we will see it even before the historical Synod begins where the Patriarch is to be elected (28.04.2026, 19:50)","Armaz Akhvlediani - The government supported Bishop Shio, this is clear, he was and is involved - we saw this and I suspect we will see it even before the start of the historic synod, where the patriarch is to be elected (28.04.2026, 19:37)","Armaz Akhvlediani - The government supported Metropolitan Shio, this is clearer than clear; it was and is involved - we saw this, and I suspect we will see it even before the start of the historical Synod, where the Patriarch is to be elected (28.04.2026, 19:37)","Armaz Akhvlediani - The authorities supported Metropolitan Shio, that is crystal clear, he was involved and still is - we saw this, and I have a suspicion that we will see it even before the start of the historic synod, where the Patriarch is supposed to be elected (28.04.2026, 19:37)"
6,Ge Armaz Akhvlediani,2,0.83583117,0.9556465,0.91532457,"შესაძლოა საბოლოო სხდომისთვის, სადაც პატრიარქი უნდა გამოირჩიოს სინოდმა, გარკვეულწილად შეიცვალოს კონფიგურაცია - დაწინაურდა მეუფე შიო, მაგრამ არ ვიჩქარებდი და საბოლოო დასკვნას არ გავაკეთებდი, - ამის შესახებ პოლიტიკოსმა არმაზ ახვლედიანმა „პალიტრანიუსის“ გადაცემაში „რეზიუმე“ განაცხადა.","“It is possible that by the final session, where the Patriarch is to be selected by the Synod, the configuration may change to some extent. Metropolitan Shio has advanced, but I would not rush and would not make final conclusions,” said politician Armaz Akhvlediani in the program “Resume” on PalitraNews.","Perhaps for the final session, where the Synod is to elect the Patriarch, the configuration may change somewhat - Bishop Shio was promoted, but I would not rush and make a final conclusion, - politician Armaz Akhvlediani stated this in the ""Resume"" program of ""Palitranius"".","""It is possible that for the final session, where the Synod is to elect the Patriarch, the configuration may change to some extent—Metropolitan Shio has moved forward, but I would not rush and would not draw a final conclusion,"" politician Armaz Akhvlediani stated on the PalitraNews program ""Resume.""","For the final session, where the Patriarch is to be chosen by the Synod, the configuration may change somewhat — Bishop Shio has been promoted, but I would not rush and would not draw a final conclusion, - politician Armaz Akhvlediani said in the “Resume” program on “Palitranews.”"
6,Ge Armaz Akhvlediani,3,0.95299935,0.95299935,0.95299935,"არმაზ ახვლედიანის თქმით, ყველაფერი დამოკიდებული იქნება იმაზე, თუ სად წავა დანარჩენი ორი კანდიდატის ხმები.","According to Akhvlediani, everything will depend on where the votes of the other two candidates go.","According to Armaz Akhvlediani, everything will depend on where the votes of the other two candidates go.","According to Armaz Akhvlediani, everything will depend on where the votes of the other two candidates go.","According to Armaz Akhvlediani, everything will depend on where the votes of the other two candidates go."
6,Ge Armaz Akhvlediani,4,0.8114063,0.97063863,0.91388077,"„მთავარი გადაწყვეტილება წინაა, დღეს მხოლოდ კანდიდატები გამოირჩია სინოდის სხდომამ, ჩვენ უკვე ვიცით მონაცემები, ვინ რამდენი ხმა მიიღო. არც ის დაგვავიწყდეს, რომ შესაძლოა, საბოლოო სხდომისთვის, სადაც პატრიარქი უნდა გამოირჩიოს სინოდმა, არ იქნება გამორიცხული, რომ გარკვეულწილად შეიცვალოს კონფიგურაცია. თუმცა კი, დღეს ჩანს, ვინ დაწინაურდა, დაწინაურდა მეუფე შიო, მაგრამ არ ვიჩქარებდი და საბოლოო დასკვნას არ გავაკეთებდი, სხვებისგან განსხვავებით.","“The main decision is ahead. Today, the Synod session only selected the candidates; we already know the results of how many votes each received. Let us also not forget that by the final session, where the Patriarch is to be elected, it is not excluded that the configuration may change. However, today it is visible who is ahead – Metropolitan Shio has advanced, but I would not rush or make final conclusions, unlike others.","""The main decision is in the past, today only the candidates were selected by the Synod session, we already know the data, who received how many votes. Let's not forget that perhaps, for the final session, where the Synod is to select the Patriarch, it will not be ruled out that the configuration will change to some extent. However, today it is clear who was promoted, Bishop Shio was promoted, but I would not rush and make a final conclusion, unlike others.","""The main decision is still ahead; today the Synod session only selected the candidates, and we already know the data on how many votes each received. We should also not forget that for the final session, where the Synod is to elect the Patriarch, it is not out of the question that the configuration may change to some extent. However, while it is clear today who has taken the lead—Metropolitan Shio has moved forward—unlike others, I would not rush to make a final conclusion.""","“The main decision lies ahead; today the Synod session only selected the candidates. We already know the figures, who received how many votes. Let us not forget either that by the final session, where the Synod is to choose the Patriarch, it is not impossible that the configuration may change to some extent. However, today it is clear who has moved ahead: Bishop Shio has moved ahead, but I would not rush and would not draw a final conclusion, unlike others.”"
6,Ge Armaz Akhvlediani,5,0.92207885,0.9408064,0.950685,"დღეს პატრიარქს არ ირჩევდნენ, დღეს მხოლოდ სამი კანდიდატი იქნა დასახელებული და მაშინ, როდესაც ერთი იქნება გამოსარჩევი, შესაძლოა დანარჩენი ორი შეთანხმდეს იმაზე, სად წავა მათი და აგრეთვე სხვების ხმები“, - განაცხადა არმაზ ახვლედიანმა.","Today the Patriarch was not being elected; today only three candidates were selected. When one is to be chosen, it is possible that the other two may agree on where their votes, as well as others’ votes, will go,” Akhvlediani said.","""Today, the patriarch was not elected, today only three candidates were named, and while one is elected, the other two may agree on where their votes and those of others will go,"" said Armaz Akhvlediani.","""Today, the Patriarch was not being elected; only three candidates were nominated today, and when one is to be selected, the other two may agree on where their votes, as well as those of others, will go,"" stated Armaz Akhvlediani.","“Today, the patriarch was not being elected; today only three candidates were nominated, and when one is to be chosen, the other two may agree on where their votes, as well as the votes of others, will go,” said Armaz Akhvlediani."
6,Ge Armaz Akhvlediani,6,0.79719853,0.82001305,0.7852398,"არმაზ ახვლედიანის განცხადებით, ცხადზე ცხადია, რომ ხელისუფლება საპატრიარქო არჩევნებში ერევა და მხარს უჭერს მეუფე შიოს.","According to him, it is “clear as day” that the authorities are interfering in the Patriarchal election and supporting Metropolitan Shio.","According to Armaz Akhvlediani, it is clear that the government is interfering in the patriarchal elections and supporting Bishop Shio.","According to Armaz Akhvlediani, it is crystal clear that the government is interfering in the patriarchal elections and supporting Metropolitan Shio.","According to Armaz Akhvlediani, it is crystal clear that the government is interfering in the Patriarchate elections and supporting Bishop Shio."
6,Ge Armaz Akhvlediani,7,0.93440115,0.97744465,0.91451406,"„ხელისუფლება მხარს უჭერდა მეუფე შიოს, ეს ცხადზე ცხადია. ის ჩარეული იყო და არის. მოდით პირდაპირ ვთქვათ, ყველა სახელისუფლო მედია, დილიდან საღამომდე, აქტიურად, ყველა კონტექსტში, რა თემაზეც არ უნდა ესაუბრათ, პირდაპირ თუ ირიბად მხარს უჭერდა ამ ერთ კანდიდატს. ეს თუ ჩარევა არ არის, მაშინ ჩარევა რა არის?! რაც შეეხება სხვა გზით ჩარევას, მე ამაზე ვერ ვისაუბრებ, არ მაქვს არცერთი ფაქტი, რომ მქონდეს ვიტყოდი. მაგრამ, მაქვს საფუძვლიანი ეჭვი და ვარაუდი, რომ უკეთურ ხელისუფლებას ყველა დროში აქვს ზემოქმედების, ზეგავლენის, ზეწოლის ბერკეტი, მით უფრო იმ ხელისუფლებას, რომელსაც ავტორიტეტი აქვს განადგურებული და სჭირდება, რომ რაღაცას ჩაებღაუჭოს, ამ შემთხვევაში ინერციით მიღებულ ავტორიტეტს ეკლესიის და ეს გამოიყენოს სათავისოდ. ეს ჩვენ დავინახეთ ამ ხნის განმავლობაში და მე ეჭვი მაქვს, ამას ისტორიული სინოდის დაწყებამდეც დავინახავთ, სადაც უნდა გამოირჩიონ საბოლოო პატრიარქი“, - განაცხადა არმაზ ახვლედიანმა.","“The authorities supported Metropolitan Shio; that is clearer than clear. He was and is involved. Let us say it directly – all pro-government media, from morning to evening, actively, in every context, regardless of the topic, directly or indirectly supported this one candidate. If this is not interference, then what is interference? As for other forms of interference, I cannot speak about that – I have no facts; if I had, I would say it. But I have a reasonable suspicion and assumption that any ill-intentioned government in any era has mechanisms of influence, pressure, and leverage – especially a government whose authority is already destroyed and which seeks to cling to something, in this case the inherited authority of the Church, to use it for its own benefit. We have seen this over time, and I suspect we will see it even before the historical Synod begins, where the final Patriarch is to be selected,” Akhvlediani said.","""The government supported Bishop Shio, this is clear. He was and is involved. Let's be honest, all the state media, from morning to evening, actively, in all contexts, no matter what topic they were talking about, directly or indirectly supported this one candidate. If this is not interference, then what is interference?! As for interference in other ways, I cannot talk about it, I do not have any facts that would say that I have. But, I have a well-founded suspicion and assumption that a bad government always has the leverage of influence, influence, and pressure, especially a government that has destroyed its authority and needs to seize something, in this case the authority of the Church acquired through inertia and use it as a basis. We have seen this throughout this time and I suspect that we will see this even before the start of the historic synod, where the final patriarch will be chosen,"" - said Armaz Akhvlediani.","""The government supported Metropolitan Shio; this is as clear as day. It was and is involved. Let's speak plainly: every pro-government media outlet, from morning till night, actively, in every context, no matter what topic they were discussing, directly or indirectly supported this one candidate. If this is not interference, then what is?! As for interference by other means, I cannot speak on that; I do not have a single fact—if I did, I would say it. But I have a well-founded suspicion and assumption that a wicked government at all times has levers of impact, influence, and pressure, especially a government whose authority is destroyed and needs to cling to something—in this case, the Church's authority maintained by inertia—and use it for its own ends. We have seen this over this period, and I suspect we will see it even before the start of the historic Synod, where the final Patriarch is to be chosen,"" stated Armaz Akhvlediani.","“The authorities supported Bishop Shio, that is crystal clear. He was and is involved. Let’s say it directly: all government-aligned media, from morning till evening, actively, in every context, no matter what topic they were discussing, directly or indirectly supported this one candidate. If that is not interference, then what is interference?! As for interference by other means, I cannot speak about that; I have no facts. If I did, I would say so. But I have a well-founded suspicion and assumption that an ill-intentioned government always has levers of influence, pressure, and sway, especially a government whose authority has been destroyed and which needs to cling to something—in this case, the authority of the Church, gained by inertia—and use it for its own benefit. We have seen this over this period, and I suspect we will see it even before the start of the historical synod, where the final patriarch is supposed to be chosen,” said Armaz Akhvlediani."
6,Ge Armaz Akhvlediani,8,0.8412553,0.9007704,0.8075222,"ინფორმაციისთვის, წმინდა სინოდმა სამი საპატრიარქო კანდიდატი გამოარჩია. სინოდის გადაწყვეტილებით, პატრიარქობის კანდიდატები იქნებიან: საპატრიარქო ტახტის მოსაყდრე, სენაკისა და ჩხოროწყუს მიტროპოლიტი შიო (მუჯირი), ურბნისისა და რუისის ეპარქიის მიტროპოლიტი იობი და ფოთისა და ხობის მიტროპოლიტი გრიგოლი.","For context, the Holy Synod selected three patriarchal candidates: Locum Tenens of the Patriarchal Throne, Metropolitan Shio (Mujiri) of Senaki and Chkhorotsku; Metropolitan Iobi of Urbnisi and Ruisi; and Metropolitan Grigol of Poti and Khobi.","For information, the Holy Synod has selected three candidates for the patriarchate. According to the Synod's decision, the candidates for the patriarchate will be: Metropolitan Shio (Mujiri) of Senaki and Chkhorotsku, Metropolitan Job of the Diocese of Urbnisi and Ruisi, and Metropolitan Grigoli of Poti and Khobi.","For information, the Holy Synod has selected three patriarchal candidates. By the decision of the Synod, the candidates for the patriarchate will be: the Locum Tenens of the Patriarchal Throne, Metropolitan Shio (Mujiri) of Senaki and Chkhorotsqu; Metropolitan Iobi of the Urbnisi and Ruisi Eparchy; and Metropolitan Grigoli of Poti and Khobi.","For your information, the Holy Synod has selected three patriarchal candidates. According to the Synod’s decision, the candidates for the patriarchate will be: the locum tenens of the patriarchal throne, Metropolitan Shio (Mujiri) of Senaki and Chkhorotsku; Metropolitan Job of the Urbnisi and Ruisi eparchy; and Metropolitan Grigol of Poti and Khobi."
6,Ge Armaz Akhvlediani,9,0.8675251,0.9294275,0.909968,"როგორც საპატრიარქოს საზოგადოებასთან ურთიერთობის სამსახურის უფროსმა დეკანოზმა ანდრია ჯაღმაიძემ ჟურნალისტებს განუცხადა, საპატრიარქო ტახტის მოსაყდრე შიომ მიიღო 20 ხმა, დანარჩენმა ორმა კანდიდატმა კი მიიღო 7-7 ხმა.ამასთან, მისივე განმარტებით, სხვა კანდიდატები იყვნენ მეუფე გრიგოლ კაცია, მეუფე დოსითეოსი და მეუფე მელქისედეკი.","According to Archpriest Andria Jaghmaidze, head of the Patriarchate’s Public Relations Service, Metropolitan Shio received 20 votes, while the other two candidates received 7 votes each. Other candidates included Metropolitan Grigol Katia, Metropolitan Dositheos, and Metropolitan Melkisedek.","As the senior dean of the Patriarchate's Public Relations Department, Andria Jagmaidze, told journalists, the candidate for the patriarchal throne, Shio, received 20 votes, while the other two candidates received 7 votes each. According to his explanation, the other candidates were Bishop Grigol Katsia, Bishop Dositheos, and Bishop Melchizedek.","As Archpriest Andria Jaghmaidze, Head of the Public Relations Department of the Patriarchate, told journalists, Shio, the Locum Tenens of the Patriarchal Throne, received 20 votes, while the other two candidates received 7 votes each. Furthermore, according to his clarification, the other candidates were Metropolitan Grigol Katsia, Metropolitan Dositheos, and Metropolitan Melchizedek.","As the head of the Patriarchate’s Public Relations Service, Archpriest Andria Jagmaidze, told journalists, the locum tenens of the Patriarchal throne, Shio, received 20 votes, while the other two candidates received 7 votes each. He also explained that the other candidates were Metropolitan Grigol Katia, Metropolitan Dositeos, and Metropolitan Melkisedek."
6,Tbilisi Offers Free Metro,1,0.9608734,0.8485978,0.8471775,აღდგომის დღესასწაულთან დაკავშირებით თბილისში მეტროთი და ავტობუსით მგზავრობა უფასო იქნება,Tbilisi offers free metro and bus travel over Easter,Tbilisi metro and bus travel will be free on Easter,"In connection with the Easter holiday, travel by metro and bus in Tbilisi will be free.","Due to the Easter holiday, travel by metro and bus in Tbilisi will be free."
