text,love,joy,anger,sadness,fear,surprise,neutral
"Господине редакторе,",0,0,0,0,0,0,1
"Един господин, като ме знае, че съм приятел с   о н о г о в а,   дето събира материали за бай Ганя, предаде ми приложеното тук писмо, да му го връча. Това писмо е толкова оригинално и характеристично, щото не ще бъде зле да го напечатате във в. Знаме като подлистник Как е попаднало писмото в ръцете на господина — не ми е известно.",0,0,0,0,0,0,1
"София, 30 октомврий 1895 г.",0,0,0,0,0,0,1
Щастливец,0,0,0,0,0,0,1
До господина редактора на в. „Не му е времето“.,0,0,0,0,0,0,1
"А бе, кьорпе, защо си ме набедил във вестник „Не му е времето“, че съм бил уж опозиция, а? Толкова ли ти стига ума? Хич бай ти Ганьо опозиция става ли бе, момче? Или ти какво си рекъл: чакай да сме по-малко, че да делим по-множко. Не си прост ти, знам те аз тебе. Ама пак си прост, да ти кажа правичката. Сиреч, не си прост, ами малко аджамия падаш. За тия работи ти бачка си питай. Ти вчера, казва се, докопа кокала, а бачо ти от девет годинки насам го е заглозгал и няма ниет да го изпуща докрай време. Па знайш ли, момче, да ти кажа чистичката: има и за тебе, има и за мене. На родната да е жива. Аз като идех още за София, като депутация да молим онзи обесник да не си дава оставката, още тогава — помниш ли, на Враждебските ханчета? — още тогава разбрах, че не си е келепир да бъдеш опозиция. Ама, ще речеш, защо? Защо ли? Твърде просто: защото ще стоиш зад метлата, а хората ще си плетат кошничката. И какви хора! Все отбор-отбор юнаци, все учени, изпраксани. Напрежните наши бяха хептен дива работа. Крадяха гьоз-гьоре, насила, аджамийски, па си позволяваха и чапкънлъци, докундисваха на честта кое жени, кое моми, кое... А, момче, тъй ли е? И най-сетне влетяха с двата крака в капана. Виж, днешните наши не са тъй. За чапкънлък няма ги. Тоест — как да ти кажа — не че ги няма, ами кой ще се качи по Джендемтепе, по Небеттепе, кой ще ръшне по хамамите да разпитва какво е ставало. Па и кому влиза в работа. А колкото за алъш-вериш, бива си ги. Правото — право! Хем тъй си подкараха работата, щото, срам не срам,ще ти се призная, брате, и аз се слисах. Ашколсун, кьопоолар! Гледай какво нещо било туй науката. С таквиз хора да имаш работа — разбирам. Напрежните наши бяха я подкарали на акънтия, бре трепаха, бре бесиха, бре стреляха, съсипали бяха орталъка. И защо? — За вятъра. А днес видиш ли? Само по изборите не ти дават да шавнеш, а за друго — свобода! Викай, попържай, давай си зор, колкото щеш — никой нищо не ти казва. И защо ще бутат опозицията — тя нека си дига гюрултия, кой я слуша. Нашите си сучат мустака, па им се подсмиват. Властта в ръцете им — не искат да знаят. И сега, когато толкова железници ще се правят, толкова дружества ще се калъпят, толкова пристанища ще се строят, ти тамам сега си му намерил времето да ме набедяваш, че съм бил уж опозиция. Недей прави тъй бе, братко. Дотам ли ти беше достлука? Завиждаш ли ми, или какво? Че санким ти по-малко ли кьораво си ударил от мене. Я си направи сметката, ти от колко места получаваш. А пък аз — какво? Гледам си търговийката, и туйто. Па най-сетне нали знаеш, че тия работи със съгласие стават. Ако ми помогнеш да вляза и аз в някое предприятие по-тлъстичко, мигар мислиш, че няма да ти се отсрамя? Зная си аз как му е реда. Па не стига другото, ами си взел, дяволе, че си извъртял писмото тъй, щото, като го чете челяк, ще помисли даже, че съм против Особата. Аз ли? За толкова ли верен човек ме имаш ти мене? Нали си дадохме уж дума, че не му е времето. Разбирам да не беше властта в ръцете ни, да подсмърчахме отстрана — тогава хелбетя ще ти причерней и ще караш наред, с Особата барабар. Ама сега, когато сме допипали кокала с две ръце и когато тамам му е времето да се осигурим за стари години, да взема аз да кажа някоя права дума за Особата? Не е ахмак бай ти Ганьо, той знае кога му е времето да се вика „да живей“! Едно да живей — хоп едно предприятие. Па когато му дойде времето — знаем и башка тюрлия да викаме. Тъй върви света. Ако не друго, барем тая философия сме я проумяли до дъно, пущината.",0,0,0,0,0,0,1
"Момче бе, нашите дали не са я попрекалили с ломчаните? Чувам: ранени, убити! Брей, да си опичаме ума, зере... на оногова ръцете отрязаха, да не би да му дойде времето наопаки...",0,0,0,0,0,0,1
Хайде стига засега. Да живей Негово Царско Височество!,0,0,0,0,0,0,1
"Виждаш ли как викам да живей, пък ти си взел да казваш, че съм бил против. Завиждаш ми, да те вземе дявола. Знайш си ти, че ако вземем да се надвикваме, не се знай кой кого ще надвика. Па и за почитание ако дойде думата, аз пак не се давам. Ти ще цалунеш ръка, аз — двете ръце; ти ще цалунеш скута, аз — краката; ти ще цалунеш на друго място, аз — на още по-друго място. Че ти с мен ли ще се надпреваряш бе, кьорпе?",0,0,0,0,0,0,1
Ганьо Балкански,0,0,0,0,0,0,1
