text,anger,disgust,fear,joy,sadness,surprise,neutral
"Oh, come on now! Couldn’t it have been done without him? I mean, wasn’t it quite sufficient for the official delegates to do the job themselves? But no, Bai Ganyo had to stick his nose in. As if those guys, the officials, weren’t in a position to show the world what it means to be a Bulgarian and what Bulgarian patriotism is all about. Weren’t there enough characters like the personage with the “imposing Russian beard” or then again the one who “resembles a Frenchman and speaks French very glibly and smoothly” or finally the “well-known Bulgarian diplomat?” In fact, if you ask me, just the last one alone was enough for the Russians. The person whom the Russian press calls a “Bulgarian diplomat” is in fact a Plovdiv soap maker. Now that’s a progressive nation! If Bulgarian soap makers pass for diplomats in Russia, imagine what will happen if a real Bulgarian diplomat appears in Mother Russia, eh? No matter how modest you are, you can’t help being proud. Indeed, justice requires you to admit that even the French resemble us a bit. Their Félix Faure went from being a leather maker to president of the republic. And the Romans, too, have a similar case. Do you remember Cincinnatus? But we’ll surpass both of them. Just try, for example, standing blindfolded in the middle of the marketplace. I assure you that the first Bulgarian you grab and ask, “Do you want to become prince of Bulgaria?” will answer in the affirmative without a moment’s hesitation; perhaps he will just add the condition that the gifts and bribes that he gives out should not come out of his salary but from the treasury.",0,0,0,0,0,1,1
"But we’re talking about Bai Ganyo here. And, as I said, couldn’t it have happened without him? Why did he have to go and represent the Bulgarian people, too? Surely, you will say that he’s not an official delegate. It makes no difference. As soon as the correspondents from important newspapers go to interview him, and his words, like oracular prophesies, are spread all over the world by the press, just try to prove afterward that the Bulgarian nation speaketh not through the mouth of Bai Ganyo.",0,0,0,0,0,1,1
"But I’m an incurable optimist. I think that fate insinuated Bai Ganyo into this mission precisely so that the delegation would preserve its genuine Bulgarian national character. Because say what you will, “large Russian beard, Frenchie, diplomat” don’t sound Bulgarian. And from the following interview everyone will see that Bai Ganyo held high the banner of Bulgarian patriotism with aplomb. (There is no need for us to mention the fact that the first gentleman dressed in a frock coat that entered Bai Ganyo’s room and to whom Bai Ganyo managed to pour out his brotherly feelings was not a correspondent but a waiter from the hotel. A small misunderstanding, but what are you going to do? His breast was roiling with sincere feelings, his eyes were dim with emotional tears—a natural mistake.)",0,0,0,0,0,0,1
"A Russian correspondent enters. I don’t know whether Bai Ganyo had prepared a sliced onion or not, but I can definitely confirm that his eyes were full of tears.",0,0,0,0,0,1,1
"“Hey there, hello, dear brother, hello! Nine years, dear brother, nine! Not one day, not two; nine years!” And Bai Ganyo began to cry.",0,0,0,0,1,0,1
"Anyone would have thought, quite naturally, that a fraternal reunion after a long and sad separation had filled Bai Ganyo’s breast to overflowing with tender sentiments, and the flood of these feelings was pouring out in the form of emotional tears; but imagine the amazement of the correspondent when he saw the face of his interlocutor clear all of a sudden and heard from his lips the following words, pronounced furtively, with a wink:",0,0,0,0,0,0,1
"“So, do you know what kind of wreath we had made up? Hoo boy—the real thing! Not that nickel silver stuff, but pure gold. Do you have any idea how much it costs? What do you think, dear brother? If the Russians brought me, for example, as it were, such a wreath, I’d kiss their feet. What do you say? It’s no joke. Gold! And pure gold at that, not some kind of . . .”",0,0,0,0,0,1,1
"“Well, some sort of Macedonian movement has begun in your country,” said the correspondent, changing the subject. “Do you consider this movement to be timely?”",0,0,0,0,0,1,1
"“A movement? What movement?!” said Bai Ganyo in surprise, as if he were hearing of such a thing for the first time. “Don’t you worry about it. There’s no movement whatsoever. A sleazy business! Hooligans! As if now were the time for an uprising! And what is it those bums want, anyway? I can’t understand it. Do you know what, Your Grace? I don’t know if you know; there was a proclamation by the Sultan in 1870 about six bishops for Macedonia. They’ve appointed three, and they’ll appoint three more, and then everyone will sit contentedly on their behinds. That’s what they want!”",0,0,0,0,0,1,0
“But what about the Treaty of Berlin?”,0,0,0,0,0,1,1
"“Ah, forget about all that stuff. C’mon, let’s talk about something else. Do you know Dragan Tsankov?”",0,0,0,0,0,1,1
"“Yes, I believe I know him quite well.”",0,0,0,1,0,0,0
“Well”—and Bai Ganyo emphasized the question with an ambiguous wiggle of his fingers—”how does that guy seem to you?”,0,0,0,0,0,0,1
“I think he’s a good patriot.”,0,0,0,1,0,0,0
"Bai Ganyo gave a forced laugh and shook his head. “Pa-tri-ot, you say? Oh boy, if you only knew what apiece of work he is. As if he thought for even one day about his fatherland! He’s just looking to set himself and his son-in-law up nicely. He’s been like that since he was little; I should know. As for patriots, we’re the real patriots. Have a good look at me! You wouldn’t have to pay me 200 rubles, just 150 rubles a month, and you’d see what your Bai Ganyo can do. What do you take me for, Your Grace! This isn’t Abyssinia.”",0,0,0,1,0,0,1
"“Have you dined, Mr. Balkanski?”",0,0,0,0,0,1,1
"“Why are you asking? You’re not inviting me to dinner, are you? Well, I accept. After all, aren’t we Slavs?”",0,0,0,0,0,1,0
The interview broke off.,0,0,0,0,0,0,1
"Sofia, 1 July 1895",0,0,0,0,0,0,1
