text,love,joy,anger,sadness,fear,surprise,neutral
"""What about you, Dravichka, why are you silent? Don't you know anything about Uncle Ganya?"" one of the company asked our cheerful friend Dravichka.",0,1,0,0,0,0,1
"""How could I not know, brother, I know a lot of things, but how can you tell them?"" answers the Dravichka with feigned modesty.",0,1,0,0,0,0,1
"""How will you tell them! If only I had your mouth!""",0,1,0,0,0,0,1
"— Okay, listen:",1,0,0,0,0,0,1
"One summer I went for a walk in Gennéloz, you know, in Switzerland. I took a room in a hotel and went out to walk around the city. The city is beautiful, the surroundings are both picturesque and majestic. I walk around aimlessly, staring left and right, and from street to street I came out on the square where the opera house is. I look across at an elegant café: wait, I said to myself, let me stop by and rest a bit. From the entrance to the right I see a glass partition with an open view of the square and I go in - I will both drink coffee and watch who passes by. And what do I find there! Three whole tables occupied by Bulgarian students! Well, go ahead and say that Bulgarians have no taste for elegance! In such a beautiful city, in the best part of the city, in the most elegant café, they have taken the best place! Noise, smoke, matches and smoking cigarettes on the ground, rattling, shouting, quarrels!... Here they are playing backgammon, there prefa, beyond trenta una!... And I hear from all sides: ""Six-besh!... Buy!... Give me the money! Jehar and ek!... Why are you looking at my cards!... Garзon!... First of the second!... Du-besh!... You're lying, it's not dubesh!... Trenta una... Spades!... Garзon!... You don't know anything about prefa!... I don't want the mind of socialists!... Dubara!... And I don't want the mind of soup cooks!... I'm scolding!... You scoundrel!... Garзon! Are you proud of the decorations?... Spatii!... What about the Russian Jews? Gentlemen, the fool is coming! Ha, ha, ha!... Garзon un chope! Lend me another franc!... You're a rascal! Borrow from the waiter!... You're a scoundrel!... """,1,0,0,0,0,0,1
"The person to whom the not entirely flattering epithet of fool was attached entered the café, greeted the students, who welcomed him, as they say, with open arms, and did not know which group to join, since all the tables were trying to attract him. Such sympathy for a fool seemed inexplicable to me at first, but it did not take long, and from the words with which the tables crossed at the expense of this person, my bewilderment was dispelled. Then I learned that this fool was the son of a landowner from Argentina, in South America. A rich boy. His father sent 500 francs a month, half of which was distributed each month with the help of trenta una into the pockets of our studiousses. And because he good-naturedly let himself be plucked, giving himself the pleasure of observing the curious greed with which ours lured his money - he was awarded the title of fool.",0,0,0,0,0,1,0
"No matter what time of day I visited this café, from 9 a.m. until late at night, I always found the same people at the same classes—tableaux, prefa, trenta una. When these young men read, how they absorbed European culture—this remained inexplicable to me. The only thing I understood was that almost none of them spoke a passable amount of French. If he could not master the language, you would recognize him as an oriental man by the coarseness of his intonation, by his diction, by the construction of his phrases.",0,0,0,0,0,1,1
"Every other day or two, this company was joined by a few embittered, nihilistic Jewish boys who, from the dark corners of the taverns, would snarl at the tyrant. I don't know what kind of sympathy there was for these dark characters who could simultaneously be nihilists, secret police agents, anarchists, and the lowest class of abusers of company money, libraries, and other property. Instead of associating with the French, the Germans, and the English, who were always exemplary in their amusements and their occupations, instead of imbuing themselves with their spirit of decency, industriousness, honesty, and chivalry, they, our people, found their ideal either in the Jewish boys, or in the Greek boys, or in some Armenian boys, who exploited their means and strength in the most base way, drawing them into the stifling atmosphere of their vicious, rude, and fruitless verbiage. Then I learned that there were other Bulgarians in this city who did not visit this cafe, but were very serious about their studies.",0,0,0,0,0,1,1
"One day, at the height of the trenta una, when the Argentine had lost about a hundred francs, a man with a cocked hat, a stick under his arm, and saddlebags in his hand, entered the café.",0,0,0,0,0,0,1
"""Oh! Bai Ganyo! Welcome!"" the whole company shouted.",0,1,0,0,0,0,0
