text,anger,disgust,fear,joy,sadness,surprise,neutral
And,0,0,1,1,0,0,1
"Honorable Mr. Balkanski,",1,0,1,1,0,0,1
"You may have already forgotten me, but I shall remind you of certain circumstances, and I believe you will recall who I am. Do you remember when you were traveling through Europe and stopped in Prague? All the Bulgarian students treated you so coldly—even Jireček—and I was the only one who invited you to my home, where you stayed for several days. Do you remember when you caught me with the landlady’s daughter? And do you remember, when you were left alone, how they entertained you and you sang ""The Night is Terrible"" to them? I am that same man, Bodkov; I have finished my higher education and have returned to my fatherland.

Since I have no other influential person among my acquaintances but you, I turn to you with a request: I ask that you request one of the editorial boards of a government newspaper to publish the enclosed report, a copy of which I am also sending to you, in case it should be lost at the office. I believe this report is sufficient for the government to form an idea of my views; I am even capable of writing much more than this, should the need arise. I have a degree in philosophy, Mr. Balkanski!

Furthermore, I have one more request: my father is a contractor, and they are currently rejecting fifty thousand levs' worth of shoes; I would ask you to intercede so that they might accept them, just as they accepted shoes made of the same material from a certain Jew. Is that patriotic?",1,1,1,1,0,0,1
"Do not think that I am writing this report to please the government. Not at all. The rejection of the shoes has nothing to do with the report, and finally, you must know that I am not a man who trades in his convictions.",0,1,1,1,0,0,1
Please accept the assurances of my highest consideration.,0,0,1,1,1,0,1
"Yours, Bodkov",0,0,1,1,1,0,1
P.S. The editors may modify my contribution as they see fit; I am not a demanding person.,0,1,1,1,1,0,1
The same,0,0,1,1,1,0,1
P. P. S. The shoes were written off three days ago.,0,0,1,1,1,0,1
The same,0,0,1,1,1,0,1
Here is the report mentioned in the letter above:,0,0,1,1,1,0,1
Copy,1,0,1,1,0,0,1
Letter to the Editor,1,0,1,1,0,0,1
"Mr. Editor,",1,1,1,1,0,0,1
"My blood freezes in my veins, my brain stiffens against my skull, my heart ceases to beat, and with a trembling soul, I cry out to the honorable Government and beg it to answer: will there be an end to its patience toward the destructive licentiousness of the opposition press? The people want to know (I can boldly affirm this) when the sacrilegious fingers of the opposition will be broken—those fingers that dare to touch—oh, the horror!—the Virgin and Sacred Person of our common Father, the guarantor of our happiness and prosperity. Instead of unquestioning, reverent adoration before the radiant personification of our independence, instead of a kneeling readiness to satisfy the Most High lusts and desires, there appear among us Bulgarians (monsters of the Bulgarian people) who dare to attribute human weaknesses to that untouchable Person!!!... This is more than a betrayal of the interests of the fatherland. This is a depravity unprecedented in history! There were even found such brigands of the pen who rose up and strove to halt and desecrate the greatest virtue of our municipalities—the gifting of municipal forests, islands, and gardens to their Most High Favorite. The greatness of the throne is simultaneously the greatness of the people, and instead of being proud that our municipalities demonstrate their love for the Crown and the Dynasty so clearly, instead of rejoicing that our until recently savage fatherland is being covered with luxurious palaces and villas, there are Bulgarians—imagine, Bulgarians!—who, even then, are not satisfied! Such malcontents sow depravity in society, and the Bulgarian people must look upon them with loathing. They are the cause of the moral decay of our society and of that mistrust which takes root between the government and the public, so adversely affecting the national livelihood. Private interests of the most respected and conscientious merchants suffer from this mistrust, as is the case with our highly esteemed citizen NN, whose shoes, made of the finest material and worth 50,000 levs, were rejected these past few days due to a misunderstanding. And so, the Government must take measures to shut the mouths of the opposition once and for all. This is the most fervent desire of the Bulgarian people.",1,0,0,1,0,1,1
X. Y.,1,0,1,1,1,0,1
"Dear Editor,",1,0,1,1,1,1,1
I promise you that henceforth I shall write as many such reports against the opposition as you desire; I only ask that my name remains incognito to the public. I have graduated in philosophy.,0,0,1,1,1,0,1
Respectfully yours:,1,1,1,1,0,0,1
Bodkov,1,0,1,1,1,0,1
II,0,0,1,1,1,0,1
"Mr. Bodkov,",1,0,1,1,0,0,1
"It comes back to me now who you were, Your Honor—how could I not remember? I remember you, I remember your fiancée, and her mother was a decent soul; after all, didn't I teach them to cook a bit of this and that, and we used to play the piano? I remember it all very well. You’ve mastered your trade, as I see it; it seems that philosophy wasn't meant only to turn people into fools. As for the shoes you wrote about, you’ve made a bit of a mistake; that business isn't settled with a newspaper article. You see, they accepted the shoes from that Jew you mentioned—they accepted them, of course, because he knows how the world works. You’d better loosen your own purse strings. I read your letter from beginning to end and I understand what you're after, but being an entrepreneur isn't for everyone—it’s not like philosophy. You ought to realize for yourself who it depends on to have your shoes accepted—your father, that is. And as for what you say about the dynasty, well, never mind, let it be; that’s just the fashion these days. After all, talk is cheap.",1,1,1,1,0,0,1
I congratulate you,1,0,1,1,0,0,1
"Yours, Ganyo Balkanski",0,0,1,1,1,0,1
III,0,0,1,1,1,0,1
Most esteemed Mr. Ganyo!,1,0,1,1,0,0,1
"I am addressing you, as you are a representative of the people, and we ask that in the future such things do not happen again, where a whole regiment goes through the woods barking like dogs while the gentlemen officers shoot rabbits, because we were not sent to learn how to bark, but to guard our fatherland; and completely exhausted, worn out, tears streaming from your eyes, starving, they force you to bark, and it must be done well, like a hound, otherwise you get a beating for not knowing how to bark like a hunting dog, and they killed only five (5) rabbits. It is a good thing they did not wound some soldier, because he would have been beaten again for not looking out for himself. Furthermore, they appointed me as an orderly, and I wash the child’s undergarments, and I tend to the carriage as well. This is a shameful thing, and we ask that you pass a law, and as I have nothing more to write to you, I remain. Tear up the letter.",1,0,1,1,0,0,1
Your humble servant,1,0,1,1,0,0,1
"Trpko Trpkov, junior soldier.",1,0,1,1,0,0,1
IV,0,0,1,1,1,0,1
"Mr. Trpko,",1,1,1,1,0,0,1
"Aren't you the son of Trpko the Komita? I know your father. As for what you say about them making you bark at rabbits in the forest, I heard about it too, but patience is salvation, as the saying goes—you can't kick against the goad. After all, we endured under the Turks our whole lives; what's the harm in enduring under Bulgarians for a couple of years? It's no big deal. And as for the undergarments, it's not fitting for a man—that's women's work—but what can you do? Wash the undergarments and just turn your head away; politics requires it. You know what they're like, but you just keep blinking and enduring, and give my regards to your father, don't forget. Patience, there's nothing else; these things are settled with patience, not with an uproar. A bowed head, you know, the sword does not strike.",0,1,1,1,0,0,1
Your well-wisher,1,0,1,1,1,0,1
Ganyo Balkanski,1,0,1,1,1,0,1
In,1,0,1,1,1,0,1
"Dear Uncle Ganyo,",0,0,1,1,1,1,1
"I want to take our Rada to study abroad this year, and so as not to incur any expenses, I ask you to pull some strings with the big shots to have me sent on an official mission for something—to study certain issues or for some sort of lobbying: for instance, I could look into the matter of promoting our *shayak* cloth for the Belgian army, or study the ethnography of the Kutzo-Vlachs in Switzerland, or something of the sort. If they want to, they can come up with ninety-nine different missions. I’m even fine with three napoleons per diem. Reply to me as soon as possible.",0,0,1,1,1,0,1
Your faithful ally and relative,1,0,1,1,1,0,1
Vasil,1,0,1,1,0,1,1
"P.S. You won't be left without benefit from this business trip either. If they ask you about my education, tell them that although I don't have a diploma, I have read a lot and it's just as if I have a university degree.",0,1,1,1,1,0,1
The same,0,0,1,1,1,0,1
"I could not find an answer to this letter in Bay Ganyo's notebook, but in the envelope I found a draft of the following telegram:",0,0,1,1,1,1,1
Fast,1,0,1,1,1,0,1
Zheravna,1,0,1,1,1,1,1
Vasil Mangov,1,0,1,1,0,0,1
"You are far too late, Vasil; another, more learned than you, has already been dispatched for these matters.",0,0,1,1,1,1,1
Balkan,1,0,1,1,1,0,1
VI,1,0,1,1,1,0,1
"Highly esteemed Uncle Ganyo,",1,0,1,1,0,0,1
"Man proposes, but God disposes: all the plans we laid for my future have been shattered to pieces. My career is definitively ruined. I have been expelled from school and am doomed to three years of slavery in the penal companies, and the reason for all this is that wretched Bulgarian spelling: lately, a new fashion has emerged—that we should write foreign words and names as they are supposedly pronounced; for example, not to write *ministr*, but to write *ministar*; not to write *ansambl*, but to write *ansambal*; not to write *Buckle*, but to write *Buckal*, because this was supposedly more inherent to the Bulgarian language, as if the inherent nature of our language were necessarily to approach Afghan. We resisted our learned mentors, and they declared us rebels. 

On the very eve of the Nativity of Jesus Christ, the Savior of mankind, under a mounted gendarme convoy, we—involuntary tourists on foot—were driven along the snowy roads of Mother Bulgaria; and we march, we march from station to station, sleeping in police precincts, met by bailiffs, seen off by gendarmes, and where they are leading us, we ourselves do not know. They say that for the triumph of Bulgarian spelling, they found it useful to educate us for three years in the penal companies. Who knows! Perhaps even this miracle will come to pass. I have been brought here now, to your town, and I am writing this letter from the detention room. If you please, come to see me and bring a doctor, because I do not know whether it is from the journey or the cold, but these past few days I have begun to spit blood.",0,1,0,1,0,1,1
Your nephew,0,0,1,1,1,0,1
Stoyko,1,0,1,1,0,0,1
"P.S. I have heard, uncle, that the Turks had a custom for the major holidays, such as Christmas and Easter, to release Christian prisoners on bail so they could see their loved ones and spend the holy holidays. Is this true, uncle?",0,0,1,1,1,0,1
The same,0,0,1,1,1,0,1
"Dear grandson Stoyko,",0,0,1,1,1,1,1
