text,anger,disgust,fear,joy,sadness,surprise,neutral
"Mr. Editor,",0,0,0,0,0,0,1
"A gentleman, knowing that I am a friend of **that one**, who is collecting materials for Bay Ganyo, handed me the enclosed letter to deliver to him. This letter is so original and characteristic that it would not be a bad idea to print it in the newspaper *Zname* as a supplement. How the letter came into the gentleman’s hands — I do not know.",0,0,0,0,0,1,1
"Sofia, October 30, 1895.",0,0,0,0,0,0,1
Lucky one,0,0,0,1,0,0,1
To the editor of the newspaper “Not the Time.”,0,0,0,0,0,0,1
"Ah, you blockhead, why have you denounced me in the newspaper **“Not Yet Time”** as if I were supposedly in the opposition, huh? Is that all the sense you’ve got? Does old Bay Ganyo even become opposition, boy? Or what did you think: let’s wait until there are fewer of us so we can divide up more. You’re not stupid, I know you. But you’re still stupid, to tell you the plain truth. That is to say, you’re not stupid, just a bit green. For these matters, ask your foreman. You, so to speak, got hold of the bone yesterday, while your uncle has been gnawing at it for nine years now and has no intention of letting go before the time comes. And do you know, boy, let me tell you straight: there’s enough for you, there’s enough for me. Long live the homeland. When I was still going to Sofia, as part of a delegation to beg that hanged man not to resign, even then — do you remember, at the Vrazhdebna inns? — even then I understood that being in the opposition was no profitable business. But, you’ll say, why? Why indeed? Very simple: because you’ll be left standing behind the broom while others weave their little baskets. And what people! All top-notch heroes, all educated, polished fellows. Our earlier ones were downright wild. They stole openly, by force, like amateurs, and even allowed themselves some roguery, compromising honor with women, girls, and... Ah, boy, isn’t that so? And in the end they fell into the trap with both feet. Look, our present ones are not like that. They’re not into roguery. That is — how should I put it — not that there aren’t any, but who’s going to climb up to Dzhendemtepe, to Nebettepe, who’s going to rummage through the baths asking what happened. And besides, who cares. As for business dealings, they’re good at it. The truth is the truth! They got things going in such a way that, shame or no shame, I’ll admit to you, brother, I was astonished too. Bravo, you scoundrels! Just look what a thing science is. To have dealings with such people — I understand that. Our earlier ones had taken the road of slaughter, brother, they were killing, hanging, shooting, they had ruined the whole place. And why? — For nothing. And today, look? They only won’t let you move around during elections, but otherwise — freedom! Shout, curse, strain yourself as much as you like — nobody says a word. And why would they push the opposition around — let it make all the noise it wants, who listens to it. Our people just twirl their mustaches and smirk. Power is in their hands — they don’t care to know anything else. And now, when so many railways are to be built, so many companies formed, so many ports constructed, you’ve found just the right time to denounce me as if I were supposedly in the opposition. Don’t do that, brother. Was that all our friendship was worth to you? Are you jealous of me, or what? Because, as if, haven’t you struck your share of gold too. Just do the math — how many places do you get money from? And me — what? I mind my little trade, and that’s that. And after all, you know these things happen by agreement. If you help me get into some juicier enterprise too, do you think I won’t repay the favor? I know how things are done. And not only that, but you, devil that you are, have twisted the letter in such a way that when someone reads it, they’ll even think I’m against **the Person**. Me? Do you take me for such a loyal man? Didn’t we give our word, supposedly, that it’s not yet time? I’d understand if power weren’t in our hands, if we were sniffling from the sidelines — then the devil would blacken your eye and you’d go along with the rest, together with the Person. But now, when we’ve got the bone in both hands and when it’s exactly time to secure ourselves for old age, should I go and say some plain word about the Person? Old Bay Ganyo is no fool; he knows when it’s time to shout “long live!” One “long live” — and hop, one enterprise. And when the time comes — we know how to shout something else too. That’s how the world goes. If nothing else, at least we’ve understood that philosophy to the bottom, the blasted thing.",1,0,0,0,0,0,0
"Boy, have our people perhaps gone a bit too far with the Lomchans? I hear: wounded, killed! Well, we’d better keep our wits about us, indeed... they cut off that one’s hands, so that his time might not come around the wrong way...",0,0,0,0,0,1,1
Enough for now. Long live His Royal Highness!,0,0,0,1,0,0,0
"Do you see how I’m shouting “long live,” and yet you’ve gone and said that I was against it. You’re jealous of me, may the devil take you. You know well that if we start shouting over one another, it’s not known who will shout louder. And if the matter of respect comes up, I still won’t give in. You’ll kiss a hand, I’ll kiss both hands; you’ll kiss a lap, I’ll kiss the feet; you’ll kiss in one place, I’ll kiss in an even more different place. So are you going to compete with me, you blind fool?",1,0,0,0,0,0,1
Ganyo Balkanski,0,0,0,0,0,0,1
