text,anger,disgust,fear,joy,sadness,surprise,neutral
"I. სასტუმროს იყვნენ ხევსურნი, ლუდი ედუღა წიქასა; ისხდენ ბანზედ და ღრეობდენ, თასებით ჰსვამდენ იმასა; ზოგნი უკრავდენ ფანდურსა, ზედ დაჰმღეროდენ დიდადა, მსმენელთა გრძნობას უდებდენ საგმირო ამბებს ხიდადა; აღგზნებით გმირთა სახელებს ლექსებში სთვლიდენ წმიდადა; მოხუცნი ჩიბუხებს სწევდენ, ბოლი ეხვიათ ნისლადა, განმარტავდიან მათ ამბავს, შანდობა თქვიან გმირთადა. ახლების საწურთნელადა იხსენებდიან ქებითა: „თქვენ იცით, ამას იქითა კაცად ვინც გამასდგებითა!“",1,0,1,1,1,1,1
"კრებაში ერთი ვინმე სჩანს სახე-მკრთალი და მშვიდია, როგორც თაფლს მწერი, ეხვევა იმას მცირე და დიდია. დაღვრემილს წელზე ხმალი ჰრტყავ, მხარ-იღლივ ფარი ჰკიდია. მუხლებს წინ თავშიშველანი ორნი უსხედან ჩოქითა, თასებს აწვდიან, იღებენ შავს ლუდსა დიდის გობითა. – შასვი, მინდიავ, – ეტყვიან, – კაი ლუდია, სვიანი, გვითხარი რამე, ღვთის მადლსა, ერთი ქართული გზიანი.",1,0,1,1,1,1,1
"– მთვრალმა რა გითხრათ, კაცებო, ჭკუა სასმელმა დაძალა, სათქმელი მემრისთვის დარჩეს, თუ კი სიკვდილმა მაცალა. – ასწია კარახანასა, გადიწურა და დაცალა.",1,0,1,1,1,1,1
"ტყვეობით დაბრუნებული ძმებში ყოფნითა სტკბებოდა, როგორაც სხვანი მრავალნი, ისიც ლუდითა თვრებოდა.",1,0,1,1,1,1,1
ამ მინდიაზე ამბობდენ დაუჯერებელს ამბებსა: მინდია ტყვედა ჰყოლია თორმეტს წელს თურმე ქაჯებსა.,1,0,1,1,1,1,1
"ტყვეობამ ფრიად დაჩაგრა, სამშობლოს გარეთ ყოფნამა; მიდის დრო, განვლო მრავალმა აღდგომამა და შობამა, მაგრამ მინდიას ტყვეობას არ ექნა დასასრულია, გული დაუდნო მონებამ, ამოსვლას ლამობს სულია. აგონდებოდა თავისი ჩამოთოვნილი მთებია, ჩაბნელებული ხევები, უსწორ-მასწორო გზებია, მის ბედის მგლოვიარენი დედა, მამა და ძმებია, თავისი ქოხი მწირული, სამოთხედ მისაღებია, ეშველათ, ბევრჯელ ხატ-ღმერთსა მხურვალედ შაჰვედრებია.",1,0,1,1,1,1,1
"ბოლოს სთქვა: „თავსა მოვიკლავ, ასეთს სიცოცხლეს სჯობია!“ ქაჯთათვის ცეცხლზე ნადგამი სადილად ნახა ქობია. იცოდა, გველსა ჰხარშავდენ, იმასა სჭამდენ ხშირადა; ქაჯნი ქაჯობით იტანდენ გველის მიღებას პირადა, და თავის თავზე იფიქრა, რომ ექცეოდა ჭირადა.",1,0,1,1,1,1,1
"აიღო ერთი ნაჭერი, ზიზღით, ქურდულად შეჭამა და ამ დროს მოწყალეს თვალით ტყვეს გადმოჰხედა ზეცამა: ახალად სული ჩაედგა, ახალი ხორცი აისხა; გულის ხედვა და თვალების, როგორც ბრმას და ყრუვს, გაეხსნა. ესმის დღეიდან ყოველი, რასაც ფრინველნი გალობენ, ან მცენარენი, ცხოველნი, როდის ილხენენ, წვალობენ. რაც კი რამ დაუბადია უფალს სულიერ-უსულო, ყველასაც თურმე ენა აქვს, არა ყოფილა ურჯულო.",1,0,1,1,1,1,1
"ამას ჰგრძნობს, უკვირს თითონაც ტყვეს თვის ბუნების ცვალება. შეიგნო, ჭამა გველისა ქაჯთაგან იყო ზმანება. სიბრძნე აჩვენეს გველადა, რომ ჰზიზღებოდა საჭმელად, თუმც „შენც ჭამეო, მინდიავ“, არა ზარობდენ სათქმელად.",1,0,1,1,1,1,1
"შეიგნო სიბრძნე ქაჯების ამიერიდამ ტყვემაო; მას მუსაიფი დაუწყო ცამ, დედამიწამ, ტყემაო. მხოლოდ ბოროტმა მის გულში ვერ მოიკიდა ფეხია, სხვა დანარჩენი ქაჯური ყველა ისწავლა ხერხია. მას აღარაფრის ეშინის, თუნდ თავს დაატყდეს მეხია. ქაჯნი ბრაზობენ, რა ჰხედვენ – გამეცნიერდა გლეხია. აღარ აშინებს ტყვეობა, აღარც ხრიკები ქაჯური, დღეს თუ ხვალ, იმედიანობს, ქაჯებს უჭიროს პანჩური.",1,0,1,1,1,0,1
