text,anger,disgust,fear,joy,sadness,surprise,neutral
"""The little girl, gentlemen, tells such a good story that it's hard to satisfy you with any story after her. And to tell you the truth, I know some things about Uncle Ganya,"" Vasil said. ""From Moscow, from Petersburg!""",1,0,1,1,0,0,1
"""Start soon, you've already twisted it!"" replied the Dravichka.",1,0,1,1,1,0,1
"""The word 'twisted' doesn't seem particularly poetic to me,"" Mato joked.",1,1,0,1,0,0,1
"""Shut up, gentlemen. Vasily! Come on, little dove, start!""",1,1,0,1,0,0,1
"""On the way to Petersburg,"" Vasil began, ""we stopped at the station in Vilno. We were traveling as a couple—Baj Ganyo and I. We went into the bar. Baj Ganyo asked me to have a drink, because I had smoked some of his tobacco on the way. I ordered beer and a snack. The barkeeper listened to our conversation, recognized, it seemed, that I was Bulgarian, and asked us in Russian: ""Excuse me, gentlemen, I think you are Bulgarians?""",0,0,1,1,0,0,1
We answered him in the affirmative.,0,0,1,1,1,0,1
"— Don't you know Mr. Dimitrova, the student?",0,0,0,1,0,0,1
"""I don't know him, do you, Uncle Ganyo?""",0,0,0,1,0,0,1
"""Dimitrova? Wait... aha! I remember. Dimitrov, I know, I know him. An open boy, I know him, of course not!""",0,0,1,1,0,1,1
“Can’t you tell me where he is now?” asked the innkeeper.,0,1,1,1,0,0,1
"""He's in Constantinople now,"" replied Bai Ganyo, ""he'll be getting married there in a week. He's a real rascal!""",1,0,1,1,1,0,1
"""K-ak!"" the innkeeper shouted. ""He's getting married? Well, he's getting married here, gentlemen!""",1,0,1,1,0,0,1
"""There's a has. Look, ha, ha, ha!"" Uncle Ganyo giggled heartily. The innkeeper looked at him in amazement.",1,0,0,1,0,1,1
"""You don't know him,"" continued Uncle Ganyo, turning to me, ""he's a very open-minded kid, this Dimitrov...""",1,0,1,1,0,0,1
"The innkeeper told us the following: ""One day, gentlemen, Mr. Dimitrov arrived by train with a deaf-mute boy of 13-14 years old. I had known Dimitrov for a year before; he lived in our city, fell in love with a girl, they got married and went to Moscow or St. Petersburg - I don't know. When he came this year with the deaf-mute boy, he told me that this boy had a brother in Bulgaria, a clerk or an officer - I don't remember - who would give him a hundred francs a month to live in one of the St. Petersburg institutes for the deaf-mute. Since Mr. Dimitrov was leaving for some other city - at least that's what he told me - he asked me to take the boy home, feed him, and look after him until he arrived. He assured me that he would return in about ten days. I agreed, took the unfortunate child in and looked after him as my own. A few days passed ""A dozen days passed, a month passed, two passed, and Dimitrova did not say a word. I want to hear something from the child - the deaf-mute, poor thing, cannot tell me. Well, look, that child is sad. I wrote to Petersburg, to Moscow - no one called. In the third month, gentlemen, the little boy disappeared. We asked, we searched, we reported to the police, we sent telegrams in several directions - he is gone, the poor child has disappeared. What happened to that child, I still do not know. Let Mr. Dimitrov bear his sin, I will bear 100 rubles of loss... So you say that he was going to get married next Sunday? My God, how is such a thing possible? For God's sake, gentlemen, report this to your superiors, warn this unfortunate girl, whom he is going to marry...""",0,0,1,1,1,0,1
"I promised the innkeeper that as soon as I reached Petersburg I would inform a gentleman who, I was sure, would immediately telegraph to the Exarchate. I paid. We boarded the train and set off for Petersburg.",0,0,1,1,1,0,1
"""You had to interfere a lot,"" said Bai Ganyo reproachfully to me, ""how do you know what kind of a commodity his wife is?""",1,1,0,1,0,0,1
