text,anger,disgust,fear,joy,sadness,surprise,neutral
"Since the input provided is a technical identifier or a tag (""IPN_news7"") rather than a body of Georgian text, it remains unchanged in translation as it functions as a specific reference code.

**IPN_news7**",0,0,0,0,0,0,1
"**Giorgi Sharashidze** - What talk is there of a Vice-Premiership or a State Minister position? They aren't even giving him a proper office; he won't have a staff, and he won't even have a secretary. I would advise Mdinaradze not to get too fixated on this office and to work remotely instead. (28.04.2026, 12:04)",0,0,0,0,0,0,1
"""What talk is there of a Vice-Premiership or a State Minister post? They aren't even giving him a proper office; Mdinaradze won't have a staff or even a secretary. I would advise him not to get too fixated on this office and to work remotely from home,"" stated Giorgi Sharashidze, an MP from the ""Gakharia for Georgia"" party, while commenting on the creation of a State Minister position for coordinating law enforcement agencies. 

According to him, appointing a ""general-coordinator"" will change nothing, other than being a way to ""temporarily appease him and send him into retirement.""",0,0,0,0,0,0,1
"""The planned changes have nothing to do with solving the problems of our country's citizens or the security issues facing Georgia. This is yet another manifestation of informal governance. 'Dream' and the 89 deputies sitting in parliament have no role other than to simply 'legitimize' Ivanishvili's decisions, which are not even coordinated with them. What Vice-Premiership or State Ministership are we talking about? They aren't even giving him a decent office; Mdinaradze won't have a staff or even a secretary. I would advise him not to be so fixated on this office and just work remotely from home instead.""",0,0,0,0,0,0,1
"If coordination is so important, the head of the State Security Service is not dismissed after six months for the sake of coordination. The head of the State Security Service is not appointed for a six-year term by accident—this provision in the law is not there by chance. We see that in the last year alone, two heads of the SSS have already been replaced. This indicates an unstable environment and informal governance. A person was granted the rank of general in the morning and demoted to a coordinator by the evening—what special expectations should we have of such an individual?",0,0,0,0,0,0,1
"""Regarding the role of coordinator—it was 'Dream' itself that introduced this term. Yesterday, when one of our leaders, Giga Parulava, stated at the Legal Committee meeting that they were appointing [someone] as a coordinator, it caused such irritation that they criticized his vocabulary and tone. This 'coordinator' is a term introduced by 'Dream,' and if they find it offensive, then they should explain where they got the term from in the first place. Therefore, when we say that the appointment of this 'General-Coordinator' will change nothing except that it will simply be a way to temporarily satisfy him before sending him off to retirement—that is the reality,"" Sharashidze stated.",0,0,0,0,0,0,1
"For information, the Parliament is considering a draft law under an expedited procedure, which provides for the introduction of the position of State Minister for the Coordination of Law Enforcement Agencies within the Government of Georgia.",0,0,0,0,0,0,1
"According to the draft, the Government Administration shall provide material-technical and organizational support for the activities of the new State Minister.",0,0,1,0,0,0,1
"According to the Parliamentary Secretary of the Government, Vakhtang Bachiashvili, the powers of the State Minister will be specified in a government decree, which will outline both their routine and strategic authorities.",0,0,0,0,0,0,1
Mamuka Mdinaradze will be appointed to the position of State Minister for the Coordination of Law Enforcement Agencies.,0,0,0,0,0,0,1
