text,anger,disgust,fear,joy,sadness,surprise,neutral
— Ами я чакайте пък аз да ви разкажа как ходихме с бай Ганя на изложението в Прага — каза усмихнато Цвятко.,1,0,1,1,1,0,1
"— Браво, Цвятко! — извикахме всички. — Откога го очакваме това!",1,0,1,1,0,0,1
Цвятко почна:,0,0,1,1,1,0,1
"— Ако помните, ний тръгнахме от София с цял трен наши вагони и наш локомотив. Вагони само I и II клас, нови-новинички, едва-що пристигнали от Европа, безукорно чисти и удобни. В един и същи вагон имаше купета и от I, и от II клас. Сума свят — 160 души ли бяхме, не помня. Стари, млади, жени, мъже, деца, та дори и кърмачета. (Ох, тия кърмачета!...)",1,0,1,1,1,0,1
"Кой като нас! Каква гордост беше то, че тръгваме за изложението със свой трен. Нека да видят, казвахме си, европейците, че България не спи. Но най-вече се надувахме с новотата, с модерната конструкция и с чистотата на вагоните. Ама дълго ли време, мислите, се наслаждавахме ний от патриотическото обаяние за превъзходството на нашите вагони и от мисълта, че ще слисаме Европа с нашия прогрес? Додето ни изпращаха на гарата, додето минувахме Сливнишките и Драгоманските позиции — полетата на славните наши победи, — ентусиазмът ни растеше пропорционално с изпразването на шишетата и кошниците с провизия, с които в изобилие бяха се снабдили практичните туристи. „Разбира се, ще си вземем закуски, защо ще си даваме парите на сърбите?“ — викаше въодушевеният от патриотизъм и плевенско вино бай Ганьо. Но като наближихме до Цариброд и почна да се стъмнява, като се опитаха да осветят вагоните и се оказа, че забравили да приготвят лампите, че като се стъмни съвсем, че като почнаха децата да се плашат и да реват — о, тогава лека-полека като че с изхлъзването на българската територия се изхлъзваше и нашият патриотически ентусиазъм. Едни печално се усмихваха, други се усмихваха скрито саркастически (не бяхме само българи), трети негодуваха; даже бай Ганьо ми пошепна на ухото: „Разбира ли ти свиня от кладенчева вода!“ Някои пък пускаха недвусмислени псувни по адреса на един чужденец, служещ в управлението на нашите железници. Подкрепен от последните, бай Ганьо извика: „Аз нали зная, че ний не сме виновати, пак тези чужденци, да ги вземе дяволът! Нарочно са го направили да ни омаскарят! И сещате ли се, все от завист! Всичките са таквиз!“",1,0,1,1,1,0,1
"При тия думи той така изгледа едного от чужденците, щото го накара да се закашля и да мине в другото купе. Като спряхме на станцията в Цариброд, във вагоните беше съвършено тъмно, не можехме да се видим един с един. Повълнувахме се, посърдихме се, па го обърнахме на смях. Сума шеги и бодли се пуснаха за сметка на железопътните ни управници. Зачуваха се викове: „Дайте свещи бе, хора, изплашиха ни се децата!“, „Ей, чичо, иди ни купи един фунт свещи, ще ти дадем бакшиш“, „А бе по една лояна свещ поне дайте.“ Само бай Ганьо не допущаше, че е възможно българи да бъдат виновни за тая неуправия.",1,0,1,1,1,0,1
"— Оногова там, видите ли го — казваше той, след като донесоха няколко прости свещи, и сочеше един нашенски чужденец, — с катран да го облееш, че да го запалиш. Туй търпи ли се бе! Че оставете тъмното, него кой му гледа — ами резил пред сърбите станахме. Ето го там ѐ, видите ли го, сръбски чиновник — смее се човекът. Смее се зер! Но възбуденият патриотизъм не допусна бай Ганьо да претърпи на един сърбин да му се подсмива, че като се намръщи насреща му:",1,0,1,1,1,0,1
"— Ами ти защо се смееш там бе, хей! И искаше да скочи от вагона и да иде да се разправя със сърбина. Геройска кръв!",1,0,1,1,1,0,1
"— Шш... Стой мирно, бай Ганьо — увещаваха го пътниците, — недей прави скандал. Имай пред вид, че влизаш в Сърбия...",1,0,1,1,1,0,1
"— Е, че какво, като влизам в Сърбия! Ще ме уплашат ли? Ами Сливница? Ами „натраг, брача“ — и из устата на бай Ганя изхвръкна една псувня като бомба.",0,0,1,1,1,0,1
