text,love,joy,anger,sadness,fear,surprise,neutral
"— Дравичката, господа, тъй хубаво разказва, че след него е трудно да ви задоволя с някой разказ. А пък право да ви кажа и аз зная някои работи за бай Ганя — обади се Васил. — От Москва, от Петербург!",0,0,0,0,0,0,1
"— Я начевай по-скоро, стига си го усуквал! — отвърна му Дравичката.",0,0,0,0,0,0,1
— Думата „усуквал“ не ми се вижда извънредно поетическа — пошегува се Мато.,0,0,0,0,0,0,1
"— Мълчете бе, господа. Василе! Хайде бе, гълъбче, начевай!",0,0,0,0,0,0,1
"— По пътя към Петербург — почна Васил — спряхме на станцията във Вилно. Пътувахме другарски двоица — бай Ганьо и аз. Влязохме в бюфета. Бай Ганьо поиска аз да почерпя, понеже из пътя съм пушил от неговия тютюн. Поръчах пиво и закуска. Съдържателят на бюфета се вслуша в нашия разговор, позна, види се, че съм българин, и ни попита по руски: — Извинете, господа, мисля, че сте българи?",0,0,0,0,0,0,1
Отговорихме му утвърдително.,0,0,0,0,0,0,1
"— Не знаете ли господина Димитрова, студента?",0,0,0,0,0,0,1
"— Аз не го познавам, ти познаваш ли го, бай Ганьо!",0,0,0,0,0,0,1
"— Димитрова? Чакай... аха! Сещам се. Димитров, зная, познавам го. Едно отворено момче, зная го, как не!",0,0,0,0,0,0,1
— Не можете ли да ми кажете де е той сега? — попита гостилничарят.,0,0,0,0,0,0,1
"— Той е сега в Цариград — отговори бай Ганьо, — подир една неделя ще се венчава там. Ударил келепира!",0,0,0,0,0,0,1
"— Ка-ак! — извика като гръмнат гостилничарят. — Ще се вен-ча-ва? Ами че той е венчан тука, господа!...",0,0,0,0,0,0,1
"— Има хас. Гледай, ха, ха, ха! — изкикоти се от сърце бай Ганьо. Гостилничарят го изгледа зачудено.",0,0,0,0,0,0,1
"— Ти не го знаеш него — продължи бай Ганьо, като се обърна към мене, — то е страшно отворено хлапе, туй, Димитров...",0,0,0,0,0,0,1
