text,anger,disgust,fear,joy,sadness,surprise,neutral
**1tv_news5**,0,0,0,0,0,0,1
Dimitri Khundadze - Only peace is the essential condition that will facilitate economic development; Georgia is moving in the right direction with its improvisational policy.,0,0,1,0,0,0,1
"12:17, 10.04.2026",0,0,0,0,0,0,1
"""Only peace is the necessary condition that will promote economic development,"" stated Dimitri Khundadze, General Secretary of ""People's Power.""",0,0,1,0,0,0,1
"While speaking about Georgia's role as one of the key players in the Middle Corridor, Dimitri Khundadze noted that the country's economic development will maintain its status as a regional leader.",0,0,0,0,0,0,1
"According to him, this can only be achieved under conditions of peace, as war and development are incompatible.",0,0,0,0,0,0,1
"""Peace is a necessary condition for utilizing the country's transport potential. A few days ago, when the situation in the Middle East became extremely tense, Georgia's airspace was the only one congested on the air transport map. This was a very small example within the larger picture of what I am saying—that peace is an essential prerequisite for fulfilling a transit function.""",0,0,1,0,0,0,1
"How is it possible for a country to join sanctions when no result can be achieved through them, not even for those requesting them? How do you imagine destroying the Russian economy with Georgian sanctions? Our opponents argue that active steps must be taken to improve social conditions—pensions and salaries should be increased, jobs should be created, tourism should be developed, and so on. They have presented their proposals in specific figures. For instance, representatives of Gakharia's party introduced an initiative stating that the minimum wage should be 1,050 GEL. ""Lelo"" proposes increasing the pension to 1,000 GEL—and all of this is supposed to happen against the backdrop of sanctions? In a state of war, isn't this simply unimaginable?!",0,0,0,1,0,0,1
"These are hypocritically noble statements. Some occasionally let it slip that it would be better for ""hot bombs"" to be falling than for there to be peace in Georgia. Development and war—these two things are incompatible. It is a fact that Georgia, with its improvisational policy, is on the right track.",0,0,0,0,0,0,1
"For comparison, in Ukraine today, no one is thinking about increasing pensions or building schools and kindergartens. In Ukraine, there is only one concern: that family members somehow survive. More than 10 million people have already become displaced, and the economy is destroyed.",0,0,0,1,0,0,0
"In our country, tourism figures have increased over the past year. It was 4.4 billion in 2024, while 4.7 was recorded in 2025. Investments are growing, and the country's economy has increased to 100 billion. This is precisely where the opportunity lies for infrastructure to develop, for investments to flow in, and for even more tourists to arrive. Consequently, it will be possible to increase pensions more rapidly and create jobs with greater intensity—the number of jobs has increased by 40,000 in the recent period.",0,0,0,0,0,0,1
"""I am not saying that everything is perfect; I am saying that in this most difficult period, with such a policy, we have not only maintained peace and avoided war, but have also managed to ensure that things are better in every direction than they were yesterday. However, this is not enough, and we want even more,"" stated Dimitri Khundadze.",0,0,0,0,0,0,1
