Unnamed: 0,Article ID,Article Name,Paragraph,Original,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
0,0,Bai Ganyo Starts Out For Europe Bul,1,"Помогнаха на бай Ганя да смъкне от плещите си агарянския ямурлук, наметна си той една белгийска мантия – и всички рекоха, че бай Ганьо е вече цял европеец.","They helped Bai Ganyo slough off his heavy, felt Turkish cloak, he donned a nice Belgian frock coat, and everyone said that Bai Ganyo had become a real European.","They helped Bai Ganya take off his Agaryan yamurluk, he put on a Belgian robe – and everyone said that Bai Ganya was now a complete European.","They helped Bay Ganyo shed the Agarian cloak from his shoulders, he donned a Belgian mantle—and everyone said that Bay Ganyo was now a complete European.","They helped Bay Ganyo take off the Agarian cloak from his shoulders, he threw on a Belgian mantle — and everyone said that Bay Ganyo was already a full European.",0.8793804,0.76008797,0.7333234
1,0,Bai Ganyo Starts Out For Europe Bul,2,– Хайде всеки от нас да разкаже нещо за бай Ганя.,"“C’mon, why don’t we each tell a story about Bai Ganyo.”",– Let's each tell something about Uncle Ganya.,– Let each of us tell something about Bay Ganyo.,"– Come on, let each of us tell something about Bay Ganyo.",0.55082,0.47768107,0.50021195
2,0,Bai Ganyo Starts Out For Europe Bul,3,– Хайде – извикяха всички.,"“Yeah, let’s!” everyone exclaimed.","“Come on,” everyone shouted.",– Come on – everyone shouted.,– Come on – everyone shouted.,0.7273186,0.62228334,0.62228334
3,0,Bai Ganyo Starts Out For Europe Bul,4,– Аз ще разкажа.,“I’ll tell one.”,– I will tell you.,– I will tell.,– I will tell.,0.43998128,0.50671804,0.50671804
4,0,Bai Ganyo Starts Out For Europe Bul,5,"– Чакайте, аз зная повече...","“Hang on, I know more.”","– Wait, I know more...","– Wait, I know more...","– Wait, I know more...",0.52588475,0.52588475,0.52588475
5,0,Bai Ganyo Starts Out For Europe Bul,6,"– Не, аз, ти нищо не знаеш.","“No, me, you don’t know anything!”","– No, I, you don't know anything.","– No, I—you don't know anything.","– No, you know nothing.",0.68103373,0.67713463,0.6105077
6,0,Bai Ganyo Starts Out For Europe Bul,7,"Дигна се, глъчкане. Най-сетне се съгласихме да почне Стати. И той почна.",An uproar ensued. Finally we agreed that Stati would begin. And so he began.,"He got up, there was a commotion. Finally we agreed that Stati should start. And he did.","A hubbub arose. Finally, we agreed that Stati should start. And he started.","An uproar arose. At last, we agreed that Stati should begin. And he began.",0.77737737,0.8529265,0.9519186
7,1,Bai Ganyo Sets Off Bul,1,"Тренът ни влезе под огромния свод на пещенската гара. Ний с бай Ганя влязохме в бюфета. Като знаех, че тук ще се бавим цял час, аз преспокойно се разположих при една маса и си поръчах закуска и пиво. Наоколо ми свят - гъмжило! Па и хубав свят. Маджарите, знайте, не са ми твърде по сърце, ама, виж, маджарките – против тях нямам нищо. Залисан в шума, не забележих кога бай Ганьо изфирясал от ресторана заедно с дисагите си. Де бай Ганя? Чашата му празна. Огледах се наоколо, подирих с oчи из целия ресторан – няма го. Излязох вън – на перона, – бре тук бай Ганьо, там бай Ганьо – няма! Чудна работа! Помислих, че е отишъл във вагона да прегледа да не е отпънал някой килимчето му.","Our train pulled into the huge vault of the station on the Pest side of Budapest. Bai Ganyo and I went into the station restaurant. Since I knew we had a whole hour to kill, I made myself comfortable at a table and ordered some snacks and beer. The crowd swarmed around me, and it was a good-looking crowd at that. You know, I’m not crazy about Hungarians, but I’ve got nothing against Hungarian girls. Distracted by the noise, I didn’t notice Bai Ganyo slipping out of the restaurant taking his disagi, his woven cloth saddlebags, with him. Where did Bai Ganyo go? His glass was empty. I looked all over, peered into every corner of the restaurant, but he was nowhere to be found. I went outside onto the platform, I looked in all directions; not a sign of Bai Ganyo, nothing at all. What a strange business! I thought that maybe he’d gone into the train car to make sure someone didn’t swipe his small traveling rug, his kilim.","Our train entered under the huge arch of the Peshtna station. Uncle Ganya and I entered the buffet. Knowing that we would be here for an hour, I calmly settled down at a table and ordered breakfast and beer. The world around me was bustling! And a nice world. Hungarians, you know, are not to my liking, but, look, Hungarian women – I have nothing against them. Lost in the noise, I didn’t notice when Uncle Ganya left the restaurant with his saddlebags. Where was Uncle Ganya? His glass was empty. I looked around, searched the entire restaurant with my eyes – he was gone. I went out – onto the platform, – here Uncle Ganya, there Uncle Ganya – he was gone! What a strange thing! I thought he had gone into the carriage to check if someone had pulled up his rug.","Our train pulled in under the massive vault of the Pest station. Bai Ganyo and I went into the refreshment room. Knowing that we would be delayed here for a whole hour, I settled myself quite comfortably at a table and ordered breakfast and a beer. All around me were people—a swarming crowd! And a fine-looking crowd at that. The Magyars, you know, are not exactly to my liking, but the Magyar women—now, I have nothing against them. Distracted by the noise, I didn't notice when Bai Ganyo had slipped out of the restaurant along with his saddlebags. Where was Bai Ganyo? His glass was empty. I looked around, scanning the entire restaurant—he was gone. I went outside onto the platform—I looked here for Bai Ganyo, there for Bai Ganyo—nothing! Strange business! I thought he might have gone to the carriage to make sure no one had made off with his rug.","Our train entered beneath the huge arch of the station at Pécs. Bay Ganyo and I went into the buffet. Knowing that we would be delayed here for a whole hour, I calmly settled down at a table and ordered breakfast and beer.

There was a crowd all around me—what a swarm! And a fine crowd too. The Hungarians, mind you, are not much to my liking, but the Hungarian women—against them I have nothing.

Absorbed in the noise, I did not notice when Bay Ganyo slipped out of the restaurant together with his saddlebags. Where was Bay Ganyo? His glass was empty. I looked around, searched the whole restaurant with my eyes—he was nowhere to be seen. I went outside onto the platform—Bay Ganyo here, Bay Ganyo there—but no Bay Ganyo! Strange business! I thought he had gone to the carriage to check whether someone had not snatched his little rug.",0.8084375,0.8929465,0.830189
8,1,Bai Ganyo Sets Off Bul,2,"Върнах се пак в ресторана. Има още половин час и повече до тръгването на трена. Пия си пиво и зяпам. Портиерът след всеки пет минути удря звънеца и равнодушно, с един ленив глас съобщава направлението на треновете: „хе-геш-фе-ке-те-хе-ги, киш-ке-реш, се-ге-дин, уй-ве-дек.“ Няколко англичани пътници го зяпнали в устата, а той, види се, навикнал на вниманието, което обръща със своеобразния си език, засмива се до уши и с още повисок и дрезгав глас продължава: „уй-ве-дек, киш-ке-реш, хе-геш-фе-ке-те-хе-ги“... – с натъртено ударение на всеки слог.","I went back to the restaurant. There was still more than half an hour till the train’s departure. I sat there drinking my beer and staring around. The stationmaster would strike a bell every ﬁve minutes and announce the directions of the trains in a listless, lazy voice,“Hö-gösh-fö-kö-tö-he-gi, Kish-kö-rösh, Se-ge-din, Uy-ve-dek.” A few English tourists gaped at him, and he, apparently used to the attention he attracted with his peculiar language, grinned from ear to ear and with an even louder and huskier voice kept on going,“Uy-ve-dek, Kish-kö-rösh, Hö-gösh-fö-kö-tö-he-gi,” emphasizing each individual syllable.","I went back to the restaurant. There was still half an hour or more until the train left. I drank my beer and stared. The porter rang the bell every five minutes and indifferently, in a lazy voice announced the direction of the trains: “he-gesh-fe-ke-te-he-gi, kish-ke-resh, se-ge-din, ui-ve-dek.” Several English passengers stared at him in the mouth, and he, apparently accustomed to the attention he was attracting with his peculiar language, laughed uproariously and continued in an even higher and hoarse voice: “ui-ve-dek, kish-ke-resh, he-gesh-fe-ke-te-he-gi”... – with a strong emphasis on each syllable.","I returned to the restaurant again. There is still more than half an hour until the train departs. I am sipping my beer and looking around. Every five minutes, the porter rings the bell and indifferently, in a lazy voice, announces the direction of the trains: “he-gesh-fe-ke-te-he-gi, kish-ke-resh, se-ge-din, uy-ve-dek.” A few English travelers are staring at his mouth, and he, apparently used to the attention his peculiar language draws, grins from ear to ear and continues in an even louder and hoarser voice: “uy-ve-dek, kish-ke-resh, he-gesh-fe-ke-te-he-gi”... with a sharp emphasis on every syllable.","I went back into the restaurant again. There is still half an hour and more before the train leaves. I’m drinking my beer and staring around. Every five minutes the porter rings the bell and, in an indifferent, lazy voice, announces the train destinations: “he-gesh-fe-ke-te-he-gi, kish-ke-resh, se-ge-din, uy-ve-dek.” A few English passengers are staring at his mouth, and he, apparently used to the attention his peculiar language attracts, grins from ear to ear and, in an even louder and hoarser voice, continues: “uy-ve-dek, kish-ke-resh, he-gesh-fe-ke-te-he-gi”... — with emphatic stress on every syllable.",0.9145074,0.9222605,0.9107388
9,1,Bai Ganyo Sets Off Bul,3,"Останаха още десетина минути до тръгването на трена. Аз се разплатих, заплатих и бай Ганьовото пиво и излязох на перона с намерение да го потърся. В това време под свода на гарата влизаше медлено един трен и, представете си, в един от вагоните на този трен, увиснал до половина на прозореца, лъсна бай Ганьо не можах да дочуя по причина на шипенето на локомотива. Аз разбрах каква е работата. Като се спря тренът, той скочи на земята, притече се при мене и ми разказа с голям примес от енергични псувни, които, с позволението ви, няма да повтарям, следующето:","We still had about ten minutes before the train was supposed to leave. I paid my bill, and I paid for Bai Ganyo’s beer as well, and then I went out onto the platform to look for him. At that moment a train came slowly into the station, and just picture it, in one of the cars, hanging halfway out the window, Bai Ganyo came into view. He caught sight of me and began to wave to me with his lamb’s-wool cap, his kalpak, from far away, saying some-thing I couldn’t hear over the locomotive whistle, but I understood what had happened. When the train stopped, he jumped down and came running up to me and told me—with a healthy dose of energetic swearing, which, with your permission, I won’t repeat—the following story:","There were still about ten minutes left until the train left. I paid, paid for Bai Ganyo's beer and went out onto the platform with the intention of looking for him. At that time, a train was slowly entering the station's archway and, imagine, in one of the carriages of this train, hanging halfway out the window, Bai Ganyo shone, I couldn't hear him because of the hissing of the locomotive. I understood what was going on. When the train stopped, he jumped to the ground, ran to me and told me the following, with a large admixture of energetic swearing, which, with your permission, I won't repeat, the following:","There were about ten minutes left until the train’s departure. I settled my bill, paid for Bay Ganyo’s beer as well, and went out onto the platform with the intention of looking for him. At that moment, a train was slowly pulling in under the station’s vaulted roof and, imagine, in one of the carriages of this train, leaning halfway out the window, there appeared Bay Ganyo—I couldn't hear what he was saying because of the hissing of the locomotive. I realized what the situation was. When the train stopped, he jumped down, rushed over to me and, with a heavy dose of energetic curses which, with your permission, I shall not repeat, told me the following:","There were still about ten minutes left until the train’s departure. I settled up, paid for Bay Ganyo’s beer as well, and went out onto the platform intending to look for him. At that moment, a train was slowly entering beneath the station arch, and, imagine it, in one of the carriages of this train, hanging halfway out of the window, Bay Ganyo suddenly appeared. I could not make out what he said because of the hissing of the locomotive. I understood what had happened. When the train stopped, he jumped to the ground, ran up to me, and told me, with a great admixture of vigorous curses which, with your permission, I shall not repeat, the following:",0.9394252,0.71341074,0.69953483
