text,love,joy,anger,sadness,fear,surprise,neutral
"Bulgaria is a driving force in the processes of building connectivity in Europe, President Iliana Iotova stated at a forum in Yerevan (04.05.2026 16:37)",1,0,0,0,0,0,1
"Connectivity is not just a strategic choice. It is a guarantee of our common security – from the economy to defense. Bulgaria is not only an active partner but also a driver of these processes, stated Vice President Iliana Iotova during the discussions at the Eighth European Political Community Summit, held in the Armenian capital, Yerevan. This was reported by the press secretariat of the head of state. Nearly 50 heads of state and government are participating in the forum under the theme ""Building the Future: Security and Stability in Europe."" The European Political Community aims to foster political dialogue and cooperation to strengthen security, stability, and prosperity on the European continent.",1,0,0,0,0,0,1
"It is high time that national projects find their place within our shared geographical and economic connectivity. Southeast Europe is a strategic bridge between our continent, Asia, and the Middle East. Times of crisis open up new opportunities, Iotova noted, as quoted in the statement. In her speech, the Vice President emphasized projects related to the energy and transport connectivity of the Old Continent, in which Bulgaria is actively involved.",1,0,0,0,0,0,1
"Global conflicts have taught us the hard way that we must develop our energy independence and diversify our energy sources, Yotova also stated, emphasizing that the gas interconnector between Greece and Bulgaria plays a key role in diversification.",1,0,0,0,0,0,1
"The Head of State emphasized that Bulgaria was one of the first countries to expand its gas storage capacity after the 2022 gas crisis. She highlighted the significance of one of the most large-scale projects – the Vertical Gas Corridor, which will connect Greece, Bulgaria, Romania, and Hungary. The Bulgarian section of the project is nearly complete.",1,0,0,0,0,0,1
"""We are working on expanding renewable energy infrastructure, particularly along the Black Sea coast, as well as solar systems,"" Iliana Iotova added, as quoted in the press release. She emphasized that Bulgaria is one of the largest and most consistent supporters of clean and safe nuclear energy, while the European Union is only now reconsidering its position on the matter.",0,0,0,0,0,0,1
"The President highlighted the importance of transport connectivity. We insist on accelerating the construction of Corridor 8, which will connect Bulgaria, North Macedonia, and Albania – effectively linking the Adriatic with the Black Sea. This is an important project not only economically but also from a security perspective, not just for the region but for all of Europe, Iotova pointed out. She emphasized that these projects are important for the integration of the Western Balkan countries, as they will contribute to bilateral connectivity as well as to transport arteries across Europe. The President also called for the development of the Trans-European Transport Network – a large-scale project for building infrastructure for various modes of transport in Europe.",1,0,0,0,0,0,1
"Iliana Iotova also emphasized the significance of the Trans-Caspian Transport Corridor, which will contribute to the connectivity between Europe and Asia. The Head of State highlighted how important it is to build another bridge over the Danube River and to complete the transport link between Silistra and Calarasi.",1,0,0,0,0,0,1
"In his speech, the President pointed out that Bulgaria has strengthened the role of its Black Sea ports. These are projects important not only for the economy but also for the security of the continent, Yotova said.",1,0,0,0,0,0,1
"Bulgaria is developing industrial zones around major cities to attract investment and ensure the security of regional supply chains. The President highlighted Bulgaria's strong positions in the development of new technologies, cybersecurity, and artificial intelligence. Bulgaria is one of the six countries selected by the European Commission for the construction of an AI gigafactory.",1,0,0,0,0,0,1
"The Head of State also emphasized the importance of the European Union's Multiannual Financial Framework. It is of vital importance for economic projects, regional connectivity, and development to preserve the cohesion policy, and Bulgaria will firmly insist on this, Iotova emphasized.",1,0,0,0,0,0,1
"""The Vertical Gas Corridor is of strategic importance for Europe's energy security. In addition to the economic benefits, it also has political significance in a time of serious geopolitical divisions and military conflicts,"" Vice President Iliana Iotova stated earlier today.",1,0,0,0,0,0,1
