,Article ID,Article Name,Paragraph,Original,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
0,1,Aluda Ketelauri Ge,1,"I. მაცნე მოიდა შატილსა: – ქისტებმა მოგვცეს ზიანი, დაგვიწიოკეს მწყემსები, ავნია, ავი-ზნიანნი.","I. A messenger came to Shatili: ""The Chechens have struck a blow against us, these evil men of evil ways have sent our shepherds scattering"".","I. A messenger came to Shatila: - The Kists have harmed us, they have killed our shepherds, they have harmed us, they have harmed us.","I. A messenger came to Shatili:
– The Kists have done us harm,
They have raided our shepherds,
Wicked they are, of evil ways.","I. The messenger came to Shatili: – The Kists have harmed us, they have ravaged our shepherds, wicked, evil-minded ones.",,,
1,1,Aluda Ketelauri Ge,2,"ალუდა ქეთელაური კაცია დავლათიანი, საფიხვნოს თავში დაჯდების, სიტყვა მაუდის გზიანი; ბევრს ქისტს მააჭრა მარჯვენა, სცადა ფრანგული ფხიანი. ცუდას რად უნდა მტერობა, კარგია მუდამ მტრიანი!","Aluda Ketelauri is a man smiled on by fate, in village assemblies he sits at the head, his words when he speaks are to the point; he has proven his sharp-edged sabre and hacked many Chechen right hands off. The bad man has no need to fight, the good man can always meet the foe!","Aluda is a man of Ketela, a man of power, who sits on the head of a scepter, a man of the word of Maud; he has cut many a kist with his right hand, he has tried to be a French pkhian. Why does evil need enmity, good is always an enemy!","Aluda Ketelauri is a man of great renown,
He sits at the head of the council, his words are wise and sound;
He has severed the right hands of many Kists, testing his sharp Franguli blade.
Why would a worthless man need enemies? A good man is never without them!","Aluda Ketelauri is a fortunate man,  
he sits at the head of the council,  
his word carries weight and wisdom;  
he has cut off the right hand of many a Kist,  
and tested the sharp French blade.  
Why should one seek enmity with the bad?  
It is always good to have enemies!",,,
2,1,Aluda Ketelauri Ge,3,"ქისტებს წაუსხამ ცხენები, ალუდაისიც ფთიანი. გუმან აქვ, გადაავლიონ არხოტის თავი მთიანი, გადაბერტყინონ ნალითა ქუჩი მთებისა ცვრიანი.","The Chechens had driven off, he heard, Aluda's own fleet-footed horses; he has an inkling that they would cross the mountainous head of the Arkhoti, their horses' shoes trampling down the dewy fescues of the mountains.","I will give the horses to the Kists, and the Aludais to the Ptya. I think they will cross the mountainous head of Arkhot, and they will cross the snowy street of the mountains with their horses.","The Kists have driven off the horses, Aluda’s winged one too.
They intend to cross the mountainous heights of Arkhoti,
To shake the dewy grass of the mountains with their horseshoes.","The Kists have driven off the horses, and Aluda’s too is feathered.  
He has a hunch they’ll sweep over the mountain pass of Arkhoti,  
and shake down with iron the dew-covered slopes of the mountains.",,,
3,1,Aluda Ketelauri Ge,4,"ეს რო ალუდამ გაიგო, თოფს დაუპირა ტალიო; აისხა იარაღები, გააფხავიდის ხმალიო; გაუშინჯიდის ვადანი, ხმალს არ მაუტყდეს ტარიო.","As soon as Aluda heard all this, he put an edge on his rifle's flint, put on his armour, sharpened his sword, testing carefully the crosspiece, lest the sword should break its hilt.","When Aluda heard this, he aimed his gun at the target; he drew his weapons, his sword was drawn; he tightened his grip, lest the sword break the hilt.","When Aluda heard this, he readied the flint for his rifle;
He girded on his weapons, he sharpened his sword;
He inspected the hilt, lest the handle of the sword should break.","When Aluda heard this, he intended to take up his gun; he strapped on his weapons, and drew his sword; he tested the scabbard, so the sword would not strike the hilt.",,,
4,1,Aluda Ketelauri Ge,5,"ცისკრის ხანია, მტერს მისდევს კლდის შავარდენი ჩქარიო. გათენებისას ჭიუხში შურთხმა დარეკა ზარიო, ძაღლებს კი სძინავ თეოზე, ჯერ არ გაშლილა ცხვარიო.","Dawn. The peregrine falcon of the rocks swiftly pursues the enemy; as day breaks over the rocky screes the snow pheasant's bell-like call rings out. But the dogs still sleep in their pens, the sheep have not yet left their folds.","It is dawn, the enemy is pursued by the black swiftness of the rock. At dawn, a bell rang in the barn, and the dogs were sleeping on the mat, the sheep had not yet been grazed.","It is the hour of dawn, the swift falcon of the cliff pursues the foe. At daybreak, in the craggy peaks, the snowcock rang its bell; the dogs are sleeping on the mountain ridge, the sheep have not yet spread out.","It is the hour of dawn; the falcon of the cliff is swiftly pursuing the enemy. At daybreak, in the gorge, the partridge rang out like a bell, and the dogs are still asleep on the hillside; the sheep have not yet been let out.",,,
5,1,Aluda Ketelauri Ge,6,"მალე შააგდო ალუდამ ქისტების ნავალს თვალიო. მარჯვედვე გადაეწია, თოფმა გაიღო ჩქამიო: ერთს ქურდ-კანტალას ღილღველსა ცუდი დაუდგა წამიო; გადავარდება ცხენზეით, ყელ-თავქვე ეკიდებისა; ნატყვიარი სჭირს ბეჭის თავს, ზედ ცეცხლი ეკიდებისა; ამხანიგ-მოკლულ ღილღველი ჩახმახსა ეზიდებისა. გამასტყვრა მუცალის თოფი, კლდის პირი დაიშლებოდა, ნაძოძი ტყვიის ალუდას კალთაში ჩაეშლებოდა.","Aluda's eyes soon fell upon the Chechen's tracks. Moments later he caught them up. His gun went off. One thieving Ingush tribesman met the evil instant of his end. His body toppled from his horse, hanging over upside down, pierced by a ball in the shoulder blade. He feels fire spreading from the wound. Another Ingush, the dead man's comrade, squeezes the trigger with his finger. Mutsali's rifle fired a shot, splintering the bare rock-face. Shattered pieces of bullet fall into Aluda's tunic hem.","Soon Aluda caught sight of the Kistian fleet. He turned right, and the gun fired: One of the thieves, Kantala, had a bad moment with his rifle; he fell from his horse, hanging by his neck; a bullet hit his shoulder, and a fire was lit on top; the rifleman pulled the trigger on his slain comrade. The rifle of the mutineer was about to fall, and the edge of the cliff was about to collapse, and the bullet was about to fall into Aluda's lap.","Soon Aluda cast his eye upon the trail of the Kists. Deftly he took aim, and his rifle rang out: a bitter moment arrived for one Ghlighvi raider; he falls from his horse, dangling head-down; a bullet wound pierces his shoulder, burning like fire. The Ghlighvi, his companion slain, pulls back the hammer. Mutsali’s rifle thundered, as if the very cliffside would crumble, and the leaden fragments of the bullet showered into Aluda’s lap.","Soon Aluda cast his eye on the Kists’ trail.  
He shifted swiftly; the gun went off with a crack:  
one thieving Ghilghveli had a bad moment;  
he falls from the horse, hanging head and neck downward;  
the bullet wound is at the shoulder blade, and fire seems to cling to it;  
the slain Ghilghveli, his companion, is carrying the flintlock.  
Mutsal’s gun burst forth, the cliff face would split apart,  
and the lead, dug out by the shot, would fall into Aluda’s skirt.",,,
6,1,Aluda Ketelauri Ge,7,"– არა გჭირსაა, რჯულ-ძაღლო?! – მუცალი ეუბნებოდა. – ნუ გგონავ, მჭირდეს, რჯულ-ძაღლო, ყმასა გუდანის ჯვრისასა. ხმა ალუდაის თოფისა ჭეხასა ჰგვანდა ცისასა.","""Haven't I hit you, heathen dog?"" Mutsali called out to his foe. ""Don't you believe it, heathen dog, I am a vassal of Gudani shrine"". The bang that came from Aluda's gun was thunder striking from the sky.","– Are you in trouble, you law-dog?! – the mutt was saying to him. – Don't think I'm in trouble, you law-dog, with the threshing floor. The sound of Aludai's rifle was like the crack of a bell in the sky.","– Are you not hit, you infidel dog?! – Mutsali was saying. – Do not think I am hit, infidel dog, a vassal of the Gudani Cross. The sound of Aluda’s rifle was like the thunder of the heavens.","– Aren’t you hurt, you cursed dog?! – Mutali was saying. – Don’t think I’m hurt, you cursed dog, servant of the Gudani Cross. The sound of Aluda’s gunshot was like the thunder in the sky.",,,
7,1,Aluda Ketelauri Ge,8,"– არ მოგხვდაუა, რჯულ-ძაღლო? – ისევ ეძახის იმასა.","""Haven't I hit you, heathen dog?"" he shouts out to the other man.","“Don't you understand, you dog?” he calls again.","– Didn't it hit you, infidel dog? – he calls out to him again.","– Didn’t you get hit, you law-dog? – he calls out to him again.",,,
8,1,Aluda Ketelauri Ge,9,"– მუცალს არა სჭირს, რჯულ-ძაღლო, ნამტვრევს მაშლიდა კლდისასა…","""Mutsali's unharmed, heathen dog; I was only struck by broken rock.""","– My stomach doesn't hurt, you dog, I'm just breaking a bone on the rock...","– Mutsal lacks for nothing, you infidel dog, he showered me with shards of rock…","– Mutsal is not hurt, you dog of a heathen, he was clearing away the fragments of the cliff…",,,
9,1,Aluda Ketelauri Ge,10,"– ოჰო, ქუდ გაუხვრეტია, წვერებსა სტუსავს თმისასა.","""Aha, that must have pierced his hat, the bullet's singed the ends of his hairs.""","– Oh, the hat is torn, the hair is sticking out of the beard.","– Oho, it has pierced the hat, it nips the tips of the hair.","– Oh, his hat has a hole in it, and it is brushing against the hairs of his beard.",,,
