text,anger,disgust,fear,joy,sadness,surprise,neutral
Dimitri Khundadze - Only peace is the necessary condition that will support economic development; Georgia is moving in the right direction with its improvisational policy.,1,0,0,1,0,1,1
"Only peace is the necessary condition that will support economic development,” said Dimitri Khundadze, Secretary General of “People’s Power.”",1,0,0,1,0,1,1
"Speaking about Georgia’s role as one of the key players in the Middle Corridor, Dimitri Khundadze noted that the country’s economic development will preserve its function as a regional leader.",1,0,0,1,0,1,1
"According to him, this can only be achieved under conditions of peace, because war and development are incompatible.",1,0,0,1,1,1,1
"“Peace is a necessary condition for utilizing the country’s transport potential. A few days ago, when the situation in the Middle East became extremely tense, only Georgia’s airspace was congested on the transport and aviation map. This was a very small example of the bigger picture I am referring to: peace is a necessary condition for fulfilling a transit function.",1,0,0,1,0,1,1
"How can a country join sanctions when it cannot achieve any result from this, even for the customer? How do you imagine destroying the Russian economy with Georgian sanctions? Our opponents are raising the issue that, in order to improve the social situation, active steps must be taken: pensions and salaries must be increased, jobs must be created, tourism must be developed, and so on. They have put forward proposals in direct numerical terms. For example, representatives of Gakharia’s party introduced an initiative that the minimum wage should be 1,050 lari. “Lelo” is raising the issue that pensions should be increased to 1,000 lari, and all of this should happen against the backdrop of sanctions? In wartime conditions, isn’t that unimaginable?!",1,0,0,1,0,1,1
"These are hypocritically noble statements. Some people sometimes let it slip that it would be better for hot bombs to fall than for there to be peace in Georgia. Development and war — these two things are incompatible. Georgia, with its improvisational politics, is, in fact, moving in the right direction.",1,0,0,1,1,1,1
"For comparison, in Ukraine today no one is thinking about increasing pensions or building schools and kindergartens. In Ukraine, there is only one concern: how to somehow keep this or that family member alive. More than 10 million people have already been displaced, and the economy has been destroyed.",1,0,0,1,1,1,1
"In our country, over the past year, tourism has increased. It was 4.4 billion in 2024, and in 2025 it reached 4.7. Investments are growing, and the country’s economy has increased to 100 billion. This is exactly where the opportunity lies for infrastructure to develop, for investments to come in, and for even more tourists to arrive. Then it will also be possible to increase pensions more quickly and create jobs more intensively — in recent times, the number has increased by 40,000.",1,0,0,1,0,1,1
"“I am not saying that everything is perfect; I am saying that, in this extremely difficult period, with such a policy we not only preserved peace and avoided war, but also managed to make things better in every direction than they were yesterday. However, that is not enough, and we want even better,” said Dimitri Khundadze.",1,0,0,1,1,1,1
