text,love,joy,anger,sadness,fear,surprise,neutral
Local media report a scandal in the Bulgarian church “St. George the Victorious” in Edirne; the reason is a request by Greek clergy for a service in Greek (09.05.2026 15:36),0,0,0,0,0,0,1
"Local media report a scandal at the Bulgarian church “Saint George the Victorious” in Edirne, caused by the insistence of Greek clergy to conduct the service for St. George’s Day in Greek.",0,0,0,0,0,0,1
"As a result of this situation, the board of the Bulgarian community in Constantinople imposed a ban on services in the Bulgarian churches in Edirne being conducted in Greek.",0,0,0,0,0,0,1
"According to information on the “Bată Express” website, the scandal broke out when the Greek metropolitan, who was supposed to lead the service in the Bulgarian Orthodox church located in the Kıyık district of Edirne, insisted that it be conducted in Greek. The metropolitan was sent by the Ecumenical Patriarchate in Istanbul.",0,0,0,0,0,0,1
"However, the hundreds of Bulgarians present in the church opposed the Greek clergyman. A scandal ensued, with the Bulgarian citizens insisting that services in the Bulgarian church should be conducted in Bulgarian, not in Greek, which they did not understand, the cited source notes.",0,0,1,0,0,0,1
"St. George’s Day is also the patronal feast of the Bulgarian Orthodox church in the Kıyık district of Edirne, and hundreds of Bulgarians have arrived especially for the celebration, local media report.",0,0,0,0,0,0,1
"The scandal caused a very strong reaction among the community of Orthodox Bulgarians in Istanbul, and the topic was also covered by other media such as ""Habertürk"", ""Yeni Birlik"", and others.",0,0,0,0,0,0,0
"“On behalf of the Istanbul Bulgarian community, we came to Edirne today to hold the traditional liturgy. We are the parish and the owners of this church, including the Church of St. Constantine and Helena in Edirne. However, upon our arrival, we were informed by priests sent by the Greek Metropolitan of Edirne that we would not be able to conduct services in Bulgarian. Instead, we were told that the services would be held with Greek priests. We did not accept this, because this is a Bulgarian church and we believe that the services should be conducted in Bulgarian,” said Dimitri Yotef, chairman of the board of the Foundation of Orthodox Churches of the Bulgarian Exarchate in Istanbul and of the community of the Bulgarians of Constantinople.

“For that reason, as the Foundation of Orthodox Bulgarians, we have taken the following decision. As of today, we are closing our church for liturgical services until the issue of holding services in Bulgarian is resolved. At the same time, we have decided to forbid the Metropolitan of Edirne from entering the church until permission is granted for services in Bulgarian. Of course, it will remain open for visits. People may come and pray, light candles. There is no obstacle to that. However, no services will be held,” Yotef added, as cited by local media.

According to him, the decision applies to both churches in the city of Edirne. “Frankly speaking, this decision should have been made years ago. We experienced great sorrow after the death of the late Father Alexander Chakarak. He was very valuable to us. After his death, over the past three years, we were subjected to strong pressure from the Metropolitan. That is why today we met with the board and came to the point of making this decision,” he added.",0,0,0,0,0,0,1
"Official Bulgarian representatives were also present in the church for today’s service. “Today, a very unpleasant incident took place in our church, which you all witnessed. We can call it an unexpected situation, but it must also be said that this is a continuation of a long-standing problem. Because we have long been facing the same difficulties. His Holiness the Metropolitan imposed a restriction on holding services in the Bulgarian language. However, in the Republic of Turkey, services and liturgies in every church or place of worship are conducted in the language of the respective community. The Republic of Turkey is a state that equally protects the rights of different peoples, different denominations, and religious groups. Unfortunately, I must state that His Holiness the Metropolitan did not understand our sensitivity on this issue. He may be of Greek origin, but the issue here is language, culture, and the right of the community to practice its faith in its own language,” said the Bulgarian Consul General in Edirne, Radoslava Kafedzhiyska, to the Edirne media.",0,0,0,0,0,0,1
"After quite prolonged and heated debates, and above all because of the persistent demands of Bulgarian citizens in defense of their right to recite their prayers in the Bulgarian language, a prayer was read in Bulgarian.",0,0,0,0,0,0,1
"The scandals surrounding the Bulgarian churches in Edirne are mainly related to attempts by the Ecumenical Patriarchate to intervene, bans on worship in the Bulgarian language, and disputes over the management of the churches. Ecumenical Patriarch Bartholomew has been criticized for actions aimed at imposing a Greek presence, including through services in the Greek language, experts familiar with the issue say.",0,0,1,0,0,0,0
"In the Bulgarian churches in Istanbul, ""St. Stephen"" and ""St. John of Rila,"" under the Bulgarian Exarchate, the liturgy is conducted in Bulgarian, with the only exception being a visit by the Ecumenical Patriarch, when the prayers are offered in Greek.",0,0,0,0,0,0,1
