text,anger,disgust,fear,joy,sadness,surprise,neutral
"The orchestra was playing the Romanian melody “Doina.” Or more precisely, the one playing was our Annie on solo flute; the rest were just chiming in. We listened from the inner salon. But, you will ask, who is this “we” you’re talking about? Who? Everyone knows who: the senator, Othello, Stuvencho, and me. A tall bottle of white Chateau Sandrovo stood before us, and next to it another of Giesshübler. We were lolling around a table, cigarettes in our mouths, catching the musical flourishes of “Doina,” and we had surrendered ourselves to a pleasant far niente, the business of doing nothing. The next day was Sunday. We didn’t have to work, and we could stay out a bit later. The music was decent, the fräuleins were pretty; we were confirmed bachelors. Perfect!",1,0,0,1,0,1,1
"So there we were, when all of a sudden, the flute went off key, and at the same instant, the whole orchestra fell out of tune. Just then, Stuvencho laughed out loud and said, “That damned Othello! He’s such a joker! Just look at him!” The senator and I immediately turned around, and what do you think we saw? That devil Othello! I don’t know how he comes up with those pranks of his! He had stolen away without any of us noticing, asked the waiter for a lemon wedge, and, catching the eye of the flute player, without the others noticing, started nibbling the lemon right in front of her. She was a young girl, impressionable, so naturally, her mouth watered, and her lips puckered up in anticipation of that tart lemon juice. Well, just try to play the flute under such circumstances. We laughed till tears rolled down our cheeks.",1,0,0,1,0,1,1
"The music stopped. From the street we heard a kid shouting, “Hot off the press! Get the la-test news-pa-per! Get the National Grand-eu-eur!” Huh, what’s that? The National Grandeur? They’ve got to be kidding! Still infected with laughter from the lemon joke, we all started laughing again. Just then Gedros arrived.",1,0,0,1,0,1,1
"“Hey, Gedros, how’s it going? Sit down! Want some wine?”",0,0,0,1,0,1,1
"“Ah, Othello, my good man. Why are you crying? Here, wipe your little nose,” teased the ever-cheerful Gedros.",1,0,0,1,1,1,1
"“Gedros, what’s that newspaper, the one they’re shouting about on the street?”",1,0,0,1,0,1,1
“What? You mean you don’t know about Bai Ganyo Balkanski’s paper?”,1,0,0,1,0,1,1
“You’re pulling my leg!”,1,0,0,1,0,1,1
"“No, I’m serious! Ganyo Balkanski is the editor in chief and owner of the newspaper the National Grandeur. Aaah, it’s quite a story. You really don’t know anything about it?”",1,0,0,1,0,1,1
"“Come on, do you really mean it?”",1,0,0,1,0,1,1
"“Indeed I do! Just wait till I tell you all about it. I got the whole story today in great detail, and I’ll tell it to you as if I had been there myself.”",0,0,0,1,0,1,1
"We had them close the door to the inner salon, and Gedros began. This is what he told us.",1,0,0,1,0,1,1
"A meeting was set up at Bai Ganyo’s. Those present were the master of the house himself, Gochoolu, Dochoolu, and Danko the Thug. They put their heads together and began to mull over what kind of business they should set up in order to make the most of the current situation.",1,0,0,1,0,1,1
"“We need to get in on the action, too,” said Bai Ganyo.“Patriotism without payoff is for the birds. Now tell me, given how things stand these days, how can we get on the gravy train? What do you say, Gochoolu?”",1,0,0,1,0,1,1
"“Who, me? To tell you the truth, Bai Ganyo, I still haven’t changed my mind. We should open a Russian traktir—a little Russian restaurant.”",1,0,0,1,1,1,1
“We should what?!”,1,0,0,1,0,1,1
"“I’m telling you, we should open a Russian traktir,” insisted Gochoolu.",1,0,0,1,0,1,1
“What’s the matter with you? Are you running to Mother Russia again?” asked Bai Ganyo in amazement.,1,0,0,1,0,1,1
“Let’s get one thing straight here. This whole business isn’t about Mother Russia; it’s about which way the wind is blowing.”,1,0,0,1,0,1,1
“Blowing where? In your head?”,1,0,0,1,0,1,1
"“In Bulgaria. Only a fool would miss this chance. Now is the time. A Russian traktir. I’ve been around Moscow. I know what I’m talking about. A traktir with two dining halls: one for the noblemen, the other for the muzhiks—for the peasants, that is.”",1,0,0,1,0,1,1
“Where are you going to ﬁnd any muzhiks here?” asked Bai Ganyo in amazement.,0,0,0,1,0,1,1
"“We’re not exactly all noblemen here, Bai Ganyo, are we?”",1,0,0,1,0,1,1
"“Well, OK, and then what?”",0,0,0,1,0,1,1
"“Then, we’ll need some music, a barrel organ perhaps? Surely, you’ve seen those, haven’t you, Bai Ganyo?”",0,0,0,1,0,1,1
"“If I haven’t, who has?” replied Mr. Balkanski haughtily.",1,0,0,0,1,1,1
"“Right. We’ll have an organ and, of course, tea. We’ll round up about ten young kids, make sure they’re blond, so they’ll look like Russians. We’ll dress ’em up in some boots and red shirts, we’ll give ’em each a Cossack haircut, and there you go, a real traktir! We’ll bring in some Russian newspapers, vodka, zakuski, you know, appetizers, and out front there’ll be a sign saying “Russkiy Traktir.” And then we’re on easy street. What do you think?”",1,0,0,1,0,1,1
"“I don’t approve,” Dochoolu announced majestically. “I don’t approve. If the plan is to take advantage of which way the wind is blowing, then the best thing would be to open a kvass factory.”",1,0,0,1,0,1,1
"“Now, that’s a great way to make money. So you want to open a bakery?” said Danko the Thug, laughing.",1,0,0,1,0,1,1
"“No, no, I mean Russian kvass, the drink, not Bulgarian kvas.” It’s that weak fermented stuff like beer, like our boza.”",1,0,0,1,0,1,1
"“Oh, terriﬁc. So now we’re going to become boza peddlers!” The Thug was insulted.",1,1,0,0,1,1,1
"“No, my friend. The hook isn’t the drink itself. It’s the name! All you have to say is ‘Russian kvass’ and people will be stampeding to try it. Haven’t you heard what the French are up to these days? They’ve made a killing on it, no joke!”",1,0,0,1,0,1,1
"“That’s nonsense. I don’t want this kvass stuff,” stated Danko unhappily.",1,0,0,1,1,0,1
“What do you want us to do?” Dochoolu asked angrily. “Tell us what you have in mind!”,1,0,0,1,0,1,1
“We should open a bank!” blurted out Danko the Thug.,1,0,0,1,0,1,1
“You’re an idiot!”,1,1,0,1,0,1,1
“Why?”,1,0,0,1,0,1,1
"“Quit your arguing,” Bai Ganyo cut in.",1,0,0,1,0,0,1
"“Why am I an idiot?” continued Danko angrily, shooting a bloodthirsty glance at Dochoolu.",1,1,0,1,0,1,1
“Be quiet now and sit down. Tell us what you have to say about the bank.”,1,0,0,1,0,1,1
"“Yeah, well, first make him tell me why I’m an idiot.”",1,0,0,1,1,1,1
"“He wants to open a bank! That’s not just gravy that you can slurp up!” muttered Dochoolu under his breath, upset by Danko’s glower and menacing tone. “So a bank is gravy, is it?”",1,0,0,1,1,1,1
"“Of course it’s gravy,” roared Danko the Thug.",1,0,0,1,0,1,1
"“What do you mean, gravy? Where do you get gravy from?” snarled Dochoolu.",1,0,0,1,0,1,1
"“Shut up, all of you. We did’nt come here for this!” Bai Ganyo tried to smooth their ruffled feathers. “Dochoolu, sit down.”",1,0,0,1,0,0,1
“But where does he get gravy from?”,1,0,0,1,0,1,1
"So one word led to another, and it seemed the whole thing was getting out of control. As you know, Danko the Thug is always spoiling for a fight, and Dochoolu wasn’t taking any of his guff. They would have come to blows, but Bai Ganyo, conceding a little to one and then a little to the other, finally managed to calm them down.",1,0,0,1,1,1,1
"So Danko sits down and begins to lay out his plan for founding a bank. “It’s a piece of cake. We’ll sell five or ten million levs’ worth of shares, we’ll get the cash, and we’ll start passing out loans right and left, at a good interest rate, of course. We’ll lend to merchants and to municipalities, and if the government finds itself in a tight spot, we’ll give a million or so to it, too. And there you have it! We’ll have the statutes drawn up so that one-half of the profit would be for us, the other half for the shareholders. What’s more, we’ll keep some shares for ourselves, whether we invest any money in it or not. Bai Ganyo, you’re an influential man. Just knock on a couple of doors, and it’s all set!”",1,0,0,1,0,1,1
"“Don’t bite off more than you can chew! There are people who are better at this sort of thing than you are. Let them start up the business, and then we’ll skim some off the top,” said Bai Ganyo didactically.",1,0,0,1,0,1,1
Gochoolu and Dochoolu nodded their heads in agreement.,1,0,0,1,0,1,1
"“Hold on, now, and I’ll tell you what I’ve come up with,” exclaimed Bai Ganyo with authority, standing up. “You know what? We’re not going to make it with atraktir, nor are we going to get anything going with a bank, and as for your Russian kvass, Dochoolu, that’s just plain nonsense. So shall I tell you what I’ve got in mind, huh?”",1,0,0,1,0,1,1
"Gochoolu, Dochoolu, and the Thug were all ears and impatience.",1,0,0,1,0,0,1
