text,anger,disgust,fear,joy,sadness,surprise,neutral
"Bulgaria is a driving force behind the processes of building connectivity in Europe, said President Iliana Yotova at a forum in Yerevan (04.05.2026 16:37)",1,0,0,1,0,1,1
"Connectivity is not just a strategic choice. It is a guarantee of our shared security — from the economy to defense. Bulgaria is not only an active partner, but also a driving force behind these processes, said President Iliyana Yotova during the discussions at the Eighth Summit of the European Political Community, which is taking place in the Armenian capital, Yerevan. This was reported by the press secretariat of the head of state. Nearly 50 heads of state and government are taking part in the forum, titled “Building the Future: Security and Stability in Europe.” The European Political Community aims to promote political dialogue and cooperation to strengthen the security, stability, and prosperity of the European continent.",1,0,0,1,0,1,1
"It is high time for national projects to find a place in our shared geographical and economic connectivity. Southeast Europe is a strategic bridge between our continent, Asia, and the Middle East. Times of crisis open up new opportunities, Yotova said, as quoted in the statement. In her speech, the president emphasized the projects related to the energy and transport connectivity of the Old Continent, in which Bulgaria is actively involved.",1,0,0,1,0,1,1
"Global conflicts have taught us the hard way that we must develop our energy independence and diversify our energy sources, Yotova also said, emphasizing that the gas interconnector between Greece and Bulgaria plays a key role in diversification.",1,0,0,1,1,1,1
"The Head of State emphasized that Bulgaria was one of the first countries to expand the capacity of its gas storage facilities after the 2022 gas crisis. She highlighted the significance of one of the largest projects — the Vertical Gas Corridor, which will connect Greece, Bulgaria, Romania, and Hungary. The Bulgarian section of the project is almost complete.",1,0,0,1,0,1,1
"“We are working to expand renewable energy infrastructure, especially along the Black Sea coast, as well as solar systems,” Iliana Iotova also said, as quoted in the press release. She emphasized that Bulgaria is one of the largest and most consistent supporters of clean and safe nuclear energy, while the European Union is only now reconsidering its position on the issue.",1,0,0,1,0,1,1
"The President highlighted the importance of transport connectivity. We are calling for the accelerated construction of Corridor 8, which will connect Bulgaria, North Macedonia and Albania — in practice, the Adriatic Sea with the Black Sea. This is an important project not only from an economic perspective, but also in terms of security not only for the region, but for all of Europe, Yotova said. She emphasized that these projects are important for the integration of the countries of the Western Balkans, as they will contribute to bilateral connectivity, as well as to transport arteries across Europe. The President also called for the development of the Trans-European Transport Network — a large-scale project for building infrastructure for different modes of transport in Europe.",1,0,0,1,0,1,1
"Iliyana Yotova also emphasized the importance of the Trans-Caspian Transport Corridor, which will contribute to connectivity between Europe and Asia. The head of state highlighted how important it is to build another bridge over the Danube River and to complete the transport link between Silistra and Călărași.",1,0,0,1,0,1,1
"In his speech, the president pointed out that Bulgaria has strengthened the role of its ports on the Black Sea. These are projects that are important not only for the economy, but also for the security of the continent, said Yotova.",1,0,0,1,0,1,1
"Bulgaria is building industrial zones around the major cities to attract investment and ensure the security of regional supply chains. The President highlighted Bulgaria’s strong position in the development of new technologies, cybersecurity, and artificial intelligence. Bulgaria is one of the six countries selected by the European Commission to build an artificial intelligence gigafactory.",1,0,0,1,0,1,1
"The head of state also placed emphasis on the importance of the European Union’s Multiannual Financial Framework. It is extremely important for economic projects, regional connectivity, and development to preserve cohesion policy, and Bulgaria will firmly insist on this, Yotova stressed.",1,0,0,1,0,1,1
"“The Vertical Gas Corridor is of strategic importance for Europe’s energy security. In addition to its economic benefits, it also has political significance at a time of serious geopolitical divisions and military conflicts,” said President Iliana Iotova earlier today.",1,0,0,1,0,1,1
