text,anger,disgust,fear,joy,sadness,surprise,neutral
"Taki the Beer-Seller was still asleep, although the sun’s rays had long since pierced the filthy, dimmed windows of his stuffy little room; the rays gradually lit up his feet, crept toward his belly, gleamed on his dried and cracked lower lip, scorched by the inner fire, rushed into his open mouth, and penetrated to the throat from which the waves of a disturbing snore were breaking forth. It was precisely at that time that the postal carrier knocked three times on the door. But does Taki’s ear understand such gentle signals? If it had been a weekday, that would be one thing, but it happened to be a holiday. On a holiday, you know, a person loosens up a bit more: he clinks glasses with one, then with another, and before you know it, he’s had a bit too much. And the same thing happened to Uncle Taki: out of a desire to recommend his beer, he had quite soaked himself. What I mean is, so you won’t be surprised, that when the postal carrier repeated the knocking on the door, and no one answered, he delivered such merciless blows upon the entirely innocent door that even if a whole cauldron of beer had visited Uncle Taki’s stomach, he would still have woken up. And he did wake up. He opened his eyes, squinted against the sun, and in a voice worthy of the throat from which it came, he asked:

— Who’s there?

— Mail — replied the carrier, entered the room, stepped over to the bed, handed him a letter, and hastened to escape the stifling atmosphere of the unventilated bedroom.

Uncle Taki coughed a little, as was proper, rubbed his eyes, and unfolded the letter.

An invitation!",0,0,1,1,1,1,1
"“Honourable Sir, you are respectfully requested to come tomorrow, Sunday, at 5 o’clock in the afternoon, to the “Suhindol Wines” warehouse, where the question of founding a temperance society will be discussed.",1,0,1,1,0,0,1
"With respect: For the initiators, Tanas Dochoolu, tavern keeper""",1,0,1,1,0,0,1
"My God! How timely this invitation had come. For old Taki’s parched throat and cracked lips, there were at that moment such advocates of temperance that he enthusiastically embraced the noble idea, and all that remained was for the fifth hour after noon to strike so that he could declare himself the most ardent defender of temperance. During the day, old Taki drank water. (To be honest, to speak straight, he did drink two little glasses of wine, but that’s just how it is said.) Whether five o’clock had struck or not, old Taki crossed the threshold of the spacious warehouse “Suhindol Wines.”",1,0,1,1,0,1,1
— Is Uncle Tanas here? — he asked the boy who was standing behind the counter.,0,0,1,1,0,0,1
"— Please come in, they’re here, in the little room — the boy replied respectfully and stepped aside to open the little door for him.",1,0,1,1,0,0,1
"The host, Tanas Dochoolu, greeted his fellow man kindly and invited him to take a seat. Several citizens sat solidly and silently along the walls, inspired and drawn here by the noble idea of the future society. Bai Taki greeted them all, and silence was restored again, broken only by modest coughs. It was clearly visible that those gathered were expecting someone, without whom they did not dare to open the meeting.

Not much time passed before the outer door opened. Dochoolu hurried out to see whether the desired guest was coming, but immediately returned with a dissatisfied look. Into the room, quite unexpectedly, burst Danko Harsuzina. “We’ve struck gold!” whispered Bai Tanas to Bai Takya. It was obvious that this was not the expected person.

Danko opened his mouth to say something—Danko’s kind of talk would be to curse someone—but no one showed any desire to listen to him, and he fell silent. A few more minutes passed, and (thank God!) the boy rushed headlong into the room and cried out in alarm: “He’s coming! He’s coming!”",0,0,1,1,0,0,1
"Everyone stood up. The outer door opened, and on the threshold appeared, in all his grandeur, in the flesh, our mutual friend Bay Ganyo Balkanski.",1,0,1,1,0,0,1
"— Oh! Long live it! — exclaimed the long-awaited guest enthusiastically, without specifying what exactly should “live,” but without any explanation everyone understood that this referred to the future society.",1,0,1,1,1,0,1
"— Long live! — responded the gathered group, and they began taking turns shaking hands with Bay Ganyo. Danko Harsuzina, always less delicate, even dared (imagine!) to pat Bay Ganyo on the neck, but Mr. Balkanski shot him such a look that Danko tucked his tail between his legs and huddled into a corner. “Don’t hold it against him, Bay Ganyo,” the host whispered, “you know what he’s like. Danko is always Danko — a roughneck.”",1,1,1,1,0,0,1
