text,anger,disgust,fear,joy,sadness,surprise,neutral
"— Dravichka, gentlemen, tells it so well that after him it is hard for me to satisfy you with any story. And to tell you the truth, I also know some things about Bay Ganyo — Vasil chimed in. — From Moscow, from Petersburg!",0,0,0,0,0,0,1
"— Start sooner, stop beating around the bush! — Dravichkata replied.",0,0,0,0,0,0,1
— The word “usukval” doesn’t seem particularly poetic to me — Mato joked.,0,0,0,1,0,0,1
"— Be quiet, gentlemen. Vasile! Come on, little dove, begin!",0,0,0,0,0,0,1
"— On the road to Petersburg — began Vasil — we stopped at the station in Vilno. We were traveling as companions, the two of us — Bay Ganyo and I. We went into the buffet. Bay Ganyo insisted that I treat him, since along the way I had been smoking his tobacco. I ordered beer and a snack. The buffet keeper listened in on our conversation, apparently recognized that I was Bulgarian, and asked us in Russian:

— Excuse me, gentlemen, I think you are Bulgarians?",0,0,0,0,0,1,1
We answered him in the affirmative.,0,0,0,0,0,0,1
"— Don’t you know Mr. Dimitrova, the student?",0,0,0,0,0,1,1
"— I don’t know him; do you know him, Bay Ganyo?",0,0,0,0,0,1,1
"— Dimitrova? Wait... ah! I remember. Dimitrov, I know him, I’m familiar with him. A very open-minded guy, I know him, of course!",0,0,0,1,0,0,0
— Can’t you tell me where he is now? — asked the innkeeper.,0,0,0,0,0,1,1
— He is now in Constantinople — replied Bay Ganyo — in a week he will be getting married there. He’s struck gold!,0,0,0,0,0,0,1
"— Wha-at! — shouted the innkeeper as if struck by thunder. — Get ma-rried? Why, he was married here, gentlemen!...",0,0,0,0,0,1,1
"— There’s a thought. Look, ha, ha, ha! — Bay Ganyo chuckled heartily. The innkeeper looked at him in astonishment.",0,0,0,0,0,1,0
"— You don’t know him — continued Bay Ganyo, turning to me — he’s a terribly sharp kid, that Dimitrov...",0,0,0,0,0,0,1
"The innkeeper told us the following: “One day, gentlemen, Mr. Dimitrov arrived by train with a deaf-mute boy of 13 or 14. I had known Dimitrov a year earlier; he had lived in our town, fallen in love with a girl, they got married, and left for Moscow or for Petersburg—I do not know. When he came this year with the deaf-mute boy, he told me that this boy had a brother in your country, in Bulgaria, a clerk or an officer—I do not remember—which brother was to send him one hundred francs every month so that he could live in one of the Petersburg institutes for the deaf-mute. Since Mr. Dimitrov was leaving for some other city—at least that is what he told me—he asked me to take the boy into my home, feed him, and look after him until his return. He assured me that he would come back in about ten days. I agreed, took in the unfortunate child, and cared for him as if he were my own. Ten days passed, then a month, then two, and no word came from Dimitrov. I wanted to learn something from the child—but he is deaf-mute, poor thing, and cannot tell me anything. Then I saw that the child became sad. I wrote to Petersburg, to Moscow—no one replied. In the third month, gentlemen, the boy disappeared. We asked, searched, reported it to the police, sent telegrams in several directions—nothing, the poor child was lost. What became of that child, I still do not know. Let Mr. Dimitrov bear the sin of it; I shall bear a loss of 100 rubles... And you say that he was to be married next Sunday? My God, how is such a thing possible? For God’s sake, gentlemen, report this to your superiors, warn that unfortunate girl whom he is to marry...”",0,0,0,0,0,0,1
"I promised the innkeeper that as soon as I reached Petersburg, I would inform a gentleman who, I was sure, would immediately telegraph to the Exarchate. I settled the bill. We got on the train and set off for Petersburg.",0,0,0,1,0,0,1
"— You really needed to вмешваш — said Bay Ganyo reproachfully to me, — how do you know what sort of woman his wife here is.",1,0,0,0,0,1,0
"We were traveling third class. Bay Ganyo took two seats and lay down to doze. At the next station, several more passengers got into our carriage, and the extra seats had to be given up, but Bay Ganyo is no fool — he pretended to be asleep and snored, snored away. A giant German peasant came up to Bay Ganyo with a bag in his hand and began to wake him, nudging him gently on the boots. Bay Ganyo kept dodging and kept letting out hrr... puff... hrr... puff... and, covering his face from the German, winked at me, as if to say, “Look how clever I am.” “Now then, get up!” shouted the German and began to poke my companion quite noticeably. Hrrr... puff!... “Well, don’t pretend, devil!” growled the German, and with one sweep cleared Bay Ganyo’s legs, toppled him over his saddlebags, and sat down with us. Bay Ganyo pretended to be startled, rubbed his eyes, and immediately, as if nothing had happened, took out his snuffbox and offered it open to the German: — Bulgarian tobacco!",0,0,0,0,0,0,1
"— Ah, so you’re Bulgarians! Very pleased to meet you — said the German good-naturedly and began rolling himself a cigarette. — You’re going to Petersburg. I am too. Together, then.",0,0,0,1,0,0,0
"As soon as we arrived in Petersburg, I hastened to fulfill the promise I had made to the innkeeper in Vilno. I met with my acquaintance and told him about Dimitrova’s conduct. He immediately telegraphed to Constantinople and managed to stop the impending wedding. In turn, he told me the rest of the story of the deaf-mute boy. When and how he was induced to flee from Vilno is not known, but one day he arrived in Petersburg, and there he was for a long time the victim of the basest exploitation on the part of Dimitrova, who not only pocketed the sums sent by the unfortunate boy’s brother, but also forcibly made the poor child go from door to door to all the more influential people and well-known philanthropists in Petersburg to beg for money. And not only in Petersburg, but he often sent him as far as Kronstadt, to the famous saint of the common people, John of Kronstadt...",0,0,0,0,0,0,1
"I, having almost no means of subsistence, was forced to live in Deshovkata, a refuge for extremely poor students. Bay Ganyo insisted most energetically that he too come to Deshovkata.",0,0,0,0,0,0,1
"— No, come on, Bay Ganyo, this place is only for students.",0,0,0,0,0,0,1
"— So what, if it’s for students — old Ganyo kept persuading me — aren’t students people like me? What’s the harm, after all, in taking in one Bulgarian?",0,0,0,0,0,1,0
"— But you are a rich man, Bay Ganyo, you can pay at the hotel.",0,0,0,1,0,0,1
"— What a simple fellow you are, — Bay Ganyo was reproaching me. — I thought you were smarter. Hey, Bulgarian, why should we give our money to the Muscovites? If you get a good deal, hold on to it with both hands! How would they know what my circumstances are?",0,0,0,0,0,1,1
