Article ID,Article Name,Paragraph,English - Google,English - Gemini,English - ChatGPT,Original,English,Google,Gemini,ChatGPT
6,Bai Ganyo At Jirecheks Bul,1,0.8173435,0.85778356,0.8505484,"— Туй, дето го разказа Цвятко — обади се срамежливият Илчо, — то е по-подирна работа, пък аз зная, че бай Ганьо по-рано е дохождал в Прага, бавил се е дълго време и е продал доста розово масло. Искате ли да ви разкажа?","“What Tsvyatko just told you happened later,” said our shy Ilcho, “but I know that Bai Ganyo was in Prague on a previous occasion. He was there for a long time and sold quite a bit of rose oil. Would you like me to tell you about it?”","""The one Tsvyatko told me about,"" said the shy Ilcho, ""it's a bit of a mystery, and I know that Uncle Ganyo has been to Prague before, stayed for a long time, and sold a lot of rose oil. Do you want me to tell you?""","— What Tsvyatko told — the shy Ilcho spoke up — happened later on, but I know that Bay Ganyo had visited Prague earlier, stayed for a long time, and sold quite a bit of rose oil. Would you like me to tell you about it?","— What Cvetko told — said the shy Ilcho, — that’s a later matter, but I know that Bay Ganyo had come to Prague earlier, had stayed there a long time, and had sold quite a lot of rose oil. Would you like me to tell you about it?"
6,Bai Ganyo At Jirecheks Bul,2,0.70754516,0.65668225,0.6830706,"— Щом е за бай Ганя, недей пита, разказвай! — отговорихме ний.","“If it’s about Bai Ganyo, don’t ask; tell!” we all replied.","""If it's about Uncle Ganya, don't ask, tell me!"" we replied.","— Since it’s about Bay Ganyo, don’t ask, tell us! — we replied.","— If it’s about Bay Ganyo, don’t ask, just tell it! — we replied."
6,Bai Ganyo At Jirecheks Bul,3,0.88935506,0.8146239,0.8262987,"— Добре. Слушайте тогава. Пристигва бай Ганьо от Виена в Прага. Слиза на станцията, нарамва си дисагите и излиза на улицата. Файтонджиите се спущат да му предлагат услугите си — той им прави знак с глава, че не ще. Те разбират знака му за утвърдителен и един файтон се изпречва отпреде му. Бай Ганьо се сърди, блещи се и прави сърдити жестове. Това забелязва полицейският и заповядва на файтоните да се оттеглят. Мисли си бай Ганьо от кого да узнае де живее Иречек, нашият историограф. Иречек е живял в България, обича българите, ще иде бай Ганьо у него: „Добър ден“ — „Дал ти бог добро“ — и може да го покани в къщата си; защо ще си дава паричките по хотели? — Додето си мисли така, пред него се изпречва един трегер с червена шапка и предлага да му носи дисагите. Бай Ганьо го пита знае ли де живее Иречек, трегерът отговаря отрицателно, по дава надежда, че ще може да се намери, и пак простира ръце да поeме дисагите. Бай Ганьо не му ги дава, едно, защото мускалите са вътре и може „да запраши нанякъде“ и, друго, гледа го облечен добре, кой знае колко ще го оскубе.","OK, then listen. Bai Ganyo arrives in Prague from Vienna. He gets off the train at the station, shoulders his disagi, and walks out into the street. The cabbies descend on him to offer their services, and he dips his chin down, Bulgarian style, to signal no. They interpret his gesture as an affirmative nod, and a cab pulls up right in front of him. Bai Ganyo gets mad, stares wide eyed, and makes angry gestures. A policeman sees him and makes the cabbies back off. Bai Ganyo is wondering how he can ﬁnd out where our famous historian Jirechek lives. Jirechek has lived in Bulgaria; he loves the Bulgarians; Bai Ganyo will go to his place. “Good day.” “Good day to you.” And maybe he’ll invite him to stay at his place. Why spend money on a hotel? While he was thinking along those lines, a porter in a red cap came and stood in front of him and offered to carry his disagi. Bai Ganyo asked him if he knew where Jirechek lived. The porter answered in the negative but expressed the hope that he’d be able to ﬁnd him and held out his hand to take the disagi. Bai Ganyo didn’t give them up, in part because his muskali were inside and “might get swiped,” and in part because he saw that the guy was nicely dressed, and who knew how much he’d try to fleece him for.","— Okay. Listen then. Bai Ganyo arrives from Vienna in Prague. He gets off at the station, puts on his saddlebags and goes out into the street. The cabbies come down to offer him their services — he nods his head that he won’t. They take his sign as an affirmative and a cab stops in front of him. Bai Ganyo gets angry, glares and makes angry gestures. The policeman notices this and orders the cabbies to move away. Bai Ganyo thinks, who will he find out from where Irechek, our historiographer, lives. Irechek has lived in Bulgaria, he loves Bulgarians, Bai Ganyo will come to him: “Good day” — “God bless you” — and he can invite him to his house; why would he spend his money on hotels? — While he is thinking this, a porter in a red hat stops in front of him and offers to carry his saddlebags. Bai Ganyo asks him if he knows where Irechek lives, the porter answers negatively, but gives hope that he can be found, and again extends his hands to take the saddlebags. Bai Ganyo does not give them to him, one because the musketeers are inside and he might ""go somewhere"" and, secondly, he looks at him well dressed, who knows how much he will rob him.","— All right. Listen, then. Bay Ganyo arrives from Vienna in Prague. He gets off at the station, shoulders his saddlebags, and goes out into the street. The cabmen rush to offer him their services — he makes a sign with his head that he doesn't want any. They take his sign for an affirmative one, and a cab pulls up in front of him. Bay Ganyo gets angry, glares, and makes angry gestures. The policeman notices this and orders the cabs to withdraw. Bay Ganyo wonders from whom he can find out where Jireček, our historiographer, lives. Jireček lived in Bulgaria, he loves Bulgarians, Bay Ganyo will go to his place: “Good day” — “God give you good” — and he might invite him into his house; why should he spend his little coins on hotels? — While he is thinking this, a porter with a red cap appears before him and offers to carry his saddlebags. Bay Ganyo asks him if he knows where Jireček lives; the porter answers in the negative, but gives hope that it can be found, and again stretches out his hands to take the saddlebags. Bay Ganyo does not give them to him, firstly, because the vials are inside and he might “dash off somewhere” and, secondly, he sees him well-dressed, who knows how much he will fleece him.","— Good. Listen then. Bay Ganyo arrives from Vienna in Prague. He gets off at the station, slings his saddlebags over his shoulder, and goes out into the street. The cabmen rush up to offer him their services — he nods to them that he does not want them. They take his gesture as affirmative, and a cab pulls up in front of him. Bay Ganyo gets angry, stares, and makes irritated gestures. The policeman notices this and orders the cabs to withdraw. Bay Ganyo wonders from whom he can find out where Jireček, our historian, lives. Jireček lived in Bulgaria, loves the Bulgarians, Bay Ganyo will go to him: “Good day” — “God grant you good” — and he may invite him into his house; why should he spend his money on hotels? While he is thinking thus, a porter with a red cap steps in front of him and offers to carry his saddlebags. Bay Ganyo asks him whether he knows where Jireček lives; the porter answers in the negative, but gives hope that it can be found, and again stretches out his hands to take the saddlebags. Bay Ganyo does not give them to him, first because the flasks are inside and he might “take off somewhere,” and second because he sees that he is well dressed, and who knows how much he will fleece him."
6,Bai Ganyo At Jirecheks Bul,4,0.7789711,0.71283144,0.7514092,"— Ваша милост, вървете напред, аз подире ви — казва вежливо бай Ганьо. — Оставете дисагите, аз ще ги нося. Тази вежливост бай Ганьо я пуща със сметка: хем ще предразположи трегера към себе си, хем ще му покаже, че не е някой голям и богат човек, та да не мисли   о н з и   да го оскубе.","“Your Grace, you go in front and I’ll follow behind,” said Bai Ganyo politely. “Don’t worry about the disagi; I’ll carry them.” This politeness on Bai Ganyo’s part was calculated. He figured it would make the porter well disposed toward him and at the same time show that he, Bai Ganyo, was not some rich important man, so the guy wouldn’t try to fleece him.","""Your Grace, go ahead, I'll follow you,"" says Bai Gagne politely. ""Leave the saddlebags, I'll carry them."" Bai Gagne uses this politeness with a calculation: he will both incline the bearer towards him and show him that he is not some great and rich man, so that he won't think of robbing him.","— Your Honor, you go on ahead, I’ll follow you — says Bay Ganyo politely. — Leave the saddlebags, I’ll carry them. Bay Ganyo puts on this politeness with a calculation: it will both win the porter over and show him that he is not some big, rich man, so that *t h a t  o n e* doesn't think of fleecing him.","— Your grace, go ahead, I’ll follow you — says Bay Ganyo politely. — Leave the saddlebags; I’ll carry them. Bay Ganyo shows this politeness with calculation: he will both put the porter at ease and show him that he is not some great and rich man, so that the other one won’t think of fleecing him."
6,Bai Ganyo At Jirecheks Bul,5,0.7633003,0.8020191,0.7614578,"Вървят, разпитват по кръстопътищата де живее Иречек; най-сетне сетил се някой, че въпросът е за професор Иречек, казал им де да попитат, попитали и го намират. Бай Ганьо казва на трегера едно ""да си жив, благодарим"" и влиза в квартирата на Иречека.","They walk along and ask at each cross street where Jirechek lives. Finally, someone realizes that they’re looking for Professor Jirechek and tells them where to go to ask, and they keep asking till they find him. Bai Ganyo gives the porter a hearty “Thank you very much” and enters Jirechek’s apartment.","They walk, asking at the crossroads where Irechek lives; finally someone remembered that the question was about Professor Irechek, told them to ask, they asked and found him. Bai Ganyo says to the girder ""may you be alive, thank you"" and enters Irechek's apartment.","They walk along, asking at the intersections where Jireček lives; at last, someone realized that they were asking about Professor Jireček, told them where to inquire, and they asked and found him. Bay Ganyo says a ""bless you, thank you"" to the porter and enters Jireček’s lodgings.","They go around asking at the crossroads where Jireček lives; at last someone remembered that the question was about Professor Jireček, told them whom to ask, they asked, and they found him. Bay Ganyo says to the porter a “be well, thank you” and enters Jireček’s lodgings."
6,Bai Ganyo At Jirecheks Bul,6,0.72594106,0.7519326,0.7196946,"— О-о! Добър ден, бай Иречек, как си, добре ли си? — извиква бай Ганьо с един най-приятелски тон, щом влиза в кабинета на стопанина. Последният му подава зачудено ръка, поканва го да седне и се сърди на своята памет, която не го подсеща кой е този любезен приятел.","“Oho! Good day. Bai Jirechek, how’s it goin’? You doin’ OK?” exclaims Bai Ganyo in his most friendly manner as he enters the master of the house’s study. The latter shakes hands with him in surprise, invites him to sit, and curses his memory, which can’t recall who this kind friend is.","""Oh! Good afternoon, Mr. Irechek, how are you, are you okay?"" Mr. Ganyo calls out in a most friendly tone as he enters the owner's office. The latter offers him his hand in surprise, invites him to sit down, and is angry with his memory, which does not remind him who this kind friend is.","— Oh! Good day, Bay Jireček, how are you, are you well? — exclaims Bay Ganyo in a most friendly tone as he enters the host's study. The latter offers him a hand in bewilderment, invites him to sit, and is vexed with his memory, which fails to remind him who this polite friend might be.","— Oh! Good day, Mr. Yirechek, how are you, are you well? — exclaims Bay Ganyo in a most friendly tone as soon as he enters the host’s office. The latter extends his hand in surprise, invites him to sit down, and is annoyed with his memory, which does not remind him who this courteous friend is."
6,Bai Ganyo At Jirecheks Bul,7,0.86531776,0.8670255,0.85328245,"— Не ме ли познаваш? — припомня бай Ганьо, като смесва ту ""ви"",ту ""ти"". — Вий нали бяхте министър в София? — Да. — Е и аз съм оттам! — заключава тържествено бай Ганьо. — То се казва емишерии сме, хе, хе, хе, ами как! Помниш ли статията във в. „Славянин“?","“Don’t you recognize me?” Bai Ganyo adds helpfully, mixing formal and informal modes of address. “Were you not a minister in Sofia?” “Yes.” “Well, I’m from there, too!” Bai Ganyo concludes triumphantly. “So we’re fellow townsmen, so to speak, heh, heh, heh, and how! Do you remember the article in the newspaper Slavyanin?”","— Don't you know me? — reminds Bai Ganyo, mixing up ""you"" and ""you"". — You were a minister in Sofia, weren't you? — Yes. — Well, I'm from there too! — concludes Bai Ganyo solemnly. — They call us emissaries, heh, heh, heh, how about that! Do you remember the article in the newspaper ""Slavyanin""?","— Don't you recognize me? — Bay Ganyo reminds him, mixing formal and informal ""you"". — Weren't you a minister in Sofia? — Yes. — Well, I'm from there too! — Bay Ganyo concludes solemnly. — As they say, we're fellow countrymen, heh, heh, heh, of course! Do you remember the article in the ""Slavyanin"" newspaper?","— Don’t you recognize me? — Bay Ganyo reminds him, mixing “you” formal and “you” informal. — Weren’t you a minister in Sofia? — Yes. — Well, I’m from there too! — Bay Ganyo concludes triumphantly. — That’s what you call compatriots, heh, heh, heh, of course! Do you remember the article in the newspaper “Slavyanin”?"
6,Bai Ganyo At Jirecheks Bul,8,0.8411417,0.80141425,0.81397223,"— Да, да, спомням си — отговаря сдържано-снизходително Иречек.","“Yes, yes, I remember,” answers Jirechek in a reserved and condescending tone of voice.","""Yes, yes, I remember,"" Irechek replies, restrained and condescending.","— Yes, yes, I remember — Jireček replies with restrained condescension.","— Yes, yes, I remember — replies Jireček in a restrained, condescending tone."
6,Bai Ganyo At Jirecheks Bul,9,0.5212402,0.62653285,0.6159314,"— Ей че бяха те нацапали!... Ама ти си гледай кефа, хич да не те е еня! Аз колко съм ви хвалил!... Те викат Иречек такъв, Иречек онакъв. — ""Да ме прощавате — викам, — не е тъй.""","“Oh boy, did they ever smear you! But don’t you worry about a thing; don’t pay them no never mind. I really stuck up for you. They said ‘Jirechek this’ and ‘Jirechek that.’ But I said, ‘Excuse me,’ I said, ‘it’s not like that.’”","— Oh, they had stained you!... But you watch your mood, don't be so sad! How much I have praised you!... They call you Irechek this, Irechek that. — ""Forgive me,"" I shout, ""it's not like that.""","— Boy, did they drag your name through the mud!... But don't you mind them, just enjoy yourself! I've praised you so much!... They say Jireček is this, Jireček is that. — ""Begging your pardon,"" I say, ""it's not like that.""","— Wow, they really dirtied you up!... But you just enjoy yourself, don’t worry about it at all! How much I’ve praised you!... They say Jireček is this, Jireček is that. — “Excuse me,” I say, “that’s not so.”"
6,Bai Ganyo At Jirecheks Bul,10,0.79691005,0.8138593,0.8273026,"Иречек познава добре българите и затова никак не се учудва на тази фамилиарност на бай Ганя. Разговорът продължава няколко минути в този тон, сетне минува на по-практическа почва: бай Ганьо хвали квартирата на стопанина, загатва му доста осезателно, че „най-сетне има място и още един странен човек даже да се прибере тука“, говори му за гостоприемството на българите, изказва съжаление, че „виж, другите не са като нас, българите; чужденец да влезе в българска къща, ще го нахранят, ще го напоят, ще му постелят“.","Jirechek knows Bulgarians well, and so he’s not at all surprised at Bai Ganyo’s familiarity. The conversation continues for several minutes in this vein and then passes to more practical matters. Bai Ganyo praises the apartment of his host, hints broadly that “after all, there’s even room for a guest to stay here.” He speaks of Bulgarian hospitality and expresses sorrow that “you see, others aren’t like us Bulgarians; if a foreigner enters a Bulgarian home, they’ll give him food and drink as well as a place to sleep.”","Irechek knows the Bulgarians well and is therefore not at all surprised by this familiarity of Uncle Ganya. The conversation continues for several minutes in this tone, then turns to more practical ground: Uncle Ganya praises the landlord's apartment, hints quite perceptibly that ""finally there is room for another strange person to even come home here"", talks to him about the hospitality of the Bulgarians, expresses regret that ""look, the others are not like us Bulgarians; if a foreigner enters a Bulgarian house, they will feed him, give him water, and put him to bed"".","Jireček knew the Bulgarians well and was therefore not at all surprised by Bay Ganyo's familiarity. The conversation continued in this vein for several minutes, then moved onto more practical ground: Bay Ganyo praised the host's lodgings, hinting quite pointedly that ""after all, there is room for even another traveler to put up here,"" spoke to him of Bulgarian hospitality, and expressed regret that ""you see, others are not like us Bulgarians; if a foreigner enters a Bulgarian house, they will feed him, give him drink, and make his bed.""","Irechek knows the Bulgarians well and therefore is not at all surprised by Bay Ganyo’s familiarity. The conversation continues for several minutes in this tone, then moves onto more practical ground: Bay Ganyo praises the landlord’s apartment, hints to him quite pointedly that “at last there is room for even one more strange fellow to settle in here,” talks to him about the hospitality of the Bulgarians, and expresses regret that “look, the others are not like us Bulgarians; if a foreigner enters a Bulgarian house, they will feed him, give him drink, and make up a bed for him.”"
