text,anger,disgust,fear,joy,sadness,surprise,neutral
"I. Buried in the gloom of night, cold and pallid to behold, the Chechen country seems to be the bare rocks' throne. Below in the dark gorge the river roars, seething inwardly with wrath. The mountains had bent down to wash their hands and faces in the flood; many a man had died on their slopes, they couldn't bear the feel of blood. They thirst for fratricidal blood and a man is approaching on the track. Track, I said, but hardly that; a narrow trail along the rocks. Hard to walk, it barely leaves room for foot to follow foot. Yonder appears the Chechen village, an eagle's nest, as beautiful to look at as a woman's breasts. Over the village a black mist sleeps, deeply sunken in its thoughts, listening to the land around, rejoicing in the things it sees.",1,0,0,1,1,0,1
"But tomorrow this passing guest moves on from here to other scenes; it will depart and cross the hills and the ridges gripped in ice, darkening the land as it conceals what was visible from the eyes. Or it will make the hunter weep when he finds he is lost in the rocks, and it will gladden wolves and thieves prowling and roaming in the dark.",1,0,0,1,1,0,1
"II. Someone unknown to him has sent a boulder tumbling from above. The traveller gave an upward glance, before him rose a mighty hill. He listens... and a little later he hears the crunch of trodden sand; the traveller makes his flint gun ready, lest this be a foe at large. Harder he stares, all eyes and ears, propping his rifle on the ground. He sees a man come striding down, a cleft-handled stick is in his hand. Something black he dragged downhill and ploughed a furrow in the sand. The stranger said nothing, not a sound came from his lips. The metal band that bound the barrel of his gun shone like a drop of morning rain.",1,0,0,1,0,1,1
"""Who, what sort of creature are you, why are you abroad at this hour?""",1,0,0,1,0,1,1
"""What do you think? I am a hunter. I can't see why I should trust in you.""",1,0,0,1,0,1,1
"""Why should I seem unworthy of trust? Why say things that are untrue? I am wandering, am I not, just like you in these rocky parts? I too am a hunter if you please; today I have roamed about in vain.""",1,0,0,0,1,1,1
"""Is it usual for a hunter to be as empty-handed as you are?""",1,0,0,1,0,1,1
"""I've plenty, brother, on my hands, it's all I can do to keep on my feet, I've walked every yard of the rocky screes and not left the gorges for a moment. A black mist hung over the higher slopes, a mighty wind sprung up and howled through the ravines like a starving wolf. I couldn't see the path in front, I felt like falling onto the rocks. I'm foxed, I don't know where to turn, that is what has troubled me.",1,0,1,1,1,1,1
"I startled game in many places, I clearly heard the sound of their hooves or of horns when a wild goat touched against the rocks as it leapt across. This was enough to break my heart, I couldn't make anything out with my eyes. Never mind firing or killing now, I hardly dared to move a step.""",1,0,1,1,1,1,1
"The stranger approached him somewhat nearer, standing just a little way off. ""Greetings, then"", he called out to him, ""don't complain, do not be angry.""",1,0,0,1,0,1,1
"""Greetings to you, brother, in return: long may you kill the leaping game.""",1,0,0,1,0,1,1
"""There's game right here, why complain?"" he pointed to a horned wild goat, lying dead, its horns curved back, the cunning beast now silenced for good. ""If you like, let's now divide it as between comrades, the two of us. All I want is a tiny bit, let's carve it up the proper way. Tonight you'll come and stay with me, I have my house not far from here. Brother, where are you from? Say your name. Do not be sad: today the Lord has, it seems, provided for you. Part of the wild goat that I've killed is allotted for you to take. What astounds you? I am not mocking or deceiving you. Well, if things are not what they seem, how have we stumbled on one another? Shame on him, I say, who lets you go off without your share. What's your name? Tell me your name. You have the look of a Khevsuri.""",1,0,0,1,0,1,1
"""Brother, my name is Nunua, I came from Chieli not long ago."" Zviadauri was lying, he had concealed his proper name. He had no choice, his name was known, much Chechen blood cried out for vengeance. Many Chechen right hands he had severed. many Chechens he had despatched to untimely graves.",1,0,0,1,1,0,1
"""Tell me your name, since I have told you my real name.""",1,0,0,1,0,1,1
"""Brother, my name is Joqola, my clan Alkhasta. We shan't have to tell each other any lies. My house is here at Jarega, behind its fortified stone wall. This night you'll come and stay with me, I myself shall lead the way. Though I might not be the best, I shan't be the worst of hosts. Tomorrow, brother, you'll do what seems best, go where you want. I shall tell you of my worries and you can tell me some of yours.""",1,0,0,1,0,0,1
"""Brother, where I haven't ploughed, how can I reap? That's never done. I see you've cut the wild goat's throat and skinned its feet. I shan't refuse to stay with you. I shall help to lug the goat. But I'll not ask, I'd have you know, for any bit. I should not venture to do that.""",1,0,0,1,1,1,1
"They skinned the beast, left for Jarega, told many stories as they went and got to know each other well.",0,0,0,1,0,1,1
"III. Thick stone towers came into sight, dogs started yapping here and there; they had come. From the doorways curious children gazed at them. Now it was clear that what seemed boulders were indeed houses of polished stone.",0,0,0,1,0,1,1
"""Here you are, this is my fort, my house, my home and family. Please come in like a man to his brother or to the father of his godchild.""",0,0,0,1,0,1,1
"Joqola called his wife, ""Come out to the door and look"". The host's words showed his pleasure with himself. On the veranda they stand and wait... the fire was dying on the hearth, by the fire a man of some age sat and played the panduri. He sang of heroes and their deeds, of battles fought by his forefathers: how they pillaged Pshavi and Khevsuri and left no brother's blood unavenged. The brave young warrior's right hand is blessed and revered in every land.",1,0,0,1,0,1,1
"A beautiful woman then appeared dressed in black. Her body was as slender as a silken thread, she was a star torn down from heaven.",0,0,0,1,0,1,1
