text,anger,disgust,fear,joy,sadness,surprise,neutral
"– Wait, let me tell you about my meeting with Bay Ganyo – Stoycho spoke up.",0,0,1,1,0,0,1
"– Come on, tell us – we all cried out, for we know that Stoycho knows how to tell such c o m e d i e s.",1,0,1,1,0,1,1
"– And that was in Vienna. I was sitting one morning in the café, at Mendle’s; I had ordered tea and started looking through our Bulgarian newspapers. I was engrossed in a very interesting article, which explained the way the constitution could be quite significantly shaken, even completely dismantled, and yet remain i n v i o l a b l e... I was reading along, quite absorbed; then all of a sudden, someone bellowed right in my ear: ""O-o-oh! Good day!"" – and a sweaty hand grabbed my right hand. I look up: a broad-shouldered, dark-eyed, dark-haired, and even dark-skinned gentleman, with upturned moustaches, a high-cheekboned face, with a shaved but stubbly beard, dressed (in what do you think?) in a frock coat, unbuttoned, under his waistcoat a red sash two or three fingers wide, with a white (white in our fashion) shirt, without a tie, with a black, tilted fur cap, with boots and a Vratsa cane under his arm. A young man: he might be, at most, thirty years old.",1,0,1,1,0,0,1
"– Excuse me, sir – I say to him with humble astonishment, – I do not have the pleasure of knowing you.",0,1,0,1,0,1,1
"– What? You don't recognize me, you say? You're Bulgarian, aren't you?",0,1,0,1,0,0,1
– I am Bulgarian.,0,0,1,1,1,0,1
– Well?,0,0,1,1,0,0,1
– Well?,0,0,1,1,0,0,1
"– Come on, get up, let's go for a walk. Why are you just hanging around here? They call me Ganyo. Get up!",1,1,1,1,0,0,1
He didn't need to tell me he was Ganyo.,0,1,1,1,0,0,1
"– Excuse me, Mr. Ganyo, I am not free now.",0,1,1,1,0,1,1
"– Well, why are you sitting in the café if you're not free?",0,1,0,1,0,0,1
I didn't think it necessary to give him any explanations. But he showed not the slightest desire to leave me alone and suddenly blurted out:,0,1,0,1,1,1,1
– Get up and take me to the baths. Where is the bathhouse here?,1,1,1,1,0,0,1
"Oho! To take him to the baths! I was starting to get a bit riled up, but I restrained myself, and not only did I restrain myself, but I even felt like laughing. It was clear that Bay Ganyo really needed a bath: he smelled sour from a distance. There was nothing for it. A fellow countryman—I must be of service to him. And I thought to myself, I’ll take advantage of the occasion as well and have a shower. It was hot. We set off and headed toward a summer bathhouse with a large pool. Along the way, whenever we encountered something noteworthy, I felt it necessary to point it out and explain it to Bay Ganyo, but I noticed he listened reluctantly and would just drop an indifferent “Ah, is that so?” or “I know that” every now and then, with which, it seemed, he wanted to show me he wasn't some simpleton. Or he would interrupt me with a question completely irrelevant to what I was explaining. For instance, I’m telling him something about the monument of Maria Theresa on the square between the Museums, and he pulls me by the sleeve.",1,0,1,1,1,0,1
"– Look, that one over there, in the blue dress, eh? What do you think of her? Come on, tell me, how do you tell which one is that sort and which one isn't? I’ve been mistaken many times, eh? – Bay Ganyo followed up his question with a devilish wink.",1,1,1,1,0,0,1
"We arrived at the bathhouse. My heart was tightening—it was as if it sensed what was about to happen. We get our tickets at the counter. Bay Ganyo asks for ""change"" with a wiggle of his fingers, thrust into the window. The cashier hands him the remainder with a smile; Bay Ganyo fixes her with oily eyes, takes the money, and expresses his feelings with a peculiar cough. She bursts out laughing; Bay Ganyo, delighted, twirls his left mustache and shakes his head:",1,0,1,1,0,0,1
"– How beautiful you are, madam. Hey, Stoycho, ask her if she knows Vlach. – Do you know Romanian? – Bay Ganyo himself asked.",1,0,1,1,0,0,1
"At that moment, another visitor entered, and we slipped into the common hall. A circular corridor. All around were small dressing rooms, screened by curtains. In the middle was a pool, separated from the corridor by a low wooden railing. One descended into the pool by several small sets of stairs. Bai Ganyo and I took two adjacent rooms. I undressed quickly and entered the cool pool. In the water, several Germans were dutifully and silently stretching their muscles and puffing. Bai Ganyo lingered for a long time, and from behind the curtain of his room, panting could be heard and some glass objects clinked; at last, the curtain was pulled back and he appeared in the flesh, with a hairy chest and legs patterned by his socks—holding a bundle in his hand: these were his precious vials, tied in a not-so-clean handkerchief, which he had been afraid to leave in the room. ""How do you know their walls are solid? They'll pry off a board, and then go and chase after them."" He looked around the walls of the corridor, searching for a nail to hang his bundle on; he thinks that if it's a wall, there must be a nail on it, and he turns to me:",0,0,1,1,1,0,1
"– Such simpletons, these Germans; they haven't got the sense to drive a single nail, yet they say we're the simple ones.",1,1,0,1,0,0,1
"Having finally convinced himself of the Germans' stupidity, Bay Ganyo hesitantly placed his handkerchief with the vials in front of the entrance to his little room, so that they would be before his eyes while he bathed.",0,0,1,1,1,1,1
"– Listen here, boy – he turned to me, – you go ahead and bathe, but keep an eye on the vials, and watch me too, see what a stunt I’m going to pull. – And with these words, Bay Ganyo lifted one of his legs and stepped onto the railing... – You just watch...",1,1,1,1,0,0,1
"He pulled himself up, put his other leg over, stood up, crossed himself, and cried out:
– Look... Here goes, God help me... Hop!... – and threw himself into the air, tucked his legs up like a pretzel, and *splash!* right into the middle of the pool. Sheets of water sprayed upwards and showered down upon the heads of the Germans, who were frozen in astonishment; rippling circles radiated from the center to the edges, spilled over the sides of the pool, surged back again, and when the water settled and cleared a few seconds later, everyone present in the bathhouse could see Bai Ganyo’s hilarious gesticulations underwater. He rose to the surface, lowered his legs, stepped on the bottom, stood up with his eyes closed and his ears plugged, shook off the water – *poof!* – and sprayed water through his drooping mustache – *poof!* – and squeezed the water from his hair and face, opened his eyes, looked at me, and laughed:",1,0,0,1,0,1,1
"– Ha, ha, ha... eh? What do you say?...",1,1,0,1,0,1,1
"I couldn't say a thing, because he launched himself horizontally over the water and began slapping the surface with his hands; he started swimming ""boatman-style"": splash! – with one hand and two kicks back, splash! with the other hand and two more kicks. The entire pool began to boil. It was as if we were under a waterfall. Waves splashed against the edges, and chains of droplets sprayed all the way to the opposite walls.",1,0,1,1,1,0,1
“That’s what you call ‘boatman style’!” shouted the triumphant Bay Ganyo through the waves; “now wait till I show them what they call a ‘steamboat’!”,1,0,1,1,0,0,1
